Tissue,num_nodes_1,num_edges_1,num_nodes_2,num_edges_2,num_nodes_5,num_edges_5,num_nodes_10,num_edges_10,num_nodes_20,num_edges_20
Muscle_Skeletal,50,60,80,105,135,195,195,315,281,483
Skin_Not_Sun_Exposed,56,64,78,98,126,181,184,290,272,457
Adipose_Visceral,61,74,80,108,129,195,201,327,285,500
Lung,58,76,82,110,130,179,199,300,286,466
Ovary,59,72,86,111,140,205,204,300,288,505
Skin_Sun_Exposed,52,65,71,91,120,164,167,252,258,437
Pituitary,61,76,87,112,137,207,206,310,302,496
Cells_Cultured_fibroblasts,49,60,74,91,119,172,176,280,256,428
Cells_EBV-transformed_lymphocytes,39,51,55,80,92,141,132,221,195,344
Bladder,94,126,137,187,211,293,290,403,396,559
Vagina,63,87,92,126,140,203,198,291,283,465
Brain_Frontal_Cortex,66,73,87,99,144,190,210,313,293,484
Heart_Left_Ventricle,50,65,74,101,113,190,171,313,251,466
Brain_Substantia_nigra,62,79,84,111,139,197,192,289,303,490
Artery_Tibial,60,67,83,100,130,184,186,282,279,454
Nerve_Tibial,58,66,82,94,125,158,182,257,283,466
Brain_Cerebellum,53,64,79,98,115,159,165,256,245,405
Brain_Hypothalamus,65,78,84,112,135,190,209,312,293,469
Adipose_Subcutaneous,61,76,85,111,136,191,192,304,279,474
Brain_Amygdala,60,79,81,110,134,191,193,297,288,485
Minor_Salivary_Gland,58,66,82,107,133,194,204,316,284,471
Colon_Transverse,63,74,87,117,138,206,193,295,287,466
Stomach,61,79,88,120,133,190,192,307,271,452
Artery_Aorta,59,72,78,103,136,195,189,296,283,455
Breast_Mammary_Tissue,55,69,86,116,132,191,194,299,279,463
Brain_Cerebellar_Hemisphere,58,68,82,102,130,179,189,278,279,447
Brain_Nucleus_accumbens,67,83,89,116,140,192,199,306,294,485
Thyroid,55,65,84,107,128,164,197,299,288,469
Brain_Putamen,55,73,77,105,136,203,203,324,285,476
Brain_Anterior_cingulate_cortex,58,65,80,98,142,191,202,325,289,482
Pancreas,53,61,74,93,127,194,182,285,265,455
Heart_Atrial_Appendage,53,61,82,99,127,177,184,283,267,452
Small_Intestine_Terminal_Ileum,57,76,86,115,144,211,201,301,297,486
Brain_Spinal_cord,63,78,86,120,138,209,186,288,285,499
Esophagus_Mucosa,59,68,85,106,137,197,188,293,280,472
Brain_Caudate,52,64,78,107,121,166,186,288,269,454
Brain_Cortex,43,54,64,88,106,172,146,244,231,426
Whole_Blood,51,60,75,94,123,162,181,266,248,404
Prostate,50,60,75,95,123,171,183,265,275,467
Adrenal_Gland,54,68,84,106,132,186,186,295,277,463
Colon_Sigmoid,64,81,86,109,138,192,199,290,289,476
Uterus,62,72,88,107,142,187,209,316,295,510
Esophagus_Gastroesophageal_Junction,59,68,83,106,135,198,197,324,284,498
Spleen,46,59,66,96,101,152,152,255,232,435
Esophagus_Muscularis,61,78,87,116,134,196,198,323,273,465
Artery_Coronary,56,70,84,109,145,196,204,307,305,493
Testis,63,73,86,111,140,193,196,298,299,484
Liver,58,72,82,111,121,182,176,278,265,456
Brain_Hippocampus,56,73,82,117,125,184,188,292,269,442
Kidney_Cortex,58,72,83,114,143,211,210,339,295,514
