node,x,y
CARF,6.2173467,-1.5495479
TRMT1L,6.10897,6.288998
TOMM40,0.57455474,-1.4086802
EIF3B,2.5801277,-5.327787
SLC40A1,8.209621,-2.250076
ZNF862,4.9060245,4.4172635
NCKAP1L,6.744742,10.671332
MKS1,5.0905538,2.8305154
SETDB2,6.616036,-0.422626
EIF5A,0.7931182,-5.0921526
CD53,6.1731124,10.212942
NOLC1,3.7369726,-0.8188004
EIF4A1,1.9864148,-6.4614053
PDGFD,10.295786,-3.7418861
JPH4,14.366231,-4.647539
PPAN,2.350908,-5.132616
TTC30B,6.2772174,7.5408316
STAG2,13.166656,5.311342
FOXK2,7.409939,8.589358
MAPKAPK2,0.13770314,1.4183245
DDX21,4.070301,-0.98688334
TRIM34,5.62412,1.6330639
SRPRB,0.3174678,-6.1194286
NDEL1,8.056445,8.692238
TESK1,4.4241123,7.9844704
PPP2R1A,3.5410821,7.6520205
EIF2S1,7.547958,-8.289975
SCAP,2.6427891,7.8920765
PTCD2,3.1960025,3.8673723
DNASE1,3.977469,5.055515
PBX3,8.718094,1.2160501
TCEANC2,5.721677,5.404986
PNPLA8,4.8149962,0.41833675
PES1,1.9463283,-5.137668
CAB39L,8.355568,1.0994322
ALKBH4,11.059169,6.969809
LMBR1,9.273991,1.1183645
STAT3,0.12647057,8.148628
EFS,14.051075,-3.3600397
RECQL5,4.831006,3.2120461
EPHX1,9.79385,-4.781409
TROVE2,9.349784,-2.026156
MSH2,3.8054917,3.9755802
ABLIM1,10.495346,0.5149204
BZW1,4.8443146,-0.17984116
ECE2,8.990734,7.688702
MFSD6,8.397266,-2.7269258
TMEM106B,10.678536,1.416851
NICN1,-2.5990684,0.029633762
PTPRN2,14.168464,-3.89301
ATRX,10.06042,2.0060117
ZBTB44,10.61132,1.2750695
KIAA1958,11.010237,3.2980578
STRAP,7.290331,-7.79581
PSMD12,2.9241996,-7.1820407
SEC24A,4.9569545,0.015268287
NAA50,7.400429,-8.433938
WDR43,4.254397,-0.72798383
ESAM,16.462591,9.141715
SLC22A17,16.465601,7.433362
PRPF40A,2.8703918,-2.4244163
COQ8A,8.272387,-2.8916993
LRG1,0.041870818,9.51232
ATP5J2,12.996811,0.84347224
PGM5,8.836496,1.3454025
MYLK,11.368405,-10.582582
PSMC4,-0.1978976,-1.6341636
FAM13C,5.719959,-2.214147
NSFL1C,0.26758477,3.8854845
ASB6,8.695577,-5.438828
PDGFRB,9.716861,-13.087879
PODN,8.728306,-12.109358
LEF1,7.704089,1.6019113
NHLRC4,8.461414,3.2434604
STOM,0.18641649,9.024591
TTLL3,-4.478168,11.663928
ATM,3.665374,5.562568
GRWD1,2.723741,-5.1681495
ABCE1,3.281254,-2.0113764
GNL2,1.5658875,-6.272653
B4GAT1,13.935756,-6.7705517
TRIQK,-3.0638456,-2.3464592
SH3GLB2,-4.2874465,11.356138
OSMR,0.28051594,8.29213
ZNF598,2.0230305,0.86433583
SLC27A1,8.96765,3.6237273
ADAMTSL3,9.594513,-11.056617
OGFOD1,5.72243,0.32595044
CREB3,0.12348977,3.7332277
CTSF,-5.2348824,11.652479
PSMD2,-7.3173466,0.27213666
ALPK1,0.5160119,9.944482
NEIL1,9.018573,3.4997604
APCDD1,7.936386,1.2506549
PRKACB,14.046891,-6.191266
OMA1,3.2826724,5.5398426
DLD,-6.9543495,-4.207954
EIF3J,7.308295,-7.734654
TOMM5,13.012366,-0.6636122
PSMA5,-7.350336,-0.35096428
CD164,10.521903,-1.6122919
RAB21,4.8451414,0.6016613
FIBIN,8.7328005,-11.968371
ADGRA2,9.748117,-12.277715
CUL2,-2.546498,7.783437
FBLN1,9.088049,-12.01621
TLK1,12.477324,5.8705354
OSGEPL1,3.9953065,3.2190986
FZR1,7.4939384,8.591512
GBAS,10.390428,-4.2055855
ZNF253,9.611228,-6.68681
OMD,7.8849783,-11.864498
ARPC5L,1.36318,-1.2412848
ZMYM3,5.4381022,2.89608
RPUSD3,3.042982,3.0319932
PLXDC2,8.046678,-1.921932
TIMM50,1.0603994,-4.972979
TM9SF3,10.380393,-1.3490691
C1QB,7.309924,10.285763
UNC80,14.242993,-7.674215
SYK,6.585226,11.048096
IFI16,0.35083055,9.353708
MRPL12,1.0031164,-1.0218769
YBX3,9.148497,-6.286764
ARHGEF12,10.540892,9.666004
ASH1L,16.07147,4.091238
GIN1,6.1059833,8.002966
CHD1,11.875201,10.4639
CBR4,-3.0887942,-2.3044043
SCARB1,2.2553322,8.634693
OLFML1,9.542335,-11.291066
PITPNM1,3.8444836,7.3044887
APC2,14.48027,-4.678053
OGN,8.350345,-11.810459
SETD1A,0.5751325,0.38023752
KIF5B,11.123021,-1.111841
CPSF2,-2.049878,7.9779706
PAN2,4.9566193,4.1826982
MRTO4,1.0609931,-6.0411363
TM7SF2,9.678583,-4.6213245
ZBTB21,12.297881,10.844972
ETFA,-7.177861,-3.9604053
SGTA,1.6986321,1.0218517
ETF1,4.453262,-0.38019425
FAM208A,-1.5983489,8.140633
CCDC170,8.001836,1.3883408
TAB1,5.6480365,2.8047264
PPP2CA,17.305115,1.818802
TRAPPC8,-1.6911957,8.249045
KIAA0430,6.444237,-1.9273816
UBQLN1,7.480473,-8.350695
EIF2B4,-2.5605845,-4.0645347
FBLN5,9.368578,-10.715113
WAPL,2.5797317,-2.7931879
EHMT2,5.785165,2.8615153
MIEF1,14.813455,7.791892
YKT6,0.13152337,-6.232818
PA2G4,1.3391042,-6.3455176
POLR1C,-2.7853677,-4.0109715
NR3C2,5.648105,-2.4877808
PAK3,14.170442,-2.7805724
KCNK2,8.553077,1.2217705
DOCK2,7.067994,10.875164
SF3B5,0.6253935,-4.7744036
RAD21,10.613339,1.7205858
ZC3H15,7.22932,-7.766269
HSPH1,12.228414,1.7521884
PNMA2,14.385111,-3.1430438
ARIH1,16.197582,-1.4535309
DUS1L,1.9276081,1.2798939
TUB,14.245363,-7.6603665
CDCA8,12.213599,14.180553
MTPN,11.290456,-0.82172006
LITAF,17.964386,-1.2455446
TCEAL7,14.38525,-3.4366498
PLEKHA5,7.5523233,-2.5568888
SURF4,-0.16947608,-6.30474
UBE2J2,1.7837732,0.7909436
ZWINT,12.196953,14.281009
KDM3B,-3.675714,2.3212373
ISLR,9.107123,-11.751447
INPP5F,14.073729,-6.0510597
PHACTR2,8.791738,1.1191324
SEC31B,-4.29051,12.180342
FAM198B,10.392364,0.817585
PSMD14,-7.334815,-0.5696907
YME1L1,3.2218182,0.61858225
CDC73,10.798928,-1.4250139
SPI1,5.576323,10.397658
PSMC3,-7.7187624,0.1822067
LARP4B,12.100156,0.7664686
SERPING1,8.515981,-14.285524
METRNL,18.043999,-1.2883422
ZKSCAN3,6.0843315,7.360712
TMEM130,14.871272,-4.9573574
ARL5A,10.65093,9.552608
RPL11,0.65680903,-12.833837
POR,3.536533,7.336694
AFF4,16.109629,-1.3219138
CCT4,8.748744,-8.326831
CCT5,8.549381,-8.279142
CYP11A1,2.4657125,8.4000025
NSL1,6.2783537,6.1955857
HM13,-1.4562708,-6.7860513
TIMM23,2.5036395,-6.9132175
NF1,15.734816,3.9602602
CACYBP,12.134499,1.942124
SLC25A39,0.09964754,3.7229187
SCARB2,11.921254,-2.614992
TMEM165,-0.06407925,7.9972215
LAPTM5,5.917683,9.09742
ECHDC2,-4.571255,11.550974
TMEM79,4.9761553,2.7909074
FGF12,8.244529,1.3127477
STX1A,9.235955,7.18281
EXOSC4,0.92865443,-1.4663426
FLOT2,0.22612222,10.038929
SEMA3F,16.294374,9.489439
FKBP1A,0.19021524,3.811303
GTF3C4,15.01503,8.1272955
PPP6R1,6.992015,4.32288
ZBTB41,-2.1960442,1.3230854
NDUFA13,14.03636,1.1055754
CYP2W1,9.206911,3.7854667
SDHA,-7.4670014,-3.4892952
EIF2AK3,4.973872,0.56733555
TCEA3,11.446764,-0.035785753
TBCK,3.321459,5.4425454
ATG4C,6.285287,6.343678
RELA,8.969212,-5.460556
ZNF331,12.428092,10.620697
LMOD1,7.9361496,1.0762215
PSD,14.346363,-4.614209
DACH1,5.1472316,6.1970315
MCOLN3,-4.165033,5.8010044
MGARP,10.077796,-4.696938
KIF11,12.088753,13.860924
ERCC4,6.065002,8.466387
UBE2H,11.405578,3.4877934
TIFA,0.51781446,9.719466
TMEM59,11.58975,6.3590236
SEC61A1,-0.6060488,-6.268667
NAMPT,9.148761,-6.3336873
TIMM13,0.47684053,-4.5198903
RUVBL2,1.1789833,-4.9315324
BACH1,-0.32892033,7.4688683
CTH,8.216944,8.720125
FBXO44,21.935661,-0.67862016
DHCR24,2.6415846,8.73011
ATP1B3,8.149713,8.864219
GRIK5,16.758385,6.989433
ZNF629,13.082521,3.5637124
ARHGDIB,19.908056,5.1747174
CALD1,11.490492,-10.870009
NEK9,3.2883897,5.5348735
SYPL1,12.35893,5.8323874
GARS,-0.44443783,-2.086562
TNKS2,2.240216,-2.9525526
PLCB2,4.6981297,11.598464
DCAF17,7.387771,-1.0865301
HIPK3,14.33067,6.2136884
FGD2,4.794819,11.544238
CCT2,8.250775,-8.272178
LAMA2,9.423574,-13.870906
FAXDC2,7.6944776,-1.9707227
ZNF680,18.05068,-7.1909666
PLEKHM2,-4.7561216,5.625373
MEN1,4.4625354,2.833505
C1QC,7.25903,10.271935
SH3D19,9.578311,-14.113725
IARS2,-7.1866703,-4.500567
SSSCA1,0.5386839,-4.955576
SMTN,11.908815,-10.336735
ABL1,9.227611,-5.165193
MRPL4,0.30201682,-4.45361
VDAC1,17.21421,1.8597777
SMIM12,7.990738,-5.310966
QRICH1,12.2270565,0.74466103
TOP2A,16.298275,12.271855
TMED7,-2.4427443,-9.022116
KIF1A,15.45361,-4.7924404
ARCN1,-4.6345773,-8.67392
CD4,7.223997,10.56552
LRRC75A,14.912579,13.798104
IL4R,0.3827097,9.207649
ROMO1,13.475316,0.9095276
ANKRD52,14.485756,12.270469
PRELP,10.300187,-11.014108
GALNT2,8.152213,-5.418144
TIE1,16.700941,8.830308
ARF1,-0.44011694,-5.9592166
PLEK2,2.7113678,8.659106
ZFAND5,12.279673,10.671449
LIAS,3.19538,3.3105834
MRPL37,-0.8385338,-8.217775
SYNPO2,10.969408,-10.774823
ELOB,14.003126,1.0780426
HSF4,-4.4130435,11.883785
TSR1,1.0294744,-7.30487
DNAJC4,-4.52933,11.349247
GATAD2A,2.7584672,-5.2462153
FARSA,0.82110095,-1.7726897
PIP4K2B,5.563127,14.829978
ITCH,2.3957973,-2.8462312
DTX3L,0.6132784,9.855649
DNAJB11,-1.3231764,-6.5297966
KIF13A,11.562018,3.6238866
TEX264,-8.082298,-3.506376
SDC2,14.322259,-3.0304387
ZNF692,2.2691507,5.29187
ZNF3,14.489452,7.9001164
SELENOF,-2.2642446,-9.266312
ATG16L2,19.763645,-3.1937058
ARFGEF3,9.367987,7.471517
BBX,5.4939766,-2.9683728
SBNO2,8.922527,-5.4510717
ASTE1,10.294729,8.364383
S100A11,-2.3995335,4.1613894
RELB,4.317153,-2.402742
ATAD1,9.708568,-1.6619215
RPL22,-0.2600184,-12.853068
ADGRL4,16.472414,9.300083
FAM114A2,-2.2582169,7.743593
PUF60,0.8087527,-1.7055991
WAS,15.648278,0.22391261
FBRS,0.74347943,0.4725586
TPD52L1,10.261331,-3.8930113
OLFML3,9.599715,-10.952054
DBH,14.915312,-5.0364866
UQCRQ,12.2532625,0.07733816
ANO4,5.150606,6.195565
PARS2,11.0058155,7.535757
MOB4,4.618621,8.120038
BMS1,1.9488137,-7.338395
FOSL1,4.3061686,-2.2127085
NDUFAB1,-7.273406,-1.0512933
NR1H2,8.845578,-5.4400344
PDLIM4,5.177438,-4.317388
PLEKHG1,16.348595,9.4622555
MKL2,10.893783,3.2343853
ATP5B,-7.180463,-2.0438342
PIKFYVE,2.176271,-2.9993148
SYNCRIP,3.0908663,-2.4107316
SLC30A6,-2.0911853,7.8774796
CD33,5.2848535,11.473263
FDX1,2.4706213,8.256284
SEC13,-0.99878204,-6.3234415
PROCR,-2.2320673,4.3067064
CCDC130,-2.2519515,-4.2024083
FTSJ1,0.24736398,-6.1268244
ZPR1,1.9729893,-7.308663
POGZ,16.395645,-7.3359327
FPGS,-0.12563199,9.130944
DCLRE1A,2.7443771,4.0903363
POMP,-6.937132,-0.3749376
WDCP,11.868395,2.2145889
RPL13A,21.279877,3.1997838
RAD52,3.3750494,5.162773
LMBRD1,11.925713,6.215228
HOXA5,12.616404,10.524493
GPR4,0.6577905,8.011149
CCT6A,8.359013,-8.268308
CAMK1,8.937918,1.5148356
HIBADH,9.684507,0.011052015
GAB1,6.102026,-1.8686237
TIMM8B,12.674646,-0.4800702
AGGF1,-1.7956744,8.424722
COX6A1,12.2148075,0.08345277
ACADS,-8.004326,-3.5084302
NACC1,7.2426515,4.5767984
MAPT,14.31442,-5.290217
PSMA1,-7.29839,-0.47524276
