node,x,y
THRB,6.6314797,1.1369014
DDX21,-6.049009,1.5541785
TM9SF3,-1.5574013,1.8338104
TTLL7,-1.2135205,6.0885625
SLC39A14,-7.631978,-4.827709
MRTO4,2.8152962,-1.0615513
PPP1R12B,-3.1607335,-3.023379
CDH5,5.9185295,-5.867776
UBL5,-2.982016,8.996563
IPO4,3.7260458,-0.60191685
SPI1,0.056107134,-2.6122875
TMEM106B,-1.4358101,2.8886857
CALD1,-4.4858036,-3.2995436
PSMB1,3.8052082,7.6657887
NAMPT,-7.5084887,2.4119446
SURF4,6.5743766,13.372473
ERBB2,-5.8144026,-6.9081316
RHOT2,-3.1490233,13.359407
SBNO2,-8.267959,-4.8745756
PKD2,-3.31455,-2.7510717
FAM129A,-4.219768,-3.5131264
TPM3,-7.701017,3.036103
ILK,-3.746391,1.411227
CD53,1.8800353,3.6183062
EHMT2,-4.177875,3.274305
DNAJB14,-1.1257281,2.339002
ASH1L,0.8973813,-7.180932
SMG8,6.4317183,5.314121
EIF4A1,-6.8353596,1.8791941
RAB18,-0.8783728,0.8210529
DCN,-11.934509,2.795354
ECSCR,5.5935783,-5.3985057
ELOB,-1.118757,9.398387
ABCE1,5.9548965,3.4743104
CXXC1,-10.666266,-2.5242138
NDUFA13,-1.3080508,9.33818
MRPL12,4.7020426,0.059007406
RAB6A,-0.27585998,0.08313686
PTPRC,-13.105975,-0.123007864
ARF4,1.0574194,13.246424
MYOCD,-2.6764407,-3.675074
TMED7,-0.6874704,0.49084923
PCDH7,-1.2214097,6.079589
SLIRP,3.1778004,7.8083086
PAM,-7.8741007,0.09577433
PPM1A,-3.9471729,5.8164806
MAD2L2,-7.9400973,-4.562571
RAN,1.9180971,-1.5088319
RCAN2,-3.783053,-2.34897
STK10,1.2624724,-3.3289137
FMNL1,-12.824321,0.16472779
TRIM33,5.457135,-1.409559
SALL2,-2.8752787,4.130213
EIF3E,-9.703412,4.514467
HSPA13,1.219145,13.694208
MAPKAPK2,-6.4194055,-0.012804979
RB1CC1,5.6071873,-1.7061908
MYO1F,1.621257,-3.058666
ACBD4,10.1010685,-0.15569863
RSF1,11.748971,1.4914491
WFS1,7.7701607,1.6412197
SMARCAD1,-5.39762,11.283235
ADGRL4,5.903507,-5.4910936
DNASE1,-1.1178603,-12.48794
ACTA2,-3.5602818,-1.9685918
SCARA5,-11.784045,2.928946
GTF3C4,-9.022469,-2.952079
CUL5,-0.47956148,2.5965202
MIB1,11.4425955,1.3335768
STAG2,-4.1315584,5.865141
MIER1,-4.0386133,5.186692
SPHK1,7.7545395,12.953479
PECAM1,5.334591,-5.637258
RPL32,-6.2968936,5.0080004
HOXB7,11.187052,4.68427
PPP2CB,-2.5430024,-3.8855276
HEPH,-8.040858,0.1346405
EXOC5,-2.225946,1.1547593
LRRC59,6.8622,13.441884
SHANK3,5.9714103,-6.52399
FLNA,11.514311,-1.5255762
CRISPLD1,6.6883497,1.3736894
ANKRD6,-6.1861467,14.0429735
RNF115,-2.7752068,-3.383667
WAS,1.6229157,-3.0311654
TMC8,3.8557496,-8.553434
DVL1,8.6162815,7.514055
SHE,5.7101727,-6.608946
SEC24D,0.90182674,13.161002
PLS3,-3.9487095,-3.97059
ZNF2,3.7350733,15.306538
RAB5A,7.1349573,-9.856505
SASH3,-0.21266462,-3.0394363
PSMA2,4.0181975,8.481124
DENND1C,3.7154562,-8.2106905
ZNF181,4.9284616,-3.052722
ATG2B,5.2531238,-1.2650108
MAOA,1.3748317,6.2448587
TMEM47,-4.6166835,-3.9799461
CYYR1,5.9600105,-5.532049
ADCY4,5.849335,-6.649344
HECTD1,1.8572989,1.2062854
NUMA1,-3.223777,3.8013978
PRPF40A,-9.753193,-1.3369389
ZNF704,6.3569646,9.154796
GPSM3,1.5210332,-0.84025514
IRAK1,9.7140465,10.107173
COL21A1,6.727435,1.7881569
PNO1,5.8579426,3.410185
PJA2,-0.08683989,0.18260579
ZBTB6,15.889603,-0.469745
PYGO2,7.098158,-0.62648284
GOLT1B,1.0284871,13.993846
PSMA7,2.6365762,9.013953
SCRIB,2.3906133,11.251111
IL2RG,-13.281656,-0.5895599
CPXM2,-10.8514,-5.3915486
NPTN,-4.232658,-3.8201823
RPL19,-6.228466,4.9250093
ACTN1,-3.8911524,0.5314933
HMCN1,-6.297639,-9.307773
SRM,4.496716,0.23073511
PLN,-1.115362,5.7479672
SPOPL,-4.1167426,5.4159975
NT5DC3,-3.0257652,-3.1505446
ARPC2,10.20844,9.371563
DCUN1D1,-0.6207255,2.4333742
MYH10,-6.0300565,14.355716
DAPK3,12.202373,-5.067279
SH2D3C,6.1144814,-6.6531606
OSMR,-6.958701,-5.2538896
ARHGDIA,9.307933,9.57007
C3,-11.3584385,2.515793
COA7,-5.6142545,-1.6896477
SLC2A1,-14.993441,5.8918476
MYSM1,4.648854,2.1978765
CNN1,-0.37176365,4.263632
ATRX,11.375031,1.5179231
SYK,-0.6591407,-2.4056962
PNP,-6.0798707,2.1364996
CARF,-6.162516,-0.10115872
PPP1R14A,-3.8585858,1.5934314
SCOC,-0.9371479,1.2864834
PTPN6,-0.35767537,-2.7363517
TMEM25,-5.1680236,-7.3254905
NTHL1,-0.03269055,-9.38836
ZMYM3,-3.2962904,3.8787925
RHOC,9.665331,9.342646
OLFML1,0.30682093,-9.758887
PRKCH,5.1824827,-6.1964874
NRAS,6.9353504,3.5742972
SRSF11,5.046952,-1.2381041
SBDS,3.759784,-13.925298
CNBP,-9.611432,5.1905446
PRUNE2,-7.5966883,0.17041853
ATAD1,-1.2019292,1.3152748
RARA,-8.7947035,-5.430268
DBR1,6.9248424,5.5648
KANK1,7.5697556,1.3611629
RAB21,7.2953515,-9.590596
KMT2D,7.6970057,-8.129911
PLCL1,5.7469616,6.244301
DSTN,-4.402357,-2.6587203
RPS6KA1,0.9199399,-2.8641753
ZNF691,4.031415,15.462421
ZNF444,-6.9759226,7.2758107
NNMT,-7.1877756,1.5605671
TBC1D17,-2.6354544,3.641246
GPATCH4,3.4078414,-0.6838486
WAC,3.104147,-9.780977
KMT2B,9.119064,-1.0085751
TRMT6,-5.742529,-1.8093617
KIFC3,7.8615823,12.887901
MRPL51,-3.1482565,9.041044
CACYBP,8.977674,-5.721958
RSL24D1,-9.460365,5.0423164
CTSS,1.5293365,-0.64128906
AIP,-6.706978,7.0170956
KBTBD6,3.804939,15.541973
ZDHHC9,-7.0179358,1.6038172
PAN3,4.320319,-2.8699315
PSME3,3.6652837,-1.0376333
PITPNM1,-13.292293,-1.882054
CEP170B,8.710894,12.332065
TMED2,1.2570865,13.670259
TIE1,5.549628,-5.6947637
RFNG,-2.2567124,10.497879
NPM1,-9.217098,5.2002416
PEX12,3.789594,15.628927
HUWE1,6.782966,-1.6524999
SHARPIN,-1.5171031,9.795607
SYF2,-9.577987,-0.30875188
RNF11,-0.35143685,0.052549236
COX7A2,3.1496935,7.7696576
TYROBP,1.4983889,-0.6400907
SLC25A46,-0.7209634,2.644196
NDUFAB1,2.4808652,8.300381
ABAT,0.4616694,-4.9344587
PCNP,-1.6359315,1.8917519
BYSL,7.6703134,0.19507065
LAPTM5,2.4997756,3.6014855
CCT2,1.7992713,-1.6989096
SPACA9,6.9770575,13.332722
MYDGF,0.053974,9.303179
