node,x,y
DDX21,2.3595076,12.545977
ASH1L,2.5796242,8.9896145
DSTN,-2.074184,3.8609412
RAN,7.0804977,-8.330683
CYYR1,9.458408,2.116129
PRKG1,-2.1309435,2.1300402
TTLL7,-1.6816579,1.3195015
MRTO4,4.504855,-3.149331
CMTM7,1.669828,-1.9316722
FLI1,4.4793077,1.2619019
IPO4,-1.1575513,-9.894424
GNL3,6.638863,5.8827496
ERBB3,10.730145,5.5388193
EIF4A1,7.088952,5.9321637
MICAL2,-9.601382,7.491769
RSF1,1.5950984,8.802464
MSRB3,-3.078002,3.3086488
DLG3,-1.4005901,-0.24857065
SBNO2,-5.715665,-3.584728
SLAIN2,3.1158996,10.054224
PNO1,1.6154144,13.335564
EIF3J,3.9116476,13.2755165
EIF2S1,3.913334,13.824172
WAS,8.255445,-0.76770437
SPI1,8.907573,-0.5929512
PALM,5.724929,-9.038495
PRKCH,4.3922353,1.3835267
FAM129A,-2.74598,3.3257751
LRRC59,3.2862694,-6.975795
RPS6KA1,2.5058496,-2.823089
PRRT2,-7.655681,-2.666047
ETF1,3.0013602,12.415079
ELOB,-1.5901413,9.752228
AGPAT2,4.1050973,-0.9005652
STAG2,1.7710894,8.189758
HAVCR2,5.454729,-4.697701
COL21A1,-10.292972,4.369451
WDR3,6.0774837,-2.8983812
UBL5,-1.785671,10.317779
RHOT2,12.095587,4.4619284
RCAN2,7.179257,9.9775305
MYH11,-3.4591994,2.8623545
TNS1,-4.8082995,2.1527126
COL4A5,-1.2495584,1.2973789
PPAN,-0.4133871,-8.43851
STRAP,3.5594122,12.916972
MYO1D,-4.743181,7.7487698
FBLN1,14.028331,-4.49602
OAF,5.63458,-9.0177965
SMG8,-12.711986,0.9842001
CDV3,3.7556288,7.72637
ACBD4,-7.7339478,-2.710513
CARF,3.0168912,-6.545504
ARHGEF1,3.3362296,-1.8398886
PJA2,4.0491867,10.886795
RAB21,-0.594104,4.919277
DENND1C,7.0143867,0.9121026
NDUFA13,-1.518795,10.551923
KLC2,1.416297,2.7331102
EBF3,3.5590723,-5.014578
RETSAT,9.244842,11.76158
WAC,3.152766,9.929231
NAA50,3.7961128,7.468029
ACTN1,-6.8156095,-1.493929
RNF11,-5.8814054,5.4131594
PYCARD,9.294908,0.29438183
ZMYND11,2.5912864,10.058268
SPEG,0.44529855,1.5706608
ATRX,2.045757,8.959542
VAV1,6.796429,1.7823143
BGN,-11.044021,9.4876175
FLNA,-4.1043773,3.9564831
BNC2,5.519082,-9.3108835
ADGRL4,4.992214,1.8232174
ZNF598,0.25752327,-11.196435
DNASE1,12.966032,0.60662913
TRIM33,1.2078639,10.8025255
ZNF521,5.5820594,-9.65034
TSR1,6.0753217,-2.8149977
SUSD5,-9.762823,3.2909908
PARK7,-4.9271326,-1.4624908
IKZF1,6.701876,1.0121324
PLXNB1,0.56666243,1.6831591
CACNA1C,2.9370556,3.218456
CAMK2G,-1.0813129,1.0573835
CD53,5.8091526,-4.480726
PTPRC,6.542046,1.038872
BOD1L1,6.8448167,14.227243
KCNMB1,-3.0815313,5.6419635
MTMR11,-1.5921171,-0.93584174
CARD10,9.55883,2.9361217
ZNF444,8.493201,2.4594076
YARS,3.3247113,-6.9032283
ARHGEF25,-0.58537877,1.1274767
PRKAR2B,8.956921,11.362151
CALD1,-2.9044998,3.4287164
