node,x,y
ASH1L,0.72162795,3.7243578
SORBS2,-2.0224,-2.5267272
DDX21,5.7324557,5.981027
SBNO2,-4.5740952,-2.7560327
ETF1,6.8220754,1.6838113
FLI1,2.1048808,10.555352
SH2D3C,3.5081184,4.779736
SLAIN2,12.908673,4.2115207
ELOB,-1.0811659,11.081253
PRKCH,2.5127525,9.98485
CAMK2G,-1.9539827,-3.5093112
TTLL7,5.2794333,-4.074865
FLNA,9.272593,-4.7103143
SPI1,3.465104,-1.7194887
DMXL1,9.445696,5.2344127
EIF4A1,5.625237,6.6816897
NAMPT,5.0248065,7.277809
PRPF40A,7.144904,3.2520385
UBL5,-6.5940094,6.12546
MED13,1.1775262,5.980563
MCAM,-0.92483634,-2.6113775
LRRC59,11.9091015,1.7409165
ATRX,10.291894,5.065509
MSRB3,6.223477,-4.7669954
PHC2,-0.41132158,7.305195
SLC39A14,4.846448,7.1263313
DIS3,7.562167,3.6698906
TRIL,0.6094156,14.216962
DNASE1,8.76564,6.7491255
SLC50A1,5.0927577,7.411838
MAOA,6.714179,-1.8261658
OR51E2,-2.2325556,0.5264493
OLFML1,-0.34437197,7.7920814
ALDH6A1,7.256007,-1.1280904
KMT2B,14.171845,3.7697608
RPL13A,14.184444,6.67337
SHANK3,3.6444545,6.1060677
UBXN4,6.845067,2.8515613
PSMB1,1.978,-5.453783
ZNF780B,9.304441,7.665287
PTGFRN,0.3932746,13.668481
NIPBL,0.11708055,3.3217623
ABCE1,6.043477,4.9754486
SCAF1,2.1376557,0.80757946
TRIM36,-1.8587794,1.4188334
METTL1,7.0059476,-7.51957
HTRA1,3.494012,4.1373787
DENND3,-4.0799456,1.1720088
SYF2,4.6264243,2.0803468
WAPL,1.0363836,6.407346
NDUFA13,-1.2818179,11.249895
ARRB1,11.575872,-0.41369984
IPO4,7.525606,-7.8097806
RAN,-4.7711186,4.4110355
PECAM1,3.6411498,6.532026
MCCC1,7.221133,-1.0418245
XRN1,1.6115556,5.859969
MYO1F,0.54929185,-4.690281
CC2D2A,5.929395,7.114102
PRPF4B,2.132692,6.112628
MOB4,12.972633,-3.360776
FBXW11,10.307403,2.8358512
SNX13,-0.079407774,1.810133
HMCN2,0.64086163,13.776628
EXOC5,5.283729,-0.62546664
PNPLA6,3.8364158,-6.5202417
SF3B6,10.181252,-2.6894605
SETD2,0.38291514,3.407029
MRTO4,7.262689,-7.7399335
RSF1,10.069965,4.576428
RBPMS2,-2.2544012,0.26503593
PRDM16,-0.9763301,-2.4144979
KANSL1L,6.770531,-1.9606855
TRIM33,1.2966871,5.813435
MRC2,3.3167913,3.0703971
HCFC1R1,-2.031871,-1.3656049
KLHL17,3.9010491,-6.461772
SUSD5,-3.3837206,1.4449612
SRCAP,14.651113,-3.924622
CDH5,3.6036425,5.925506
COX8A,-4.0173287,6.6791806
RHOT2,7.227067,8.396506
KMT2D,0.5855592,-1.7785063
LGR6,-2.319447,0.45552757
ANKRD29,11.510988,-0.16202553
ADRM1,2.6354783,-1.0605117
COL1A2,3.4638796,2.8573942
CREBRF,9.1748705,3.9423096
SUPT6H,3.519537,-10.103898
SBF1,14.548425,2.9691172
SCRIB,3.5992303,-6.8510675
STRAP,7.0362587,1.3929679
WDR43,5.9468794,5.035558
MAGED2,-2.3537116,-1.8471295
COL8A1,-1.4751905,1.4953568
ACTA2,9.095744,-5.5000787
OPA1,12.73363,-2.4111052
RB1CC1,-0.0074238577,2.0097542
TLN1,9.203928,-4.68208
PEX16,7.4863396,8.339295
POMP,9.274737,-2.7933166
SOX6,9.012253,-1.0335635
KBTBD7,-7.476487,2.496283
MYH11,5.584902,-4.2258983
GPSM3,0.6209327,-4.398704
LAMA2,8.468885,9.178158
PSMA2,9.2985,-2.802262
MRPL12,6.5015283,-7.3796906
SCARF1,2.3742156,11.167218
MYSM1,2.0963113,5.6497025
QTRT2,-11.477152,-0.23280817
SHARPIN,-2.3967614,4.343742
MIB1,10.622986,4.6761866
ACADL,-3.7193565,1.3041725
TAOK1,10.101924,5.5948744
BBS10,-7.8083363,2.6330557
CHCHD2,2.233035,-4.9497175
AFF4,10.235101,2.5038497
WDTC1,-3.925332,14.049254
MYDGF,12.83608,0.68960285
RC3H2,1.1760998,6.215523
SORT1,5.2703347,3.7400007
HSF1,2.5333462,0.62430835
TNFRSF14,9.605639,10.70031
ABHD14A,-0.33446935,7.843429
RSL24D1,5.0336623,2.6644483
ZNF331,0.60527545,-9.0962515
PALM,11.72118,-0.7131007
SURF4,12.194018,1.542854
OSMR,4.7040644,7.58322
PAFAH2,8.046759,17.050049
LIMCH1,-1.3024751,1.4864296
CCT5,-4.896001,3.9636986
SYNGR1,11.729479,-0.6940817
TNFRSF1B,8.599556,-3.08077
EIF4G1,-6.779276,-7.487381
EXD2,9.185293,7.4105244
TOMM40,-6.02728,9.915782
