node,x,y
MYH11,0.16908894,-0.009550048
HRH2,4.8270273,-3.7474942
SPEG,0.5191316,-0.058675535
IL13RA1,-3.47488,2.4695795
LTV1,1.8001491,10.560789
P2RY2,-1.4585581,9.289546
RGS16,11.097456,8.130356
GPR156,3.0460374,3.3682628
IGKC,8.880473,-2.016609
MFSD2A,-1.9987497,0.94281477
DCAF12L2,-3.4393084,6.6122193
FOXA1,10.91564,1.7620788
SUN2,-2.0316007,-8.311186
MRPL22,6.768679,10.922941
ME1,4.7576084,-9.294992
S100P,10.799347,1.567774
APLN,6.904112,-4.7469606
SPCS2,6.196049,-2.6617615
FAT2,-5.2661448,12.1059885
GOLT1A,11.278215,1.4724008
FKBP1A,5.4500766,-5.792191
ABO,-1.7975749,9.536515
SLAIN2,-8.63732,3.3183436
SVIL,-0.6233456,-2.4462368
COA6,5.3212457,8.273436
RAN,4.9963913,8.892073
RAB25,10.71894,1.1158181
TIMM8A,0.2434007,6.767441
FTSJ1,1.5642229,11.312798
PPP1R12B,0.1893879,-0.1958929
ERMARD,-8.373937,-6.4150753
TIMM50,2.215142,9.331618
FNBP1L,-9.182224,4.715518
SLITRK6,-3.82259,2.567643
MLLT3,-6.8433137,-4.476855
PLSCR4,-2.2221105,-1.8532234
TFAP2C,-11.976453,-5.054608
KANK2,3.1494913,3.4176006
CDC42BPG,8.971629,5.1573596
IGKJ1,8.850762,-1.9907132
WDR75,11.012013,4.737344
NBPF12,9.239405,15.354036
CMIP,4.7422857,-9.260166
AIM1,-12.068337,-4.907314
ATG5,-1.2489644,7.470655
LLGL2,-1.8417308,9.792033
ATG3,-5.735717,13.179264
C1GALT1C1,4.3078794,2.6774359
MSRB3,-5.2011924,-3.4379005
COL24A1,-0.15246129,2.8481934
HOXA5,0.11279891,5.269688
IGSF21,1.3572898,10.754257
RPL21,-8.854528,-0.44620544
EPB41L1,-6.904715,-4.4348965
CNOT7,-2.2743413,-0.86244255
ATP6V1F,1.890614,12.805996
FAM50A,-4.9593945,10.633253
PAICS,1.4961755,11.283673
SCART1,5.991348,-5.5212755
PGAM5,-2.318834,5.126986
SEC31A,-6.530673,6.841634
ZCCHC6,-8.440284,-7.0308676
RBFOX3,2.9972045,3.1395056
RPN1,6.044255,12.11525
GNL2,-1.1055448,14.448434
PDK2,-0.32412976,5.021979
GLRX3,4.8465495,10.420706
ZNF16,4.957925,0.06955783
COA4,2.0555182,10.961385
HLTF,-3.3799605,6.5953245
DUOXA1,8.616167,5.010191
KLHDC1,4.6018972,9.962894
CD36,12.799033,1.8654408
RHBDF2,-9.217296,-2.6138759
VDAC3,-0.27188924,5.3561087
KCNMB1,1.6301328,2.4712348
DGUOK,-0.4213655,4.9870777
RGS17,-1.4082226,-9.966132
HGS,-7.3692436,10.181894
RER1,5.953811,-5.6046515
TMEM165,0.83372974,11.933026
SMIM15,3.9485736,-7.083121
KLHL17,14.18833,5.3054433
MPHOSPH6,-0.8648806,0.6766628
SAMD11,12.75179,1.8056493
FAM114A2,11.216389,5.971535
NACC2,-5.0956383,-3.1925676
TTC39A,-1.4061782,9.147908
MRPL47,-5.7382426,13.180667
RREB1,-0.526579,-6.261652
GMPPB,4.702893,0.40543514
PROSC,-4.6421566,10.9210615
MLXIP,-5.200498,-3.365493
RPS27A,-3.4884152,16.612501
JCHAIN,8.847727,-1.9934744
FAM3B,10.866783,1.2956843
MCM6,-4.457732,7.349137
NTMT1,1.0870214,11.271786
NPR2,-0.7605967,4.7771397
PSMA5,-6.9182143,10.105218
CORO2A,2.2009432,3.5856192
RAB23,-1.8735722,1.08341
CDK9,1.8818946,0.43153188
EIF3I,4.477749,9.366247
FAM110A,8.214602,1.7671905
CARMN,0.25456724,-0.16202696
HMGCS2,3.6559079,5.0805874
PRR5L,0.16406608,-1.2184272
HCFC1,1.5969481,-1.923455
PTPN7,-0.1945936,-2.9519622
SUPV3L1,10.5917635,4.765363
AGL,-4.9838943,-0.4301777
ORMDL2,-5.4416637,8.545971
KRT15,5.9900923,2.2920184
HIRA,2.898293,-2.2417953
MAU2,5.7496753,7.778561
POLR1C,4.749079,6.478002
MTMR12,2.5313973,7.168364
USE1,-1.1793772,7.408233
DSTN,1.6331131,2.4785185
STX6,-1.3741565,0.94205195
ELMO1,7.5801315,-1.4393743
CGN,8.391319,4.870583
TMEM216,4.4894056,0.9065075
METTL2A,2.3718889,8.793902
CPT1B,1.8700609,-4.020948
SSR4,-0.90628487,-1.6039264
CDC7,5.348321,-3.663936
RPF1,4.384422,9.82378
STRADA,1.8887047,19.49265
PASK,8.624157,-5.281041
TSPAN12,2.3947012,3.6290565
PHLDB2,12.465836,1.7876496
NUMA1,0.2542849,6.631873
UCK2,-0.9085221,14.285746
MBD1,6.7934723,10.93855
GHITM,-6.1312265,10.63181
MBOAT7,4.076045,10.0024185
MR1,10.067237,5.710656
TMTC2,11.333722,5.639745
MZT2A,-7.1731157,2.1191142
PLEKHG3,0.416421,-5.3134456
ATP5J2,5.6848454,8.865069
AP1M2,11.04215,0.9071719
CGNL1,5.7664623,7.755604
OPN1SW,-5.136664,-3.7756414
ABRACL,5.9914036,0.42561597
TRAF4,-2.308692,0.068351045
ZDHHC5,-0.4846881,-2.0098686
PPP1R12A,6.090674,-3.0252824
TNS1,0.67770946,0.09212369
ATP6V0E1,-2.0359027,6.252317
TCHP,1.1027976,5.5462484
SEMA4C,3.485059,-8.364419
GMFG,-2.6624768,12.744084
MKRN2,8.080488,0.73354286
C7,-8.010357,-8.445576
SRPRB,0.03507847,6.702973
TAF1D,8.004274,-6.9930153
ITPKB,-0.24331763,-0.099153206
MESDC1,-0.87641203,14.1040535
MSN,-2.6431463,2.033161
BLOC1S2,-0.049212776,6.1100526
KCTD17,0.5162555,-3.3457623
RAB5C,4.8212,10.450854
GPR87,11.065302,0.273929
PPP3CB,4.7365527,-9.176722
UHMK1,0.75854963,11.937572
IFNGR1,-3.0998728,8.25769
DBF4,-5.4461713,3.6766682
CDKN2D,3.5582502,-1.8637565
NHLRC3,4.0486665,9.492934
CAMTA1,3.1187313,5.4800525
CBLB,-6.795839,0.5615124
SUPT16H,1.5738677,16.044483
THEMIS,3.265978,-0.20858385
RABGGTA,8.3895855,-5.503265
ZNHIT6,4.2977443,6.32255
TXN2,-1.171373,7.547028
ARHGEF16,-4.6117196,4.6144414
CD53,3.9105017,7.5827236
DUBR,-2.0594232,12.367496
SATB2,-3.407377,-2.1631396
UBE2E1,9.845645,12.563556
AHSA1,-3.9890003,5.440826
CCDC71L,4.689818,-3.8057542
KIAA0391,-8.080838,-6.3439436
PSMA2,8.191321,11.660032
EBF2,8.879385,-5.240562
SNHG15,2.014889,11.451005
LRCH3,-1.0289412,0.7301533
PLOD2,3.3497522,5.8068013
NAA30,9.104545,3.416817
BAIAP2L1,-11.99474,-5.0432544
MS4A14,4.7929873,10.253968
ARL14,-3.7686462,-5.869879
CPSF3,-7.831695,6.4869432
ULK2,-0.6966389,-3.058206
PPP4R1L,-1.4433419,1.5741162
KRT4,16.879416,4.5480533
TRBC2,2.8056738,-2.4338121
SLC25A27,-0.9976491,0.61158586
DDX39A,2.6052716,8.415011
CBWD5,-3.1114008,12.7086115
EGLN2,2.0945985,3.540629
SGTA,-6.8454647,12.1476755
P2RX1,2.980126,3.0859413
ESAM,-0.3647756,2.7588377
ACACA,5.438257,6.1442637
LAIR1,-12.392961,4.7723794
NT5M,-5.265715,-3.423884
FLNA,0.44677466,0.32513157
MAP3K8,-0.19367574,7.9441943
XRN2,11.08772,5.1864524
ZSCAN18,3.0748496,3.4188678
NFKB2,1.2245417,14.190733
GSTK1,13.177094,-2.5485764
WNT6,8.161882,-0.1478991
KLHL23,-0.9414747,1.9804368
VEGFB,-5.452989,3.7291436
DFFA,-4.6343827,10.961998
CPLX1,0.43136647,-9.151408
BYSL,11.459121,-1.6637907
DCDC2,-10.162784,9.108818
CDK2,-0.45142058,2.7967424
KLC2,0.33374947,5.2055535
SH3GLB2,-4.6790824,2.2027295
TOMM20,-6.543387,6.8153396
FNDC10,-7.1474304,0.67419624
PDIA3,5.872016,-3.8062317
PSMD1,1.1925238,-6.192135
NIFK,1.7110038,10.539393
MYH7B,-6.9753556,8.71762
GLYR1,0.60117084,5.1163263
TMEM39A,6.322006,6.6923456
PDE3B,-1.3420577,0.8444362
TTC30A,9.329975,2.2306628
LSM6,8.695844,10.138212
ARID5A,12.688943,1.7892585
IL2RG,-2.0104558,16.98304
HSD17B2,8.601267,5.2415075
CD6,2.847508,-2.388889
SIGIRR,-6.840007,-1.3323077
SYT8,3.493789,5.044663
ZNF688,-5.492922,3.6645308
TLE6,-5.2419496,2.639852
SPINT1,11.366792,0.33565575
LIX1L,3.0744934,3.4917336
MTMR9,-4.9777923,1.805476
DEDD,2.9223213,-1.2925296
WASF2,13.125948,-2.6622722
TXNL1,-6.130409,10.662119
MEF2D,0.011043002,6.710456
PSMC6,10.012966,-2.4313133
CAPN7,5.736912,-4.503996
POMT2,-6.1099043,10.74926
RASD2,-3.0934675,8.111795
ATL1,-0.14272057,5.875846
EDAR,8.304097,4.7982874
ACOT13,-1.496101,-3.3817654
FAM216A,-0.97123533,-1.3527709
SNU13,-1.3860626,0.7149558
EXD3,-8.841442,-6.968953
ORC4,-3.987684,8.580521
NAE1,3.3533647,-1.8356729
CTXN1,4.7503285,3.4629362
MAF1,-7.144844,2.0967772
CHST3,4.636985,-3.9280057
PHKA1,-3.6158967,-0.8490227
ZNF511,-1.3376867,-3.351697
MXD1,2.1142902,-10.996796
SPI1,-5.1134195,-0.64546484
RNASEL,-3.2714615,-7.146479
TEX30,-2.2845473,5.0883627
UBE2O,1.2417598,-6.230955
POMP,-2.3411644,5.147083
PFDN2,9.97319,-2.455644
DARS2,2.3999877,8.8608265
FAM78A,-2.022313,16.96736
NCKAP1L,1.874934,0.44619718
SLC2A8,0.381642,-5.3484335
ACTR3,-6.7977896,9.954859
TSPY26P,-3.4434645,12.681233
ZNF215,-12.340373,4.8045425
FIBIN,-8.056306,12.310497
CRAT,-12.298799,4.844397
FAM83H,10.885718,1.1037868
RFC4,-6.103311,10.620358
