node,x,y
AP2S1,6.431911,-0.66877276
TMEM130,-2.011525,5.823076
CPE,7.587226,-7.7649813
NTRK2,5.7315025,-8.220024
DNM1,-1.5072981,-0.23878019
CAMTA2,-3.1415794,3.2892442
PLA2G4B,1.9749568,0.09043398
CLIC1,-5.468892,5.49467
SOS2,7.673978,9.063172
YBX3,-4.2775116,5.1976304
MOG,12.7301,0.96792287
CNP,12.933318,1.1648602
CAMKV,-1.7612338,5.934401
SLC4A4,9.342591,-9.287939
DRC3,9.583363,-5.659571
STOX1,6.5498714,-9.091345
NDUFA13,-0.21907079,3.6077585
SYP,-3.4718544,-1.4740032
MAG,12.980934,0.6941236
LSAMP,8.904032,-11.499455
NAPB,-0.7252284,-4.892344
STAG2,7.487303,10.349216
MMRN2,-0.062000245,8.733966
BMPR1B,7.6416154,-7.3967633
LAPTM5,-7.3260546,4.239951
NSF,-1.0147905,-4.3349047
STX1B,3.0202086,10.065354
ESAM,-0.5136313,9.216163
PRRG1,5.164058,-2.9560986
MCMBP,-7.328198,-2.9464693
JPH3,4.8126884,9.200368
ST18,4.9908514,-2.4513547
CSF1R,-8.664794,1.7718976
SVOP,-1.879938,5.4041986
LENG8,7.3905206,0.76413286
MRPL12,4.952714,4.437916
SMAD5,6.8876934,4.1693645
ATP5L,8.547577,-1.4128301
SDC2,7.830689,-7.458267
TMEM59L,-0.85235655,0.58640724
PLCL1,4.152943,-2.2316527
SLC1A2,9.467404,-10.292962
ACBD5,7.006541,2.4313118
DNAJA1,-4.520312,-8.243077
QTRT1,1.6460443,-0.28013325
PKN2,6.2389555,4.7561946
SLC39A1,-5.7864327,1.7062008
RAP1B,-6.4724154,-3.3586423
SEC31B,2.301959,0.48753032
SPAG8,6.278394,-11.142938
PECAM1,0.7222643,8.279533
PSMA7,-5.171824,0.5681249
PAPOLA,12.385902,4.384746
GABRB3,-2.506852,7.614957
ERMN,4.2088494,-1.9660432
FGFR3,10.26738,-9.985126
RUNDC3A,2.2951214,5.6724353
NDUFA11,3.8293257,3.3543088
HCK,-7.011885,4.7172794
ERBB2,8.58993,-7.0786467
CCT5,-4.2626586,-8.017342
OSBPL7,-3.580929,11.084939
UBE2D3,-4.971222,-8.566402
SURF4,-6.4698296,-0.28077087
TROVE2,7.4249344,3.1848416
ZSWIM8,-3.751922,11.752547
ALDOC,4.498405,-7.706406
MLC1,5.070016,-7.468463
GRIA2,-2.7418034,8.338896
CDK5R2,-1.7483188,-2.1712244
ATP6V0E1,1.2431723,-8.121724
YWHAH,5.3993173,1.10967
MAP3K10,11.6780815,7.7334576
MON2,10.273202,3.1572437
ITGB2,-8.056951,4.1140733
SBNO2,-4.2758384,5.49279
ANKRD40,3.7816908,-0.261501
GNL3,-6.290564,6.929315
SLC4A3,2.9046853,6.968664
PAK3,0.17811869,-2.7287197
ZEB2,4.191485,-1.6510127
RHOG,6.9248424,-13.065292
HSDL2,10.63042,-7.8257403
SLC8A2,-1.4368957,-0.50915706
CCT4,-4.6097703,-7.9041257
SULT4A1,-1.5156014,-2.4791756
ATP5H,7.823777,-1.4008139
TNFRSF1A,-5.5937014,2.4247973
NDUFB3,9.342841,-1.2315019
ALDH6A1,5.7960086,-8.506385
AP2A2,0.45127365,0.7639679
PLSCR1,-5.307619,5.4505806
TGFBR2,1.4312285,8.55116
ACAA2,5.0738993,-5.538397
RHOC,1.3816967,-7.7139063
NDUFS8,3.8018343,3.349244
NEK11,9.225247,-5.8730307
CLDND1,3.8175104,-3.044613
ITIH5,10.514068,1.3179265
FGF2,13.011665,-5.171694
MYT1,11.695027,5.1719623
STAT3,-5.62559,2.1637933
FERMT2,10.908587,-7.471575
GLS,0.17546622,-4.720455
MED13,6.252476,4.908371
COPB1,-7.2376475,-2.8084755
PACSIN1,3.5632386,9.844376
JPH4,4.793575,9.549846
PLEKHH1,11.6528425,0.45196584
INA,-1.3185669,-3.1081517
SRRM3,-5.4511147,-3.0248497
NEBL,6.1459966,-8.841693
GABPA,7.2992296,3.4276214
STOML1,0.7298535,0.8274675
PSMA2,15.36216,-8.316083
PSMA1,-4.419683,0.80395657
CNN3,12.902633,-4.6827393
KIAA0513,1.9547908,6.551783
PRPF40A,7.5687585,11.021386
IQSEC2,1.8426024,6.1420417
TTYH1,4.318224,-7.5846148
