node,x,y
NSF,3.9066808,9.194589
WBSCR17,7.4951096,-9.140781
HSDL2,2.1137736,4.149134
FERMT2,1.3974272,-2.0580099
STAG2,1.123911,-5.08276
LAPTM5,-4.1657467,2.362616
GRIN1,6.995394,2.4536433
PJA2,-4.827059,-2.574672
YWHAG,2.8407788,10.648989
EFCAB14,7.4188204,-0.054371633
DNM1,7.1527905,2.5188837
TTYH1,15.51464,4.049751
RAP1B,-2.2742972,-0.12820257
PDLIM5,15.432609,-1.182656
SLC44A1,14.098937,2.578005
ADD3,7.5806046,-0.47847214
NDUFA13,8.77218,-2.5211473
QKI,7.433485,-0.018946582
NEIL1,3.7505012,-0.4152212
FBXO11,-8.052271,-1.0426166
GABRG2,3.3010602,8.790702
CORO6,4.4830637,-0.589033
UQCRQ,8.456635,-2.0680954
ELOB,9.376242,-1.8515863
SCN2A,2.0514505,6.712534
STAT3,1.3495228,-0.4346303
CENPT,10.844399,2.2631867
NBEA,17.835493,7.1332355
SYNJ1,2.9054193,10.254538
TMEM130,6.8516197,-8.877602
SYT7,9.539037,5.9950094
KAT2A,11.326287,2.2788732
YBX3,3.3374474,1.3245795
RDX,1.2638117,-4.6953616
HECTD1,12.3666115,10.231649
GABRB2,1.1626934,7.6614394
CDK2,3.3990312,1.4496094
CLIC1,4.3104496,2.5417676
TRAM1,0.52092654,-5.754165
GABRA1,1.9511497,7.4200406
PTTG1IP,1.4060094,-8.702078
TWF1,7.7770457,0.89680433
FRMPD4,0.12568882,5.2918606
EXOC5,9.772106,3.2007942
SLC39A1,0.8301387,0.08384218
PPP3CB,2.4108474,10.551873
SH3GLB1,9.28386,-6.8815184
PAK2,0.8062772,-5.2834597
SLC1A2,-1.1822904,-3.4593186
PNMA3,4.8712254,-0.31969026
CLDND1,5.8851485,-3.9867182
SBNO2,3.2752373,1.5356852
KIAA0513,9.890865,6.639527
PECAM1,4.733975,1.7047201
RPL13A,9.507647,-3.6923048
STXBP5L,2.1497388,6.650204
PSMA1,-8.064786,2.439592
PI4KA,6.454229,3.8912263
CAPRIN1,11.747811,-7.9043965
TNFRSF1A,1.2318385,-0.1898165
MAP2K3,7.0756025,-5.2211595
PPARA,15.353951,-0.8754756
PPP4C,-7.365979,5.1292667
CCT4,4.7960896,14.496193
UBE2D3,5.5212765,13.553994
NTRK2,-0.8245269,-3.5671463
SNX13,9.729001,3.4544587
DNAJB14,-4.472576,-3.0603712
INPP4A,6.1639533,4.486795
LSAMP,13.20849,6.9617963
YME1L1,6.405579,13.0738
TMEM106B,9.895127,3.3525298
NEURL1,1.2243807,-11.424919
MEG3,4.565289,-1.0303988
NOTCH2,13.628351,-1.3540568
GAD1,17.17363,-4.8285933
METTL7A,14.445523,-1.0238109
MCMBP,9.444464,-6.982447
BTBD2,11.4193,-0.22253051
MAP3K10,11.599822,0.15302072
STOX1,4.3789577,-6.309576
AAK1,16.332209,9.477377
ATP6V1A,2.872158,10.477143
TGM2,4.432305,1.82056
UBQLN1,-7.080508,-1.7288035
GABRB3,1.55716,6.413906
CNOT1,-8.639265,-1.148847
CNTN2,3.0391738,-10.799773
PDGFRA,8.019445,-13.134104
SRPK2,-6.251981,-2.80437
SV2A,7.282758,-8.389981
GPR37L1,15.639097,3.787003
PLCL1,5.7812004,-2.5086808
CLSTN3,6.6272945,-8.905964
PACSIN1,10.785809,5.8012047
COPB1,-2.8781252,0.29025578
TRIM23,-4.414333,-3.204114
CCT5,4.694626,14.500052
TMBIM1,1.1018026,-0.84922725
IDH2,4.635371,-8.851508
SLC4A4,4.405581,-7.93124
ACBD5,6.9888067,-0.4609809
TMOD2,12.780938,6.985869
DYNC1I1,4.5089693,9.073486
AP2M1,8.677501,10.74253
ARFGEF1,12.360641,10.215598
PTGES2,2.8260064,-2.614409
CAND1,-0.30718786,2.6264737
JPH3,11.580731,0.106487066
MOG,12.412755,-2.2357533
ST18,12.425638,-2.030486
RTN1,3.7847931,9.025913
FBXL19,11.789177,0.29853964
FDX2,7.775949,4.8401
PGBD5,9.7674,6.491216
OSMR,3.062929,0.76824343
ASTN1,12.737549,7.5132794
DVL1,11.512338,-0.571337
CNN3,0.89954764,-1.2999023
TROVE2,8.264689,0.91121256
GARS,9.406541,12.9117155
PDZD4,11.644321,0.301352
SRRM3,4.7618284,-0.5263237
RAPGEFL1,6.1217513,1.2191765
CADPS,3.4769566,8.470422
ENO2,8.655071,10.885003
DNAJA1,5.0447855,14.081748
LMTK2,16.025578,9.33333
SNX6,14.983625,2.2021554
GAD2,17.168251,-4.91291
PCSK1N,4.3025427,4.5200524
SYT16,-0.2516904,8.187951
P4HB,-7.593082,4.8333087
SPON1,4.4693336,-9.898936
RAN,8.996177,13.583569
NRXN1,12.283606,7.317209
SUMO1,-1.5758072,2.711339
KCNAB2,10.753192,5.8228116
CLTC,-0.3934937,2.4884975
SELENOO,10.758193,2.6133528
QTRT1,19.140907,2.5500116
WASHC4,0.855283,-5.8684115
SMC3,1.4711043,-5.807784
TCEA1,7.8083253,0.7978844
ACSBG1,-1.3877419,-3.421485
TBL1X,15.379921,-0.41977763
SS18,10.050446,-0.02588396
ATP6V1C1,1.7696588,10.364175
SYNGR1,17.769455,-0.43554887
PLA2G4B,11.38443,2.1719263
MYRF,12.361096,-2.2317188
ERMN,5.922489,-3.3619943
RPL32,8.948682,-4.2220626
ARHGEF9,-1.5595773,-8.33967
ZNF382,16.954401,9.775591
DCTN6,16.90601,2.1500537
PSMA6,-7.7054563,3.0164175
RELA,0.7750742,0.08332948
AHSA1,3.1766686,15.053473
CCNL2,11.622708,2.1046987
WTAP,-7.818929,4.0451365
PALM,4.0142803,5.071282
MYT1L,6.0874624,4.666877
PRTFDC1,7.75202,-1.2190504
RAB6B,6.284112,4.269535
FBRSL1,11.542165,-0.5430372
GJA1,14.122401,-1.1012906
C1QC,-3.785709,2.5665
SPTBN2,10.903465,5.721251
PCMT1,-0.90051603,2.612397
GLS,3.437191,10.133185
MLLT11,13.434173,3.3455942
KCNB1,8.042722,-8.337807
ARID5A,6.987696,-4.981522
KNDC1,9.10228,-11.081137
OXR1,-6.35259,-2.5813277
ADGRL3,13.125827,6.6528916
SLC2A13,-0.25056458,8.194073
MSI2,4.555826,-6.3873754
NDUFS6,8.802952,-2.6360183
ERBB2,2.2916865,-8.26466
NOLC1,-7.3122005,-1.1477202
ACAA2,2.0756674,4.1849494
KCNQ5,2.9364264,8.473651
