node,x,y
SMAD5,6.411049,-1.3813661
NSF,-2.928459,5.7653112
IQCG,-3.872819,2.0374072
ADD2,-3.9672685,6.653105
NDUFA13,-8.86056,-5.5739183
ARHGEF9,3.2482433,-6.5397253
PJA2,3.2066483,2.5625193
HSDL2,3.71406,-2.5248144
LAPTM5,5.935835,-4.5315537
TNFRSF1A,5.0864143,7.7537475
MLC1,2.7146516,-2.8770921
RBFOX1,-4.761742,6.394687
RAB6A,3.5754256,2.5896444
YBX3,5.0868015,7.6389866
METTL7A,3.536507,-2.9421906
DNAJB14,-8.305073,8.465945
PPP3CB,2.5518882,3.8036478
NOTCH2,-8.414699,4.056119
RHOT2,8.330565,12.102253
SYNJ1,2.510469,3.8476124
TMEM130,-4.0533814,6.9403987
SLC39A1,4.0776796,8.06693
PTGES2,1.1293153,-1.9272337
SUB1,4.172897,2.8297644
ELOB,-8.451599,-5.8346877
STAG2,7.0964146,-0.2123469
DRC3,-2.5404174,1.6708528
ALDH6A1,3.7847397,-2.267813
GABRB3,-3.36801,6.069352
BRICD5,7.230509,13.129557
CAMKV,-5.761005,3.2118723
NDUFB7,-9.2283,-6.0737667
AP1G2,6.525913,13.516203
QKI,6.4966683,-0.62206054
SLC44A1,9.442007,6.7490854
RHOC,-0.8078908,4.8467546
SVOP,-2.3670862,9.041261
UNC13A,-1.8422066,8.025452
EXOC5,9.612858,-1.1418389
TMEM106B,7.41094,-2.1296117
PLA2G4B,7.385859,13.168905
SLC1A2,-0.4392221,-3.4548805
ZNF24,6.763859,-0.7241469
FBXO11,-0.03956943,10.704429
STAT3,4.880193,7.578061
CNTN2,5.6555142,10.14621
KCNQ2,9.19762,3.7919734
SBNO2,5.824658,8.092355
ABLIM2,8.960447,4.5172257
NCKAP1L,6.2475724,4.177453
CAPRIN2,6.39102,6.435129
CAMTA2,3.659742,12.852329
NEK11,-4.6061206,2.0009754
DNAJA1,9.393589,-4.4412804
PAPOLA,10.062571,-4.516038
CETN2,2.122956,5.9293528
QTRT1,7.9915366,12.539727
PTTG1IP,-0.99427646,4.245706
LENG8,14.209243,4.196482
LSAMP,1.8455099,-8.772934
CALM3,3.1197202,-6.539412
COX6C,-4.6900134,-3.7397606
NMNAT2,3.2936354,-6.3476195
MYRF,5.4216623,10.167336
ATP5L,-3.9915729,-4.010696
GNG12,3.0346754,6.814524
OSMR,4.793256,7.4716473
CAPRIN1,12.300889,3.227033
JPH3,9.289585,3.6158187
EIF4G2,12.262504,3.2176504
TMBIM6,-8.696714,3.8022668
DGKZ,9.417634,3.1625507
MYT1L,-5.8547745,6.750778
ELOVL7,12.76534,8.334159
FGFR3,-0.07257536,-3.6459138
TRAM1,6.741659,-1.6167175
SLC1A3,-8.854602,3.0158782
ATP6V1E1,2.692911,-5.7509403
ITIH5,-4.284402,11.477232
AFF4,10.632895,4.8725295
MOG,6.0408907,10.574108
CLTB,1.3097695,-1.7167051
MAG,6.30146,10.6645565
TRUB1,-9.334733,6.949107
AGTRAP,-0.9908026,4.6528587
ATP2B1,-5.9944806,7.094932
CDKL5,-2.622185,6.5338044
PTAR1,6.1234517,-2.0597382
PLD3,-5.032597,0.21141285
ADD3,5.3763304,-0.065857604
ZEB2,8.815133,7.3526483
DBNDD2,6.342376,10.66445
TWF1,9.592725,-0.6935789
UBQLN1,4.558451,1.2719051
TMEM232,5.6204195,2.1884186
CORO6,6.284976,13.666153
PPM1A,-2.9911501,-0.1341917
PTGES3,9.40126,-4.4469066
TCERG1,1.6221893,11.6902895
ANAPC11,-8.041152,-5.929135
GNAL,-4.7569504,6.023927
U2SURP,3.68326,0.1009502
TTYH1,-0.08587108,-4.0388064
UBE4A,-0.26816553,11.238524
DNAAF1,-2.6684082,1.9513075
HSP90AB1,3.6944735,-4.9980483
TUSC3,-1.3432524,9.33428
CD164,-11.782682,2.6431463
TRANK1,6.4294195,6.503466
GAD1,0.6407476,-0.4696976
CNP,7.3330517,10.146106
CSF1R,6.29864,3.8041437
CTDSPL2,7.887472,-2.418551
PCDHGC3,-8.19794,4.6115346
AK1,7.138978,-8.858916
YTHDF3,-8.0862,8.692587
NGEF,-4.9244847,-0.93063194
IL4R,12.2887945,8.210299
CPNE3,2.7398515,7.5071044
ACTL6B,-5.3932877,-0.26565757
MED13,-1.3826065,11.050774
PANK3,-2.988809,0.065731905
FERMT2,-8.736762,3.429202
OTUB1,1.0442334,0.7016908
YWHAG,1.8392953,4.5373287
