node,x,y
CXXC1,3.3987362,0.060554557
ANKRD13B,2.403826,1.0606335
CENPT,1.6102092,-0.47112516
NOTCH2,7.8305798,7.424988
CGREF1,9.603305,4.791169
MAST1,-6.574508,11.789504
RPS6KL1,11.366084,8.7676525
SAFB2,8.119883,-4.542051
PJA2,-1.5312189,2.8704245
ELOB,5.667434,2.9912221
U2AF2,12.378518,0.32726797
CARF,-2.6581872,9.5223055
PHF6,-1.2480038,14.446562
ZNF770,-2.1590567,5.8627324
ASH1L,-0.4716598,4.9392576
DNAJC6,2.7080617,9.341212
INTS11,3.379639,-1.135517
ZNF780B,6.8444433,11.739607
ARPIN,0.557593,-2.3629055
MPI,8.736542,5.3540974
RNF112,11.726844,8.860016
NPDC1,0.72733134,-0.07842903
LIME1,2.9091766,-1.6934402
RHOT2,15.717564,3.2431939
DGAT1,-0.39645803,-4.2558727
MON2,6.916416,7.007917
PPIP5K2,7.040579,6.63061
SHARPIN,12.44731,2.746513
DONSON,0.28610018,-2.6446335
ICA1L,8.829806,7.0794873
GRIA1,6.55583,9.435651
CNOT1,-1.2777263,5.1977906
DMXL1,7.978319,9.388646
MTCH2,6.2160034,5.3890758
NUDT17,-3.1442823,8.165754
DNASE1L2,2.63784,-2.6665041
UBR3,10.629191,-1.9066015
GOLIM4,-0.7937852,-1.3053423
DHX15,-0.82410973,14.593042
DNAJB14,-1.0148085,11.073955
KPNA5,13.482609,-0.94774175
GAD1,-7.948672,6.904607
ACTR2,-3.4927924,11.0140295
CAPRIN1,2.2925937,8.658773
ROGDI,-0.7805944,-4.269691
PPP1R37,3.946792,2.740342
UBE2V2,-3.8566654,10.34169
BCLAF1,1.9623446,6.0448008
BMPR1B,7.1746573,8.422893
COQ4,-0.3808138,8.138378
SLC25A10,1.3065249,9.850171
MBTD1,2.267121,6.869914
FBXO44,2.8236141,0.1773818
MOG,9.800378,11.93241
RBM10,2.7632236,-2.0289354
PRR14,3.6948144,-1.8551903
NDUFB7,5.074538,3.0661228
MFSD8,8.583954,-1.9699926
SNX13,6.496534,8.69038
FRRS1L,8.446231,2.7524173
PLTP,2.8006592,-6.0498476
CYHR1,2.8573635,-1.7618699
RC3H1,1.9302859,6.7876854
ANO6,13.283254,-3.6211026
NUDT21,-1.4129585,2.6347384
FKTN,8.61838,7.0893893
PIGK,7.4934163,-5.026669
SCRN3,7.818806,-4.747086
ANKS3,3.4508243,-1.8829522
DUS1L,15.932027,3.068947
SLC1A3,6.460616,9.694292
MLC1,2.6401122,-6.2618217
CBLN1,12.109604,7.5646863
ABHD13,-6.84042,-4.135024
ZNF782,6.5433307,11.862815
RAD21,-1.203233,14.712702
FIBP,1.7622753,5.107034
CACNA1G,4.66194,1.1261239
ITPR1,4.319176,1.1203492
SYNE4,12.035824,8.359437
PDS5A,7.7496195,-3.0678906
SMIM10L2B,8.433673,4.929344
TAGLN2,-4.4611807,3.568487
PEX16,1.8515096,9.663559
YBX3,-4.354963,2.9560103
PYCRL,8.577748,5.306429
FAM8A1,-1.4930564,14.520237
CRELD1,-6.586611,11.8159895
LHX1,5.28633,14.008015
FGF17,-5.827341,7.829959
PTPRK,7.426525,0.23105338
ZBTB33,-1.7581718,14.186998
RAB18,-1.5163718,2.587649
GSS,14.802383,10.247085
ABCC10,-0.73044425,-4.1857963
SLC4A10,-2.613026,10.268361
SLC25A46,-1.7948165,2.7727225
RCOR3,9.484044,-2.6841993
TTYH2,9.330386,13.1439295
PAPOLA,14.413991,7.719418
ZBTB11,1.5533934,11.284428
PODXL,9.371675,10.413631
ZNF692,2.897662,-1.0950924
MIB2,3.748396,2.5388188
THOC1,3.058399,12.441919
PRRC2B,10.507526,2.7143655
PPM1A,11.131303,-5.5669403
DNAJC10,-4.905216,-1.5889974
VPS26A,9.114867,-2.2991917
DNM1L,8.7360735,-1.9370426
ZNF662,8.985128,7.3257995
IMPACT,-3.7314544,4.370721
QSER1,13.541264,-0.7150875
FASTK,0.03321667,-4.2137733
UBQLN1,6.0420227,1.6839665
ZNF583,9.383863,7.145713
RFX1,7.6870317,13.198387
DICER1,8.125368,9.377453
MYRF,9.700893,12.1270485
PTOV1,-3.2446249,7.828591
SMAD5,14.316925,3.726627
LTN1,6.4465985,8.064971
ATP5J2,5.6883492,3.9859004
CEND1,5.1205773,-7.58647
TRIM23,0.2489217,6.947376
SEC23IP,8.989129,-2.6836195
WDR33,3.2014687,12.80668
NDUFA13,5.9570284,3.5086956
PCYOX1L,14.846044,10.18942
ADM5,-3.0340564,8.318347
CIRBP,14.7405205,10.333548
GOLGA3,-5.2259183,-1.2247891
PCNP,-1.3431295,2.5847046
SPRN,14.353516,0.97844344
NFAT5,-2.2846873,5.996814
PAAF1,14.967922,9.314505
ZFYVE16,6.8865604,6.8710623
U2SURP,6.6583776,7.166778
TNFRSF1A,10.776577,5.8554797
ITGB2,2.0619328,19.004652
RPL13A,-1.5186036,0.24130084
ZBTB46,-6.313502,9.245972
CCNA2,14.450295,8.039925
SRSF1,8.378153,-3.1785927
TTYH1,2.5937686,-6.1220355
MSN,13.045905,-3.588475
EDF1,5.005434,3.0899973
PLCB4,13.189194,7.9232807
BTBD11,-7.992678,6.642528
PLCG1,9.560912,14.492396
LAPTM5,1.9390894,19.16409
PECAM1,-4.50658,3.5942698
TTPAL,6.412665,5.0324764
PRPF40A,14.192936,3.5498784
WDR26,2.3211725,6.0361466
PCID2,8.429332,-3.0340052
PPP3CB,2.251453,14.310807
HID1,3.7452042,-0.2817442
KMT2B,7.9093184,13.181738
SUZ12,10.211709,-2.452077
SASH1,4.930087,9.3892765
CLTC,-4.2659593,10.938541
QKI,-0.96246207,-1.4618406
OTX2,9.600995,0.022315485
ABCD4,-4.308949,7.0917687
CHN2,13.180864,7.733207
ATF2,-6.5568423,1.0571337
ATP6V1A,2.7793853,9.576578
CPT1C,2.6314743,-2.822942
ELMOD2,6.7353067,6.61291
HGSNAT,14.911065,10.032601
