node,x,y
CXXC1,6.1596394,2.4579365
PJA2,6.233822,2.7267816
CGREF1,-0.41836485,-9.297688
MAST1,8.934043,3.6534784
PPM1A,-1.5252743,1.7507883
BCLAF1,6.4189563,5.9457197
NAPB,11.350065,6.416623
DNASE1L2,10.99504,8.165212
RPS6KL1,0.4558498,-9.292998
VPS26A,7.0539904,-12.345617
FKTN,1.3650688,-1.6193196
CYHR1,7.7777805,4.67715
PAPOLA,-5.518396,0.30313358
MAP3K12,0.16674685,-10.403295
ATF2,5.66442,12.36905
NOTCH2,-2.8995724,9.455019
ABHD17A,-3.6541512,4.6941133
PPIP5K2,1.626773,-1.1758065
PPP1R37,2.0369196,3.0998254
TTYH1,11.695831,1.2077159
ZNF781,-4.970891,-3.886025
MIB2,1.2324054,3.3087182
RCOR3,11.632122,-5.161456
ICA1L,1.1756719,-2.1625652
U2AF2,8.836405,3.5827014
PPP3CB,11.182317,6.3028626
ASH1L,0.6006629,5.849495
RAB6A,6.615468,2.6568835
TMBIM1,-0.34251916,10.364534
MON2,3.771529,-0.36923897
SLC1A3,-0.01692082,6.4250298
DNM1L,-1.7145085,5.264069
MINDY3,3.3918495,-0.6715363
CACNA1G,3.8656957,-3.9705
PYCRL,-5.850709,-7.416955
TAGLN2,5.736926,-5.128604
NDUFA13,8.810666,-3.629458
ROGDI,12.590179,8.932105
CIRBP,-5.391043,-7.758235
GTF2A1,-0.54327434,2.1472113
NPDC1,0.5052393,8.227879
NDUFB7,8.910209,-3.9139106
HID1,3.96984,1.5505271
TNFRSF1A,5.920368,-4.311485
MSN,-3.6386697,10.289287
ZNF75A,1.8609444,-5.298788
PCYOX1L,-4.964962,-7.9321227
EXOC1,-0.068990596,-3.9086466
SEMA6B,-4.359292,-1.4422891
RBM4,10.24959,7.52338
FBXO28,7.043833,1.1300125
KIAA0408,-2.6051674,1.5442227
ADM5,9.836579,-2.0744386
AFTPH,-2.350502,1.4358531
S1PR1,11.267232,0.2781548
STX1B,1.0265727,-8.112238
