node,x,y
YBX3,-4.392028,-2.8790727
MAP7D2,10.217113,5.285444
EFCAB14,8.643133,0.2613884
KIAA1549L,10.156417,4.71084
STAT3,-3.9547026,-0.8092219
ATCAY,14.232852,1.4728227
RAB6A,5.086229,1.7400606
PRKACB,0.7585267,-3.1633384
FBXO44,14.167459,-5.9353848
FBXL19,9.498098,9.8483515
RAB2A,4.0892944,1.1653562
NSF,10.372692,5.5925274
PJA2,4.073446,1.1620737
NDUFA13,8.524141,6.785142
DNM1,13.702642,-4.1960187
ELOB,8.395832,6.7089176
GABRB2,5.571761,3.5634308
RHOC,0.23158543,1.3068384
AP2M1,10.755082,-4.7889605
CAMKV,13.7458935,7.2826977
CNN3,-2.0410657,0.689688
ADD3,9.073127,0.82514244
CNP,8.111492,4.6616383
FRMPD4,10.130427,5.12265
DNAJA1,-3.170311,6.524629
SLC1A2,-0.9514643,11.292808
CPNE3,1.2540195,9.619428
SYNGR1,15.185248,1.096183
SFT2D2,4.454188,12.961656
AHSA1,-3.0159688,7.411345
WBSCR17,14.143837,1.2030792
KCNQ5,12.913505,5.863529
LAPTM5,-6.300654,-5.97266
MAP3K10,10.407464,9.874931
OSMR,-3.8365622,-1.2157426
SLC44A1,4.8473377,9.145224
HSDL2,-0.28654858,9.349863
TMEM106B,7.2407837,-6.0331745
RHOT2,11.25593,16.20578
NGEF,13.398272,7.124252
TRIM23,0.95347196,-3.3372266
DBNDD2,7.032477,3.6038268
HCN1,5.69485,4.1681256
SYNJ1,1.6653614,-2.4184577
MSN,-0.4284727,1.0687096
RHOG,9.541057,5.2953825
SLC1A3,12.009233,2.8253214
MYL12A,-6.534003,-3.6988056
CLIC1,-5.982607,-2.76318
PPP3CB,9.839653,6.9591637
ACAA2,-0.10328952,7.8782015
FAM57B,9.32066,9.9546585
SLC25A46,4.5364556,-7.3870063
GAD2,3.4066849,7.8128757
OXR1,1.3564713,-3.2873785
RTN1,6.198103,5.4792037
MOG,5.810886,7.0216436
MLC1,4.5730767,5.5600033
NPTN,5.437112,2.3965473
ATP6V0D1,10.559896,-4.750537
STAG2,4.387927,2.5418963
SV2B,-4.189495,4.3368692
PTTG1IP,0.9767274,1.132238
SPTBN2,5.846175,-3.402897
SLC39A1,-3.9957187,-0.6510996
TMBIM1,-2.7142866,0.21180852
OSBPL7,0.5738875,5.5142684
PECAM1,-6.740645,-2.9518206
ATRNL1,12.923068,5.913699
ADD2,-3.8388515,4.365486
ACOT7,12.065897,-5.249973
SLC2A13,10.239691,-0.28639945
NAMPT,-2.314539,-4.9755497
TROVE2,1.2852228,9.997927
QKI,3.806815,2.343779
SLC35A1,-1.0096523,-0.7121588
PTPN5,14.161995,7.4481564
TRIM28,0.55071837,2.6411285
PAPOLA,-6.216582,6.068811
ALDH6A1,-0.28713012,9.732762
ITGB2,-6.5108705,-6.1373787
RAB3A,12.6122875,-5.5070043
CLSTN2,3.6397698,3.1771894
TBC1D12,6.731798,10.357325
CLDND1,6.0328403,9.497901
ABCA2,0.7650566,7.291806
RAB18,3.6943195,1.0678384
ZMYND11,3.6927762,6.459521
TMEM155,12.267101,5.09238
CHRM3,13.285299,6.8780885
IL4R,-4.7824073,-3.7955427
TCEA1,8.340558,-0.39550135
COL1A2,-9.455501,1.7412477
ZNF638,1.9665159,-5.9016657
TCERG1,-0.76575476,-0.6135064
CSNK1A1,-5.1859393,6.699605
OPCML,10.157992,6.1544576
FERMT2,1.0469128,9.224378
ATF2,5.516985,-2.26165
SNX13,6.107712,-5.9398966
SLC4A4,-0.98255515,10.8836975
FGFR3,14.041942,10.214485
SCN8A,-4.191286,4.369326
ZDHHC17,5.0077643,-6.767694
CACNG3,13.47579,7.0513477
DNAJB1,-4.866751,-1.8682947
KIF3C,4.9566917,-3.5150254
GABRA1,5.569044,4.1514177
UBE2K,-0.29725078,-1.0457878
SH3GLB1,-1.490251,0.66872627
FPGS,-3.2697606,6.6280494
CC2D1A,11.2958555,16.25551
PTPN4,5.7109694,-4.353752
QTRT1,-8.660838,6.74435
DCN,-9.525455,1.5114521
MON2,-7.8470283,5.0368266
PPP2R5D,11.165181,-5.058967
INPP4A,10.098204,7.0430923
RAD21,3.4145045,6.5051546
SMAD5,1.2024235,9.9466505
MYRF,7.133453,5.30096
EIF4A1,-2.0526385,-5.230557
ADAM11,-0.75721776,3.3741364
STXBP5L,10.123936,6.345586
GABPA,1.4045967,10.420233
NOTCH2,11.999387,3.003441
ERBB2,-3.4309042,13.763014
SULT4A1,13.960038,0.78134084
METTL7A,14.523407,9.709758
DNAJB14,4.9148064,-6.8302917
NBEA,10.298763,6.5034227
CLSTN3,11.914004,-7.0055795
IP6K1,8.790681,-8.560605
SLC44A2,-0.3117765,7.185696
SCYL1,10.230335,-10.225718
CFL2,6.471017,9.574158
SRPK2,0.7354571,-2.6798174
PLSCR1,-2.1821234,-4.4351573
GABRB3,10.521953,4.0179563
PHLDB1,8.266789,4.9122415
AP2S1,7.5194206,7.929557
TAZ,-0.13840179,6.047547
HADHA,-0.10400624,7.4404836
GLI3,11.902943,3.5593379
ATG4B,-0.21851435,5.25839
DOCK3,19.295103,1.2843617
FARSA,10.489894,-4.7654467
RBFOX1,1.9075372,-2.2296534
CDKN1A,-4.0893893,-2.6996849
EXOC5,3.2928507,6.489632
C2CD5,-0.6889121,-0.7619065
ATP13A2,14.841295,-3.3862848
ELOVL1,8.252602,4.699078
NDUFB7,8.409315,6.4010267
NAPB,17.284763,3.4242957
PDZD4,10.347359,9.75536
CLUH,-6.2458353,2.4027717
HINT1,4.4374123,-0.46829167
STRN,6.727136,10.494593
MAPKAPK2,-4.0767717,-0.55241543
PIM1,-3.6238897,-3.265585
WTAP,-2.3591104,-5.0841217
PAK1,-3.107834,4.360213
UBE2D3,-6.4626484,6.0418386
HS6ST3,10.801856,3.6288683
U2SURP,-7.598292,5.276231
PAK2,4.659805,12.756408
KLC2,14.51565,-3.557745
ALDH1L1,-2.9023113,14.035195
LPP,1.6105434,-8.225161
SGTB,2.0209308,-1.7762413
AFTPH,-0.08169892,-1.2023894
