node,x,y
SYNJ1,0.65027326,-1.3916388
LAPTM5,2.7572095,7.8932242
WBSCR17,4.1136045,1.558647
DNM1,3.4921832,3.3929095
ELOB,-5.2495885,4.7428865
HSDL2,-0.73166007,16.067123
SNX6,-12.120231,7.8824058
PTTG1IP,0.17896049,13.937563
CLIC1,-0.08668486,7.163612
RHOC,0.8815384,13.823455
SYNGR1,3.0423844,1.4500221
NBEA,1.1219279,-0.10813203
EIF4A1,-4.590751,16.748049
HS6ST3,6.1502986,-6.137011
KCNQ5,5.266682,-3.5485778
PI4KA,4.5995126,-1.5619484
ATP6V0D1,9.64063,5.876407
MAP2K4,0.94241494,-1.3569077
KIAA1549L,8.279302,1.830241
WNK1,-7.968705,5.0024595
GABRB3,7.8250637,1.1647803
QKI,-3.8304665,13.613807
NSF,8.716863,-2.566521
DNAJA1,-7.6688027,1.091269
ITGB2,2.48038,7.318218
YME1L1,-10.664183,3.401973
ATP6V1A,0.46386698,-2.2018578
CNN3,-1.1564903,13.815513
KCNAB2,13.363972,6.4626656
NDUFB7,-5.1761675,4.3045797
CLTC,-0.23151796,-2.405359
RAB6B,4.1517544,-2.2094657
NDUFA13,-5.026821,4.264115
DLG1,-6.5294814,6.053208
FBXO11,-1.3352177,3.883406
REST,3.1998165,11.398197
EFCAB14,-3.5068438,13.764126
OSBPL7,10.09602,16.400316
SLC1A3,0.2696729,9.282185
AP2M1,5.1941686,6.2649775
CPNE3,2.454955,16.290335
SPI1,4.3337617,6.8165574
RBFOX1,4.889965,-3.425271
PTPN11,-6.610099,10.305975
METTL7A,-0.38969827,8.775269
GABPA,2.0607271,10.789757
PAK2,2.9770305,11.479778
SLC44A1,-4.6492405,-0.5671741
PHYHIP,2.4106002,5.321246
MEG3,7.664807,6.8406124
YBX3,-2.1192458,10.86185
MAGT1,3.3916795,11.484753
CHRM3,7.7564282,0.99243647
MOG,-9.166915,-2.8366876
PRKCH,-3.2844536,7.9310207
ACTL6B,2.6709282,4.2682376
