node,x,y
CNP,8.993463,4.794481
NTRK2,2.6039846,0.5915582
LAPTM5,1.459793,8.620911
MOG,8.685303,2.4058414
TMEM59L,1.2391171,0.22112568
DNM1,1.3178754,0.65215415
NCKAP1L,0.8179732,7.75779
CLDND1,7.231453,1.4752215
PRRG1,7.7349367,2.2202733
AP2S1,7.69987,-5.0906835
IL4R,2.094864,11.014574
ADD2,1.6685901,1.3423035
SLC4A4,2.8785965,1.0088159
ITCH,-4.3577323,1.7562318
SLC1A2,3.2406013,1.6181568
GABRB3,-3.1534111,5.112443
FRMD4B,8.589339,2.0221062
RAN,2.0730996,-3.2591093
NSF,8.36158,-1.6429822
EFCAB14,-2.83732,11.5655365
TBC1D12,7.896742,1.6253462
DNAJB14,4.439947,-6.370852
ZNF644,9.996116,-6.8196545
ATP6V1A,6.5950146,-2.099435
TMEM151A,2.3601434,4.7970123
STAT3,9.307455,8.444918
TTLL7,-1.6255212,7.697975
TRAM1,9.435193,-6.4811463
CFL2,-6.178443,5.413503
CAMTA2,10.789777,5.9724836
STOX1,3.1773725,1.0358354
SUSD4,0.57060945,4.7131567
SPAG8,-3.304429,-4.359524
U2SURP,-2.3051639,7.8465548
UBE4A,10.980196,-1.6093113
DYNC1LI2,-2.5131683,1.9212027
BMPR1B,-0.15351726,-0.55161726
GAB1,7.924839,2.7655864
UQCRQ,-0.7132388,-8.459171
QKI,4.1037235,-2.5149808
GABPA,9.44722,-6.356379
SVOP,2.0062435,1.0086381
GARS,1.2243797,-3.2988584
OSMR,1.8392664,10.966453
IKZF5,9.920963,-6.941482
DBNDD2,2.896985,-7.011624
SYT13,5.869735,-10.450375
MAP4K5,-10.669466,-5.1232085
YBX3,1.7033839,11.071819
PRKAR1B,1.1255703,0.9781811
CNKSR2,-3.2506843,5.2302895
PTP4A2,-2.8680868,2.667967
DRC3,-3.1338475,-4.2312145
UFL1,9.697269,-6.566331
DLG4,-1.2427613,4.733241
NAPB,7.934011,-1.8233216
FNTA,-6.2754965,5.571828
ATG4C,8.184699,2.9931214
ANKIB1,-2.2961495,12.138058
CERS2,12.069175,-1.6802019
TCIRG1,2.3676345,8.877632
SZT2,-11.3974085,7.474581
ITGB2,1.2321678,8.3013735
MMRN2,4.4062467,10.087273
LRRC46,8.578135,-4.5273795
MYT1L,9.320959,-3.0591912
SYNJ1,7.1076074,-2.7211618
CNTN2,11.744886,-0.97200686
SLC1A3,3.0429122,0.57294333
TNR,12.820371,-4.399068
CLTC,9.123541,-0.38992447
RNF187,4.7605505,5.8529334
PLEKHH1,9.233482,1.9865359
