node,x,y
DNM1,0.757542,2.3597503
TMEM130,1.6867168,-3.1086776
PRKAR1B,-4.229416,2.4000928
PRRG1,2.5070689,7.1621885
QKI,-0.8208642,5.808589
NCKAP1L,7.726387,18.334871
KCNQ2,-0.6677757,12.762217
TROVE2,9.536369,13.861293
MOG,5.411139,1.9804031
ITCH,5.6602945,-3.3415172
SVOP,2.3912704,1.4860294
STAG2,9.301049,13.743682
TMEM67,-11.115859,7.6210794
CNP,6.3530083,1.9093891
SGSM1,7.5023174,-5.2689424
LAPTM5,6.8489757,17.080963
UBE2D3,2.0434449,-8.198568
NDN,8.380437,-5.0790033
WNK1,1.30641,15.788205
DRC3,-5.545394,-6.1203756
MED13,10.136756,13.509988
SEPT7,1.039012,7.6762695
TBC1D12,1.9790533,7.719939
ST8SIA3,12.620984,1.8218188
SLC26A11,8.648035,-4.934658
ITGB2,6.963303,16.979752
ESAM,7.2589884,7.445315
UQCRQ,-5.4478364,-1.6874181
OSMR,5.537593,12.816768
ABCA2,5.4225407,3.2281196
CLTB,12.46576,10.02306
DENND6B,-8.7614355,2.9727576
HSDL2,-1.6153368,2.8531232
SBNO2,4.9419894,12.954399
CELF5,12.437911,1.2957703
ZFR2,-1.9436414,-2.2735977
UBE4A,8.838185,11.410414
SECISBP2L,1.4892626,7.996544
ATP6V1A,10.461521,3.621449
FBXO44,12.064591,9.3025055
YBX3,5.402583,12.907254
CLDND1,2.8959687,8.615335
SLC44A1,2.1429536,6.936755
PSEN1,5.417793,-2.0968075
KIAA2022,-5.806771,8.64578
ZEB2,1.9466958,18.456633
ABHD8,-5.699279,0.7829061
TMED7,2.1918314,12.118616
CC2D1A,6.2306485,9.925485
PAK3,2.0243387,-2.9902604
ELK4,14.184492,6.9462276
GJA1,-1.8495908,-6.129693
DLG4,4.643084,10.037721
EIF2S2,1.9938747,-8.410534
NTRK2,1.9825275,-0.51693213
NSF,0.63114095,6.0172257
NDUFA13,-5.568189,4.6138015
RNF13,5.0935907,-2.0608866
SLC39A1,5.345538,13.576958
EFNB3,13.372092,-2.246038
ADGRF5,7.5451355,6.94728
PDGFRA,0.28953344,17.671864
SNCB,7.774395,4.833143
GABRB3,13.29901,2.2036767
MAP3K10,15.495895,-0.9363198
CSDE1,0.3830925,14.077024
MAPKAPK2,5.3033667,13.825892
TNFRSF1A,5.4206877,13.395037
SCAF11,-1.6389291,8.9103565
CNN3,-0.9395671,16.769705
MYL12A,6.6372614,13.651898
IQCG,3.475946,-3.072429
FCER1G,6.8793783,16.201418
TWF1,8.865244,13.644638
UFL1,2.114827,12.147796
UQCR11,-5.567319,-2.4300768
