node,x,y
QKI,9.3401575,0.14895223
ADD2,11.115388,5.5930443
ENTPD6,-3.2787309,-0.029994579
NSF,8.923651,4.267879
STAT3,-1.571754,9.265266
GABRG2,12.434847,4.0379286
YBX3,4.242803,8.936312
SNX6,10.2566,-0.4938796
SMAD5,8.658752,0.15575317
ACBD5,10.809643,-3.5212474
CENPT,3.8489945,-4.070942
PTPN5,-0.81734574,-7.1881766
NMNAT2,11.01615,4.3464656
RAP1B,5.0984216,-0.030379023
ACTL6B,10.520037,6.2181573
TMEM130,10.5048895,5.6142364
EPHB6,0.011670699,-7.3806324
LAPTM5,2.486519,-5.342523
CACNA1E,-1.252459,4.5868974
SLC39A1,-1.3794093,9.099008
DDAH1,2.415749,9.4829445
TNFRSF1A,-1.1428541,8.853787
RDX,10.057313,-0.015369168
ADD3,3.3797982,-0.93290305
SEPT7,9.98602,-0.44906518
TCEA1,8.153169,-0.93303865
RBFOX1,-1.6972736,5.419736
HSDL2,-3.9197347,10.366055
CDC73,7.721277,0.32540542
NDUFA13,1.5524678,1.2615911
CPE,0.24010518,2.227692
PHYHIP,-0.5598947,-7.1808696
C2CD2L,-3.0448465,0.123876214
KCNQ5,-1.4376088,4.6141443
DNM1,10.324438,5.6651096
QTRT1,3.5897493,-4.138012
SLC44A1,11.388468,-0.01770711
OSBPL7,3.2216985,-2.6717117
FBXO11,-5.824656,0.40765092
CD53,2.5650027,-5.500069
MOG,7.1943693,9.960277
CLIC1,-8.291255,-2.4357774
SEPT5,-1.5192811,-0.63032275
ELAVL4,-4.6969604,-7.7520328
IQCG,0.3635529,9.6711035
SBNO2,-0.5741969,7.819226
GNAL,-1.8010826,5.337143
DMTN,-2.0675626,-1.9752135
UBE2D3,-0.06496302,-2.4578056
SYT16,5.491881,7.423892
DOCK2,2.9677727,-4.9517283
WNK1,3.4109874,4.0992346
RGS14,1.432848,3.3061833
UBE4A,-5.1209345,0.7497554
ANKIB1,10.699068,-2.9265976
CNTN2,5.1992035,6.0844083
MAG,4.60794,6.091221
DBNDD2,4.5662827,6.095595
JPH3,-1.1334004,-0.4418338
FBXO44,-3.051903,0.2936158
CNP,4.402106,6.159019
ABLIM2,-2.9126818,-0.29007936
FRRS1L,5.56118,7.3902855
