node,x,y
RBFOX1,3.7525535,2.6422646
TROVE2,12.080251,-4.5895734
ACBD5,2.365148,-6.814299
RAP1B,4.191509,4.2038302
QTRT1,7.0507965,6.2940016
DDAH1,-5.2457385,2.1543097
SYN2,1.0784894,-0.5332054
NSF,8.087497,4.84262
ZNF24,-0.073831216,-5.807653
ENTPD6,8.75214,2.4275646
LENG8,14.721174,10.361952
QKI,0.1745861,-5.2062526
SLC1A2,-4.712144,0.6071276
SPARCL1,-5.084488,4.0753803
TMEM130,6.463857,0.90246224
YBX3,6.520545,-5.068583
CORO6,9.014772,6.188794
ADGRF5,2.5477188,-1.4480549
MED13,13.823825,-3.4463558
MAGT1,8.124022,2.3608625
CNTN2,8.403259,8.4170065
NOTCH2,-6.3022695,2.2148893
TMBIM6,-7.0104094,-1.0989363
STAT3,7.441612,-5.640859
LAPTM5,12.49961,9.456183
EFCAB14,0.5403039,-5.562374
TRAM1,4.362701,3.3250732
DAG1,-6.9911647,1.7050049
CAMKV,9.728551,1.884387
SLC39A1,7.8133297,-5.741347
CAMK4,3.3291798,8.536584
ADD2,5.937634,1.1140467
NGEF,11.93681,4.35226
PPP3CB,2.4671445,5.2347975
CNN3,-5.5296903,-2.7944362
TNFRSF1A,7.180324,-5.752672
COPB1,4.079096,5.2087827
BMPR1B,-5.6838236,2.3336163
ATP5L,13.598158,13.682548
GABRB3,5.676238,1.1812246
COPE,-5.7295103,6.1648455
SEC61A1,9.246559,-6.2605877
DNAJB14,14.055076,6.0033154
OSMR,7.1709723,-5.4915304
DYNC1LI2,3.9707396,-3.421371
MOG,8.137553,8.41657
GNAL,5.2134576,1.3338324
AMOT,-3.2246974,0.03526454
TWF1,6.8306103,-8.364026
MLC1,-2.8342166,5.619587
SLC44A1,15.520587,3.094628
OSBPL7,14.953828,10.798953
LMAN1,4.001638,4.0102143
ARHGEF9,2.4275324,4.5894485
AP2S1,18.687233,5.4319935
MYRF,0.10876305,3.3835685
TMEM144,15.642657,3.2132885
MYT1L,13.688862,-0.71645486
SUB1,2.675347,6.927836
RORB,-4.0119247,0.48420513
DBNDD2,9.43317,9.889099
JAM3,9.36895,8.676001
TTYH1,-2.5474377,5.754846
GABRG2,3.027622,1.0833993
ZNF664,4.060089,-3.0626411
WNT10B,9.444379,5.8461714
SLC1A3,-5.097423,-2.8590245
CLIC1,7.3368206,-4.112063
MAPKAPK2,8.50385,-6.2255325
KCNQ2,6.3861494,2.1989565
CACNA1E,9.089358,1.0452063
CNP,9.336159,10.262201
ILF2,6.2495604,8.879048
CFL2,15.5924225,2.193915
FERMT2,-6.425487,-1.8023533
NDUFA13,18.79188,6.2275333
RBFOX3,11.82768,5.013826
ZEB2,4.004115,-3.6008067
NCKAP1L,11.9146185,9.614385
DLG4,5.773879,11.758502
MDH1,8.952526,4.6803946
ELOB,18.840487,6.3644547
SMAD5,12.537697,-4.616574
ACTL6B,6.3775053,0.9653043
HSDL2,-4.864071,3.7722244
KAT2A,14.584614,10.6846285
BMI1,2.7314768,-7.928652
SNX13,14.056725,-3.152616
PDLIM5,-1.9129759,0.32040107
SCN2A,3.974712,8.506776
PIKFYVE,14.098589,-3.9428923
CADM4,9.600127,11.663401
NTRK2,-5.1866546,4.841304
TRANK1,9.921407,6.068715
JPH3,6.116925,2.6756642
SELENOO,6.052629,6.636161
SCAF11,13.304508,-4.46448
ADGRL4,6.644886,-3.7875824
PDGFRA,11.208433,-7.302699
SYNJ1,2.266444,5.229189
FA2H,9.4985485,8.431538
ADD3,-1.2922765,-0.4622903
ACSL5,6.5991764,-4.529162
RFX4,-4.9630947,-3.1507227
ERMN,15.699811,0.18487234
ANKIB1,0.7279331,-5.933769
TMEM106B,1.143915,-3.283584
PLA2G4B,14.439036,10.416548
PSMD3,9.189685,-10.026685
SYT7,6.4791265,1.6245365
DOCK2,11.895192,9.710268
CPNE3,-6.5947576,-1.6607642
RANBP3L,-3.2652535,-0.32720596
RHOT2,6.44736,6.333797
SPOCK3,16.132374,5.4700303
CD53,12.437815,9.778377
NBEA,2.4748232,5.0168443
PKN2,14.200114,-4.083398
ELOVL7,6.3529706,-4.0558543
MLF2,18.49946,5.2856627
SLC35B1,9.2512245,-9.902713
SERPINA3,5.295521,-5.6563325
PPARA,-3.2551732,-0.39171007
UBE2V2,2.7300317,6.9757085
XRCC6,6.6767616,8.554958
INPP4A,8.352632,5.2194495
EXOC5,6.9771123,-8.560483
KCNQ5,5.615689,1.17768
RAPGEFL1,9.393375,5.7320733
