node,x,y
YBX3,-0.3486144,10.907775
NSF,7.824588,-0.0138957
TMEM130,-0.978491,1.5736687
CNP,5.6107574,-4.6111045
QKI,-0.40291658,-6.6901693
ADCY2,3.4997697,2.1984582
MARCKSL1,6.907377,-3.9706624
KCNQ2,-2.3649771,4.5221133
MVB12B,3.3722086,-3.4411345
NCKAP1L,5.7524796,10.061867
PRRG1,0.94511294,-7.1994534
DNM1,-0.7200242,3.0311053
ATP6V1A,2.393678,2.5992658
ARL8A,8.216776,-3.942486
RAB14,0.38953897,-3.1081204
ZEB2,7.581965,5.2653217
SLC12A5,-1.8179306,4.696435
ADO,-0.13174407,-5.7517543
MBNL2,-1.9466746,-7.540122
MOB3B,-1.5667031,-7.629147
GJB1,5.2886443,-4.3294306
ABCA2,-2.2246969,-4.422308
SIRT2,5.6206503,-2.734023
HSPB8,3.7776353,2.200894
HK1,0.86102366,7.627439
GNAI1,0.4525059,-3.6917012
LAPTM5,3.3426373,7.60481
ZNHIT1,13.783227,-0.8478752
SLC35A5,0.37427652,-3.318641
ESAM,9.691365,8.779684
TMEM151A,3.6829388,-3.7520466
ITGB2,5.741563,10.120307
TBC1D12,1.7695333,-7.0029726
MYO1F,4.7604403,7.5270033
UBE4A,8.550757,-6.2981377
DNAJA1,10.047281,2.836113
TAGLN2,0.37441292,10.841294
SQRDL,0.19506757,12.415951
ENOPH1,6.9089317,-6.037191
ZNF664,7.4002576,4.8345985
FAM96B,14.38017,-0.40044653
PSEN1,3.4714706,-9.408527
ROGDI,7.110567,-3.0898104
RUSC1,-0.0021878846,6.2251587
CD68,4.4005876,0.21440588
SHC1,0.26167795,10.792392
FGD5,9.688378,9.272206
TMEM59L,7.360972,-0.82821035
MTDH,1.1548139,-1.5999526
SLC4A3,6.569312,1.8881137
NRAS,11.119349,-9.825531
MED13,8.114782,-9.015692
RAB3A,7.757876,-0.75598526
CHMP2B,-1.0053121,-5.652366
ZMYND11,7.635846,4.205608
CNOT1,9.453247,-6.505658
MAG,6.0628705,-4.2516785
UBR3,-5.3532443,-7.8492136
TMEM106B,0.77774584,-13.305031
ADGRL4,-0.71933913,9.398629
ERMN,1.7123834,-8.007017
HCK,4.7151346,5.8415856
PTPRD,-6.470047,-11.342227
ANLN,2.990453,-9.843085
GPSM3,4.3927655,7.2893686
EIF4A1,-1.322661,16.396679
LAMC1,-1.3249856,8.490337
ABHD17B,1.998086,-9.449946
PAQR4,3.797595,-2.6796775
PTGES3,9.61901,2.9672077
FAIM2,4.924713,13.269277
LMAN1,10.853804,7.0380096
ATP1A3,-0.70707303,2.6171556
CD93,0.18252896,10.702236
EDIL3,0.3033378,-6.942616
ZNF644,8.01683,-9.135967
KMT2D,1.3242681,-6.024988
TAZ,-4.144948,10.966299
CARNS1,7.0216026,-3.5027504
BOK,-6.8060923,4.4823985
TSTD2,10.050892,-6.2063117
DNM1L,-9.98122,-5.2852354
SNX6,7.5576286,4.3700666
IPO13,2.5431263,-2.714298
SPTBN4,0.20722418,5.6937227
MLC1,2.7315674,1.6942978
NEBL,2.4506629,0.07515345
PPP1R18,0.63713247,12.504933
PIFO,2.018627,14.946148
NTRK2,2.647781,1.0096594
NADK2,5.643597,3.2764742
EFCAB14,0.5339602,-10.851154
BBX,0.0895156,-10.69728
SPI1,4.5306625,7.1539617
LDHA,-5.7631125,10.230396
ITCH,-1.7470368,-1.4444042
DLG4,0.27632537,5.678442
PRKAR1B,-2.054816,2.6792328
TGFBR2,10.070203,9.633986
SERPING1,2.0650918,11.517073
DGCR2,5.2709136,13.628075
BTK,-4.437634,2.1729138
ADD2,9.167985,6.0821033
ARID5A,-1.4066113,11.499332
JOSD2,12.861097,-2.0329866
GGA2,-4.7521777,3.4371507
MBP,15.929722,4.899772
PITPNM1,0.37254876,7.1534476
FMNL2,2.4331927,-6.5577483
EHBP1L1,0.70086944,12.644177
PDIA6,12.041467,7.9240065
HAGLR,2.3036118,-6.352272
LRRC58,-1.4096545,-7.644954
AGT,2.4511547,2.100959
PAPOLA,1.6050943,3.894159
CELF3,-2.9186058,4.130369
PAFAH1B1,-5.747804,-8.755662
FAM222A,3.586705,-4.0666513
ZBTB6,7.6592445,-9.131396
MIGA1,-4.93365,-8.659447
CCDC84,-11.24412,4.2422533
UBE2D3,10.910561,7.912354
CLSTN3,-0.29986504,5.521017
ELOB,15.140802,1.6843692
ABHD8,6.519822,1.6111939
ZDHHC9,-8.210772,-3.1801047
SOX9,3.0052602,1.543073
REXO1,-4.808266,-4.691658
SLC44A1,3.1164432,-9.544603
SYPL1,11.048246,-4.9456725
THY1,7.4307942,-0.6106767
PLEKHH1,5.3559537,-4.5969377
GPR37,2.5844774,-9.442827
NCKAP5L,-4.099235,11.2999115
RUFY2,1.8561833,-8.366681
RFNG,-3.2910154,9.630634
WDFY4,5.274925,9.384895
TYROBP,-4.3336096,3.0998092
FEZ1,6.5266805,-6.40159
ATP13A2,4.0180874,4.2972984
NDUFS8,14.9321375,2.6007876
RUSC2,5.3104973,13.351971
DMXL1,1.0297021,-5.0545278
CLIC1,0.5274153,11.968764
NDUFA13,15.174069,1.5988308
SLC25A13,3.9446757,-10.933749
ABI3,4.0142097,7.2424
ANKRD13D,-2.537181,9.078229
STMN1,6.9436536,-6.0131845
PLOD3,-6.7628818,4.54003
MAPRE2,2.2420197,-6.8450537
STAT6,-5.817701,12.437725
LPAR5,4.8024664,9.129019
SNX4,-5.715899,-2.1686804
DCN,-2.231773,7.9655867
ATP10B,5.546965,-4.7926054
AHSA1,9.938759,3.198612
CNTN1,2.5720048,0.6205085
