node,x,y
NSF,2.0016236,-4.6494665
YBX3,-1.6787996,7.753432
SPON1,5.869999,0.88970983
ERMN,7.7113895,2.4114037
ATP6V1A,2.4448292,-4.7089825
PRRG1,-1.616529,-0.14233431
SYNJ1,3.1395288,-6.6321836
ZEB2,8.459774,2.7289953
STAG2,3.3941567,6.2512145
LAPTM5,2.4473772,2.6790922
NTRK2,4.9470897,1.2403024
HK1,7.633671,-4.6364574
ZMYND11,11.539961,1.3772566
CD53,2.2798967,2.3912544
TAZ,3.20957,15.393084
GNAI1,4.5202804,6.8012094
FAM124A,5.963355,7.665166
CNP,2.3051662,5.4398546
MON2,-4.7698693,6.7589183
ALDH6A1,5.7891006,3.6768074
NCKAP1L,2.4703896,2.1063735
HSDL2,9.721066,0.5598529
NOTCH3,1.7631338,-9.423616
TNFRSF1A,-0.53635865,7.830245
SULT4A1,1.8780096,-1.6302621
DNM1,4.596613,-1.5607527
PECAM1,10.472113,4.2130604
DNAJC5,7.628794,-4.80606
TRIL,-0.25531387,-6.7199464
QKI,3.5606213,6.040311
MOG,2.6128495,4.9775186
SLC4A4,5.588865,0.9400297
SECISBP2L,7.6642575,2.5060933
ARHGEF6,5.5095057,4.232793
SBNO2,9.352546,-4.5281596
UBE2V2,2.7577446,11.85739
ATP13A2,6.7053804,-9.326593
PIP5K1C,2.3275297,-6.796308
ACSS3,5.926504,4.251528
ZNF664,9.2175255,2.5922258
EDIL3,-1.544397,0.20673326
CARMIL1,-7.574047,3.5387487
DBNDD2,9.9972725,8.057524
CLSTN3,5.327474,-1.5533502
SPI1,-3.6996808,3.2352378
MAOA,-7.9776015,4.3466887
RAB6A,-1.0380899,-3.8672707
PRPF40A,5.350625,-9.503284
OSMR,10.309414,4.594496
WAPL,6.246458,-6.186226
SYP,4.8980365,-0.5042523
MAPK9,2.1769958,11.849036
RAB3C,-6.011056,-1.3955069
THOC1,7.41096,10.309945
GJC2,0.438058,9.439691
BCL2,5.551919,3.7957237
UFL1,3.905863,5.8835583
SOCS3,9.42456,-4.4762783
ZNF644,-3.0736227,5.6167483
ZNF24,3.214361,5.9124103
ARHGEF11,2.6213596,-6.7057066
TMEM130,4.137495,-2.4519668
SOS2,11.52901,1.3007733
U2SURP,-4.4689794,6.265664
EPB41L5,8.707054,1.0363762
CNTN2,1.7491249,4.6029296
PCMT1,3.3023326,11.859891
AMPH,2.301996,-5.404831
PDGFRA,-1.3746789,4.4084387
OGDHL,14.355023,0.42781198
CLUH,2.3125305,8.097737
STMN3,-11.773053,3.7419417
SLC2A13,-6.502402,-0.53522927
PTTG1IP,1.6532717,7.6656094
AP2M1,8.55497,5.6848736
ARID4B,-3.1744523,5.6396017
PAQR4,0.6788539,9.454232
S100A11,-3.9798417,7.9905972
CACNG4,-1.2715784,4.3136663
ITGB2,2.359466,2.2138631
INA,2.1347814,-1.8242527
NIPBL,-2.7031183,5.177267
MAG,2.154208,4.884377
GSK3B,3.8503728,-7.0561275
FGFR3,-0.17426933,-6.974792
DYNC1I1,2.003399,12.222938
TMEM151A,0.076410204,9.624758
ATP8A1,5.9869924,8.095311
MAP3K9,0.19357614,0.18882859
PIK3CB,-0.91143554,-3.937463
DIMT1,12.36898,1.3993485
CDK14,9.2598505,-7.8675585
PAPOLA,3.2214339,-12.43011
ZNF692,2.6053724,16.083662
MDH1,2.453376,-4.200494
RAB3A,4.539663,-1.0035508
RUNDC3A,3.988246,-0.76252717
KIF5B,8.950095,2.7882447
ZNF451,-6.016698,8.2636795
SLC44A1,-2.0160842,-0.39956722
SYNGR1,7.1241374,-9.203417
CCDC88A,-4.6188116,6.6101613
BAZ2B,-4.1761003,6.234166
HCK,-3.6222637,3.8584344
ZNF770,-0.09632914,-2.1759207
YWHAG,1.4100931,-4.946506
KLC2,-9.3535595,-0.02255812
CNN3,6.517013,4.0972896
MYO1E,1.4130988,4.331076
SGSM3,-6.8494096,-6.0053716
GRIK5,0.8081584,6.493913
GLS,1.1247579,-4.765968
ELOVL7,10.865349,3.9852579
NACAD,-0.18269834,9.760345
MAST1,5.3100824,-1.4894146
ELOB,0.81955564,13.888986
STAT3,10.202964,5.508108
NPTN,8.322507,-7.023101
NDRG4,-2.158049,-2.1126966
DDX17,7.594298,10.376573
BBX,-2.0809143,-0.29507154
PPP2R5B,-1.8879292,-8.782305
MED13,4.579077,-10.73488
FAM208A,-2.8039403,5.34217
NUDCD2,-2.1032705,1.6337318
GPSM3,-3.7818215,2.9111753
ATP5B,-3.7463293,-5.469311
OSBPL7,2.3627067,16.360294
SEPT7,8.006769,2.7099242
DNAJA1,3.959357,-12.981884
PSEN1,6.1225343,7.4701357
SELENON,5.317649,10.0772085
SYK,3.52835,2.82279
TBC1D23,-2.4935012,5.19219
PLCB2,2.2623,1.285381
GRIN1,4.208909,-1.9716858
ADD2,10.608513,-6.3519015
GHITM,14.198404,-1.4933889
CPE,4.5783896,1.7534024
SYT13,2.3918517,-1.8106335
PI4KA,2.6453736,-6.6934524
UQCRQ,0.48259732,13.55272
BCAS1,9.235899,3.417265
RPL19,7.2471595,13.279834
ADD3,4.0476937,-9.341542
ULK1,-6.497988,-6.1604433
UBE2D3,3.0254183,-12.392194
ATP5G3,-3.8351245,-5.109399
SYN1,4.0984426,-2.4434457
LYN,-3.5104806,4.020887
VDAC3,2.4561594,-4.139942
PTPRB,9.41889,-0.73445934
FBXO44,7.6475024,-9.378233
NEK11,4.1197486,0.88708633
STX1B,5.126542,-0.547187
PIN1,-0.3251469,13.084517
PRMT5,12.714522,-2.3261988
MAP3K5,6.194331,4.5650735
SNPH,-0.047908057,0.7989912
N4BP2L2,-3.8210344,6.162021
CLDND1,-1.7882608,-0.1973197
IL4R,10.316348,4.526032
PPP3CB,2.6484153,11.91109
ATP6V1B2,8.771373,-7.4296894
FAM96B,8.964633,8.017048
FIS1,9.360978,8.114122
ANKRD40,9.212453,3.0777557
GAL3ST1,2.9810617,4.7995725
