node,x,y
PAK2,12.051017,1.1057849
OLFML1,3.9588952,-4.953504
TAOK1,8.971628,-4.9740458
NCKAP1L,-5.9594173,13.314743
SH3GLB1,10.702351,0.5602727
TFAP2A,1.5823957,1.1376016
ACO1,0.549073,-3.0418553
DDX21,-9.012642,0.7273938
ELMO3,-1.8478454,3.365284
VKORC1L1,-8.211887,10.212053
RASSF7,-1.9177865,4.011886
ECHS1,3.7739058,4.9221416
ACTR2,13.269477,0.11797439
EXOC5,12.638801,-0.32457498
RAN,0.797485,4.1827426
SHOC2,11.905997,0.33632058
SPINT2,3.4256268,-9.373701
TCF4,-5.8515563,6.0975876
MRTO4,1.5204576,3.3560367
IL17RD,2.577923,-5.9203434
PROM2,-1.3413755,2.741801
AIFM2,0.053786818,-2.8402042
ETS1,3.9134552,7.032965
KDF1,3.8527892,-9.312829
UQCR11,-5.626632,1.9975921
COQ4,11.967415,4.302539
CREB3L4,5.9724083,7.6360126
EIF2S1,-8.481397,0.7887674
TACC1,-2.8189323,7.9619966
DOCK2,-6.1514196,13.638156
SYNE4,-1.4607164,2.89359
ABI3BP,-9.926015,12.701553
DTX3,1.808285,-5.154143
STAG2,-3.1318948,9.865584
SH2D3A,-1.7033017,3.2152107
EPS8L1,-2.7581182,-3.679197
SHANK3,7.421715,5.972991
NDUFAB1,-5.1697903,2.7765815
ROCK1,2.66018,9.179449
NIPBL,-3.5731752,10.114086
IPO4,3.859755,0.26468664
AP1G2,2.769363,11.470425
GLT8D2,3.3018425,-5.4520802
RC3H2,8.992491,-4.823247
AGPAT2,2.3728306,4.9247613
MSN,5.292249,-2.335794
HNRNPAB,0.08066391,7.8299556
PAK4,-2.122665,4.3650894
RAP1B,12.15922,2.691594
SPTBN1,-7.9162264,7.919124
PHC2,-12.442743,5.234941
ITSN1,0.66346854,-2.3692775
EPAS1,-2.48741,7.87188
EIF4A1,-12.449385,4.760405
KIAA1522,-1.6885693,3.6105385
MED13,8.415278,-5.8004503
VANGL2,-3.521814,-3.6150258
PATZ1,5.8998194,7.729498
CDC42BPA,2.3070524,9.11501
EPB41L2,-7.6644726,7.813707
JAM2,-5.3172774,11.153557
RETSAT,2.3153007,4.931806
NAMPT,-10.720707,0.8529271
AFF4,13.076563,9.984987
KMT2B,-0.39045855,8.909981
ANAPC11,-7.6930556,-4.3619237
GATAD2A,-0.20727512,7.7992826
SLC25A1,4.0972576,5.162977
ZNF598,-0.1554724,8.444083
CXXC1,2.313549,12.338006
RHOT2,-9.28219,3.8696995
KPNA3,12.293547,0.18154214
MRPL4,7.0226636,-0.7478417
MYO1F,4.2499604,12.828236
NTF4,1.3012685,0.81934834
TEK,-2.256407,7.304433
LRRC59,0.8650279,7.531026
CCT2,1.088142,3.6567407
ADGRF5,-2.3554091,7.6196356
GNL3,1.3634093,3.3159325
BTNL9,1.5254096,15.046595
XRN1,10.63379,-4.30821
GUCY1B3,-5.209829,11.107638
ERBB3,3.8029556,-1.0062301
ZNF594,10.076629,-1.4407214
YWHAG,-8.296037,10.283219
DLG3,-3.7550743,-3.503366
OGFOD2,11.8970175,3.6204453
UQCRQ,-5.414295,1.7122803
SGSM3,2.467503,12.560265
CPED1,-7.479674,7.770543
SPAG9,10.131406,4.5819907
ISLR,3.952817,-5.0996366
ATP5J2,-5.4300675,1.7086809
NDUFA13,-7.590134,-4.4667096
LIPE,0.34006336,15.748577
ZEB1,-6.2381086,5.7058215
FUK,1.9352314,11.787212
MYO1C,-9.395797,-3.210776
RPL7A,-3.050882,-0.5689431
CYC1,6.9581175,-2.1460931
KRT18,2.8920786,-8.643176
JMY,-2.6751199,9.567735
PPAN,4.899658,0.577194
NAA50,-1.4971653,5.708984
CLDN8,2.2609794,1.0152731
GNG2,5.568657,-0.90841585
ITCH,8.0620985,-6.3256297
SGK3,-3.1823797,-10.400108
FOXA1,7.3760886,-7.1623464
COX7B,-5.4447265,2.912908
SPI1,-1.206669,16.402903
CRK,10.038717,0.71619624
GPNMB,-10.441994,12.762954
CCM2L,4.6940417,16.855402
ZNF692,2.0688918,12.978336
BOK,6.6527243,3.4486568
MRPL12,6.7840405,-2.6041014
ATP5B,3.7326543,4.5444646
APEH,12.332335,4.2175994
ZNF780B,10.390651,-1.5361886
TM9SF3,-7.13555,0.4302353
CNN1,0.2263236,0.43619755
ZNF420,-3.0947425,5.0810018
TMEM254,-3.4263272,18.042591
PHC3,10.043949,-4.017645
SLC22A17,1.5745385,-4.9838486
CBLC,4.0145597,-9.175915
TRAF4,-2.5796673,3.2857955
ELOB,-7.7764707,-4.414157
RSF1,-3.0728667,9.994882
CDH1,1.9014273,0.9076791
CDH5,-4.1029577,6.913975
ATG4C,-0.7461185,-6.969545
VEGFB,6.5532336,4.0218096
MMRN2,-4.744987,7.003852
ABCE1,-8.394782,1.2489386
CCL28,3.3304539,1.1609658
MYH11,7.234836,9.939566
RAB25,4.356577,-9.4720545
UBE2D3,-9.54871,0.627925
ABHD15,2.9778678,-1.5856988
PSMA6,-5.466278,-1.8910773
UTRN,2.6220076,9.246499
EHMT2,-8.318092,-0.047513958
TMEM25,5.5925593,7.990903
ETF1,-8.249931,0.2858781
SNRPD1,1.0357479,3.5144181
ANKRD29,-5.633168,10.895957
FBLN1,4.8841667,-5.097312
ZC3H15,-8.6554365,0.85717237
MRPL3,2.5064495,3.0659704
CRACR2B,-2.4080422,-3.9617932
ICE1,-3.6106517,8.870474
FAM213A,-0.1097907,15.5979185
VTI1B,10.003793,8.511238
HSDL2,1.1264889,-2.6685753
OVOL2,3.7065074,-9.177093
TYROBP,-5.5779886,11.875523
DOCK11,1.0670601,-2.1522343
IGKC,-1.8961402,17.190252
FBXO44,1.8342412,-4.4196024
ROCK2,-1.1779149,5.7326655
PNPLA2,0.6707297,-3.0457106
MUSTN1,-4.3914948,10.36674
UBL5,-7.700641,-5.110012
PDLIM4,-2.6975415,3.263979
DCN,4.7882,-5.035839
OTUB1,-2.8378465,0.5058004
ATP11B,9.077433,-5.3797383
EBF1,-6.5314713,5.3109818
FAH,2.1308882,5.0807686
SYNCRIP,-7.8481846,1.5948707
RELA,-11.277982,1.0477675
PSMD14,-5.6246815,-1.4220674
ASH1L,-3.6895678,9.807481
MAGED2,-4.301829,-0.13388805
ACACB,-0.15890555,15.578635
EEF1E1,0.5594244,2.6902764
ARHGDIA,2.9726098,-11.773708
SYNGR1,1.7183326,-5.014646
ALG3,5.216346,1.0983166
XAB2,4.062421,10.855546
RECQL5,12.827823,6.6393695
KIF12,7.373951,-6.9430165
RNPEPL1,2.9597304,-1.9028096
TIMM13,6.6275277,-8.98697
PPP1R37,-7.1139255,-1.2016674
GABRP,2.9947572,1.0933328
SNRPB,-0.61150366,-6.234027
TRIM45,6.1391463,-11.628585
PTPRB,-2.1716561,7.2693496
SF3B6,0.5855241,2.877483
FKBP1A,5.295177,-2.350605
DNALI1,8.761468,1.2741531
RPS15A,-1.7350405,-1.0445253
TSR1,1.7459999,5.3175745
RPL32,-2.0649803,-0.860332
ABLIM3,-2.2467425,7.9690247
TIMM23,-5.5066905,-1.6615684
NOLC1,2.0598052,10.257519
QDPR,2.2617266,5.8048677
ABCF2,1.6509107,5.378222
SSH3,2.998662,11.719203
TOMM5,1.6068381,7.0489473
