node,x,y
ZNHIT2,-0.98096555,7.7455125
NONO,-5.6113467,8.747294
GALK1,1.9833673,4.604553
TSSC4,-2.0282104,9.465181
MRTO4,4.3981276,6.918959
SMS,-3.9989724,6.323497
IMPDH2,1.4059787,4.173093
RPF1,0.47346905,-2.7502756
CCT6A,3.0718527,8.82592
PHAX,1.0065062,4.2405963
ADO,-0.1812698,7.393371
NXT1,-1.7832391,3.9543588
RRM1,6.1021614,0.7655129
XRCC5,7.861566,-5.031839
YTHDF2,-0.31652337,6.6251416
ATP5G3,4.327304,-0.065447584
RRS1,-2.5601878,3.5390244
ATP5B,7.3265033,5.668357
ZNF383,-5.672785,9.749437
BCCIP,4.9554315,12.031905
C1S,8.585255,1.5571204
NPM1,-0.6314124,-0.8633919
TOMM40,-10.461137,8.989839
SEC23A,-4.8441086,2.4058275
ABCE1,11.404757,0.2614771
BAG5,1.4517726,6.516587
MFSD5,-1.7963825,8.629554
DKC1,1.8238568,11.072255
CENPH,-4.6413574,6.443374
IFRD2,4.8273125,6.329461
KIAA1524,-3.2288723,-1.1166301
RPL22L1,2.7158585,-0.3487713
C1QBP,0.28099656,0.29159215
TTC4,0.3602531,-2.8326719
RNF6,-5.5567036,4.1885476
IDH2,1.9275397,4.7077565
RBMX,-5.0047727,6.1655493
RUVBL2,8.736979,11.416417
TPX2,3.6305792,11.552598
CYBRD1,10.446616,-2.0904093
NDUFS2,2.9152014,-0.66018593
ZWILCH,5.9277997,0.69049126
PNO1,-9.87639,11.908813
SNRPD1,4.7306805,12.38982
NUAK1,-1.8949785,5.948571
CEBPG,-6.0758686,4.052353
PARD3B,-3.0273054,6.0822105
ARHGEF1,5.113272,3.1441715
USO1,-4.796174,2.5767338
MAD2L1,6.799494,9.7284355
NCK1,-4.7806473,10.111232
TRIB3,-6.9880576,4.726474
TRMT61A,-2.5893188,10.45569
ZNF408,1.0115148,15.759909
LMF1,-11.261427,4.0332346
DDX21,10.240475,6.240858
ARPC1A,-3.344285,6.578403
PSMD4,6.1309824,3.203975
LGALS1,2.219705,4.8188562
QARS,1.1083071,3.49781
C1R,8.641181,1.4105461
TCOF1,-3.857254,15.223104
MCM4,7.3524523,9.165683
LTA4H,2.2153652,3.0617766
COA7,1.3475316,6.72148
BYSL,-2.8433955,3.5497797
MRPL46,4.5590935,-2.6795278
TRIM28,5.792572,2.9717855
DDX18,11.657985,0.17297982
SLIRP,0.38339046,0.052026033
NDUFV2,7.4835806,4.86227
SLC9A9,2.5352955,-3.7896757
EIF2S1,11.465433,0.24288781
PHRF1,5.2088137,-6.946922
CDC123,9.927997,-1.3768046
ATP5C1,4.1833024,-0.033054918
CCT2,3.9049964,10.524666
TPR,-1.6279562,13.965529
RBL1,-9.379399,3.8525596
ALYREF,3.4698737,13.335444
UBE2L3,-9.483569,0.6130829
COPB2,-4.841175,2.396862
XRCC6,7.6063247,-5.035047
LDHB,-0.9336064,-0.7183552
PA2G4,5.3011312,13.566458
KIF20B,5.4564066,10.022554
UBE4A,9.341552,2.774973
RNF25,-1.8967249,9.07032
PSMA2,7.372185,4.801302
SNRPF,0.4332575,0.08290722
LYAR,-9.954054,9.239145
NAA15,-1.6285796,6.720849
ACY1,0.98019874,4.3810115
TRIM8,-0.0594395,7.981754
NOL10,11.481717,0.41526976
PTGES3,6.0781503,6.2563443
GDI2,-5.2740536,6.4395475
ATAD3A,7.998952,8.88501
TMEM127,2.798188,-0.6820257
RPL5,-4.394938,11.586591
CCT7,5.1429453,8.458628
CCT4,5.566552,8.361381
ALDH6A1,-5.015874,-5.1964316
PRDX1,6.436023,3.176037
CSE1L,-3.7572737,-1.8951007
NSUN2,1.8851489,11.846174
MRPL12,-1.4178802,-5.057644
KDM1A,-1.0266864,-2.4799547
ECM2,-0.008852814,0.094066404
BTBD19,-9.643644,0.70674396
ZNF18,-5.74938,9.3937435
PALLD,-1.5934184,5.956666
PRRC2B,-1.4223695,-5.700079
PAICS,5.155321,8.303967
DARS2,-3.4402113,5.8037343
MRPL52,10.886759,-1.4139947
PDGFD,10.318422,-2.484391
BOLA3,10.395996,-1.0633472
PGAM1,4.0863395,3.927566
PPM1G,3.2571173,9.097025
PSMD14,3.398567,9.658774
HNRNPA1,2.7430904,-0.66976947
HAUS1,7.968694,2.6664832
HDAC2,2.5201013,-4.3263617
U2AF2,-4.9785695,-4.4989696
PPP2CA,0.5589625,-2.3918707
DPH2,-8.205295,-5.5759444
RPL7,-4.1054287,12.057838
