node,x,y
NEURL3,-5.2265677,4.0820446
DCAF13,4.291529,0.7287941
SRCAP,4.5336986,4.690935
GPATCH8,-0.046939608,3.1821685
SHPRH,4.5803246,5.399891
CCT6A,5.876584,2.2318273
NAA15,6.008663,1.360779
CD40,1.9004633,1.6421173
EIF4G1,11.708632,6.0157614
KMT2D,0.39477694,4.543735
BRIX1,4.6167808,-0.1414448
HNF1B,-5.70544,3.6835356
CD82,8.0706835,-0.80348235
CDK1,-1.263659,2.9789429
PLK4,-1.5237921,-0.82109237
PIM3,-6.9910083,-0.67950195
ADCY6,-6.4434195,3.6822567
CCT5,5.506186,2.1072505
RNF31,8.640298,12.865584
SZT2,0.61357117,4.7332225
ANKRD29,-6.443942,4.239325
PSME3,8.999392,9.08204
DHX9,5.9857416,-1.9188542
NDUFAB1,2.1067562,-2.4698696
EEF1E1,3.39198,0.054045487
SMARCC2,-0.19195706,2.4565363
IL7,-8.693562,4.1557546
NR4A3,-5.981757,0.3170642
PRRC2B,0.690918,3.6265163
FUT11,-0.22844131,11.231762
SSR1,6.1628704,-10.164867
KIF11,-1.4666301,-0.7035167
DGCR2,0.6878853,5.611853
MAD2L1,-1.3003076,3.094783
ABCF2,10.606795,7.5398498
TOMM40,6.3613224,3.9678156
MRPL47,2.8473492,-1.5389799
TNFRSF18,-5.924619,0.34579358
PA2G4,6.1266227,3.3849332
TFAM,5.888168,1.2321563
DPH2,8.160938,7.697553
KIAA0100,5.231858,4.451089
FMNL3,8.275971,-0.3966386
BCO1,-5.8868303,3.0217144
RALGAPA2,-11.986997,2.954872
PFKFB4,-0.6967952,11.892764
UBE2B,-7.975374,10.998893
PHF1,-13.229489,-1.1456689
ADRM1,-5.6946254,-4.6797714
RNF40,-0.20191146,3.1256008
RRS1,8.2898,7.565872
ICAM1,-4.0913796,4.9495583
ETF1,-7.224177,-6.1104
PSMA3,1.813845,-1.9359647
NAMPT,10.070044,-1.8141328
CCDC97,8.3513565,13.456916
CHERP,13.31706,5.0745015
CPSF3,4.7297263,-3.2505138
MCTS1,1.8979229,-2.2131228
PNO1,-7.6396246,-6.132102
HEY1,-8.448974,3.8813655
SCAF1,2.0765803,4.8753104
NCAPG2,-3.9059975,1.7372028
ALDOA,1.0747157,12.113466
RIT1,5.9557266,-5.3172073
KMT2B,1.6334637,4.8548093
PSMC3,-5.836247,-3.689495
ZNF142,11.41181,6.3193994
GNA13,2.2288988,7.5113363
CHL1,-5.9060693,2.8868852
NSD2,-1.5890503,-2.8840063
PPIB,12.268201,-4.518605
LRR1,-1.0268722,-6.813899
SMC2,-2.3354082,-0.8429092
ZBTB32,-8.616889,0.14982027
RPL11,11.3762,13.224029
YEATS2,0.36792222,10.312979
RSAD2,0.39164615,8.015248
LYAR,4.77493,0.51431656
MANF,12.162266,-3.4024835
P4HA1,5.4328117,11.345819
INPP5A,-8.728328,4.392058
SKA3,-0.9287736,-5.895607
SQSTM1,-7.5012956,-1.2769893
SETD1A,11.568812,6.4564595
LUC7L3,-5.6233087,-10.976272
CNOT11,-7.0008364,2.6487823
URB2,10.738748,7.2602673
SYNCRIP,-1.3309907,2.0885355
MND1,-2.2427309,2.2193315
KHSRP,13.191805,5.18009
UPB1,-2.7268758,9.440142
TMED2,6.136217,-10.121246
TIMM17A,3.0744565,-1.0411519
SUMO1,-3.187912,-2.450187
GTF3C1,-0.41391686,3.5675354
EIF1,-7.1237974,-0.7455534
NBEAL1,4.695491,5.874938
CLSPN,6.690948,-1.9508905
CDCA2,-0.72566503,-0.4654059
NCL,10.80113,0.6488737
FEN1,-3.436831,2.6929636
ASNS,5.4942875,-0.78818965
POLR1A,8.704624,5.0254683
NDOR1,6.229667,13.556805
MED1,4.8602257,4.587637
EIF3E,5.774888,14.420881
GARS,5.5486693,-0.8415743
NAA50,-1.2803184,2.057199
ZBTB38,-7.7007523,1.9253492
TCOF1,12.72246,5.6484656
CAD,12.101676,5.991525
CMPK2,0.48368186,8.115786
XRCC5,4.9909005,-3.0279634
PSMB1,1.964151,-2.5620291
CHD8,4.473868,4.8293333
NFKBID,-5.6964025,0.6497898
KPNB1,6.031832,-2.3309352
ZBTB7B,-1.7351521,7.964791
SLC3A2,5.6932707,-0.84022135
FAM46C,11.283084,-7.434315
SERINC2,-6.886275,4.151752
COX6A1,0.14129573,-2.770241
NR1H2,-13.415422,-0.9566824
ZMPSTE24,8.735206,9.553278
WDR46,6.8602414,7.862057
SEC24D,12.9968605,-5.109172
PSMC5,-6.132355,-3.5666142
LAMTOR3,1.290577,-0.86759716
