node,x,y
ATP2B4,5.889484,11.532757
SMTN,6.4316845,11.656721
INA,-7.9108615,-0.6283106
DDX21,5.073799,-4.3741274
MEIS2,0.74879634,7.810986
RPS6KA1,-0.37213638,9.871916
NAMPT,10.006856,-1.4763999
SORBS1,-0.7150259,15.246693
NANS,2.5062678,2.5763993
ACSS2,-2.2353113,4.6966867
LRRC59,-2.468186,1.163192
KPNA4,-1.0206193,2.9154346
ARHGEF25,4.1082177,8.524902
MSRB3,0.08176861,15.744794
DMD,-3.1847184,11.292448
ENTPD5,-4.59932,5.020552
ASH1L,3.5116856,13.472008
TPM3,3.8686302,0.48069108
HNRNPAB,-2.095338,0.70859134
RSF1,3.3442874,11.8243
SPINT1,-1.0657681,5.369693
SBNO2,7.2803454,-0.32097393
SPEG,4.1767316,8.46306
GNL3,4.191757,-3.9552224
TRIM33,5.099745,6.502365
ETF1,7.130698,-7.3070526
SVIL,-1.7109814,15.475494
CES2,-3.815879,5.161022
F11R,3.609957,0.14524403
ATP5F1,9.685192,1.5510361
GRIK5,-3.3482132,7.939117
KMT2B,1.0965818,11.33459
ESAM,4.2252884,-7.1215124
NCS1,6.586287,11.198642
ENAH,-0.33234644,13.611746
NDUFA9,9.509148,1.2360413
ABCF2,-0.3225411,-8.091828
VILL,0.6244047,3.2522616
AMOTL1,7.120514,8.6594925
ACTN1,-0.84188116,13.461376
PNO1,-0.5869036,-8.0974045
NIPBL,3.7744887,13.209135
ACSL5,1.9899886,-0.9944296
ASB2,10.807927,12.823925
MYL9,6.3955503,12.305566
WWTR1,-4.677822,11.122094
PSD,4.567481,8.90959
PTPRZ1,6.048866,-1.3027631
CANT1,2.222785,2.4647884
ST6GAL1,2.7108767,-1.4358943
CMTM4,-9.85061,7.714882
OSMR,7.717445,-0.49031833
DHRS11,-3.4407248,5.17483
TBC1D1,0.3661275,6.513355
STAT3,7.328858,-0.2726191
APBB1,-3.3868983,8.640868
MIB1,3.008387,11.62585
EXOC5,-0.6594013,2.8084815
FYTTD1,-0.8878248,2.6266198
AKT3,-4.7899675,10.762956
PTRF,7.3898,12.286436
GIPC2,2.5006778,-1.2918783
TTC7B,7.6403985,8.578912
STRAP,6.8006587,-7.939495
LIMS2,4.023994,8.408812
RHOT2,-5.939146,-0.0066674356
L1CAM,1.098885,0.1488008
UBE2M,8.538202,16.303091
SHE,4.3932495,-7.929934
ERG,4.137038,-6.5649767
UBL5,1.4487196,14.388548
CALU,-0.95385,13.678354
