node,x,y
SPINT1,-2.1342797,-6.340496
TTC7B,3.7383063,7.490704
TPM3,-4.8427963,1.4798026
ZMYND11,-0.077270344,1.3505193
MGAT4B,2.1083984,-2.8215673
ENTPD5,0.65783185,-2.5156527
CD2AP,6.0270996,-7.9157023
FLNA,7.833646,8.855965
LLGL2,2.3614118,-4.9151363
TPRN,1.666177,-2.4577925
MEIS2,6.1585803,7.676497
ATP5F1,12.322731,-4.74614
CDH5,16.089973,3.792449
SYT11,11.666417,4.381415
RPS6KA1,-2.2255445,-7.8314967
MSRB3,9.46198,8.793475
LRRC59,15.638794,-0.45842755
DENND5A,-0.94129276,9.491173
KIF1A,-2.791352,11.8920145
QKI,15.254401,9.586291
SLC35A2,-1.5488486,5.2328362
F11R,-4.887242,1.139967
ABI2,-0.27093765,1.0704756
AKT3,2.638524,5.4195843
DHRS11,0.9576734,-2.1815658
SORBS1,9.531966,9.063611
SPPL2B,6.171,-2.3946073
SLC35A3,3.9631197,-8.58071
DNM2,4.2476115,-3.9340684
L1CAM,13.121376,4.1678843
SLC52A2,5.7212925,0.04720143
SLC44A4,-3.1115742,-10.440476
BRI3BP,2.3882518,-1.8601497
ELMO3,2.7089179,-4.824225
MPDZ,2.6685436,6.52102
PPP3CB,0.24645749,0.9702223
ZBTB4,-0.877642,1.1517757
CALML4,1.823429,-1.8765562
AMOTL1,3.951146,8.019923
AFF4,-3.1828725,9.937648
SGCE,11.288454,4.77372
LSR,-4.0835037,0.48194262
PPP1CA,-0.7245138,6.367181
TNS1,9.459245,9.09164
PECAM1,15.755647,3.7566621
WAS,-0.45815036,-4.5614653
CD3E,-8.445976,5.2638097
COX5A,10.491885,-4.3290706
TPX2,-6.3737245,-7.9468293
ATP5B,12.754709,-3.9380054
APPL2,2.074564,-6.8036656
MAPK13,1.9849145,-2.0013855
APBB1,9.903006,1.5828035
KIF11,0.60972464,4.242864
KLC2,7.2650404,-10.572195
ADCK5,-5.082871,-2.2851348
TST,1.3548979,-2.1006823
RBMS1,0.11637338,9.064449
TOMM40,15.764477,-2.7582223
ASH1L,0.41321203,10.360649
ATP5G3,12.168605,-3.37815
CCNB1,0.5346972,4.1809864
UQCR10,10.250898,-1.4585226
KANK2,3.9006503,8.782141
LYPLA2,5.784488,0.062944315
RAN,8.94203,-1.7611707
PPP1R12A,12.513375,7.845739
C1QBP,15.34398,-0.7712252
UQCRC1,12.195439,-3.6900158
MAP3K20,3.1363568,6.9287915
FBXL6,-4.6891413,-2.5702975
ZNF594,-3.386324,2.902447
COPG1,-1.6814982,5.2687845
PAFAH2,-8.722082,-7.3792577
FEZ1,11.259266,4.4291906
VILL,1.7059451,-1.9250278
PCNP,0.07053337,2.1714857
SBNO2,7.840519,3.5813117
GPSM3,-0.82623357,-5.3480716
DTX3,7.8195834,6.9462967
TLN1,8.88133,10.453497
FARSA,15.958533,-2.8748055
FAM96A,-3.4474661,-8.067018
PLEKHJ1,-3.5249949,-2.7143445
RBFOX2,12.519785,7.8713503
MYDGF,-1.6529227,4.3590603
ESAM,16.71983,3.2487257
MYH11,7.182298,6.525765
OSTF1,-6.1827683,1.5140027
ZDHHC12,-0.516304,6.592475
SMIM15,7.3898573,-8.420249
NDUFA9,12.576254,-3.5465322
RAB34,3.057943,9.86692
SLAIN2,-1.220933,2.8174233
LGALS9,-3.2540545,-8.295927
PPP1R16A,-4.4776716,-2.4327602
CDC42BPG,-1.514031,-3.3125408
GMDS,-2.7982712,-8.457422
PLPPR2,3.2305243,9.897192
CD81,4.294078,12.569927
DENND1C,-0.7235276,-6.6596103
ARHGEF17,3.4901505,9.43418
PGM5,6.7034454,7.309188
PIP5K1C,8.810776,11.26504
SPG20,1.668842,11.41682
ASF1B,-6.215087,-7.629039
ARHGEF25,7.7316766,6.7919097
RSF1,4.1075134,3.2947693
SMAGP,-3.2737641,-8.17516
DDX19A,-2.4984012,7.147683
PJA2,12.911541,9.019251
EIF4A1,7.948904,3.0713797
GALE,-2.5310977,-8.495597
LAMC1,2.8630083,4.3263664
SH3BGRL3,-4.6847873,1.5471598
SERINC5,5.776937,-7.6684017
SPI1,0.24477527,-4.805504
UMPS,11.012362,-5.643667
ZNF471,-1.9702942,1.8919232
LAD1,-1.7388998,-11.707701
FERMT2,10.2184105,8.153319
ATP2B4,6.5426116,7.678784
TMEM45B,-2.242734,-6.663152
CES2,0.8810967,-2.840733
STRAP,5.2639503,1.4196329
UBR5,-2.7512786,10.445902
CALD1,9.598909,8.87655
TYROBP,0.567112,-5.064617
SYNGR1,10.227358,1.4668545
MRPL12,15.044821,-1.938047
EIF2S1,5.802005,1.8838588
COA3,10.238024,-1.0976954
WWTR1,10.37306,7.956022
TMEM130,-2.5781162,11.769113
PNO1,6.020917,1.9950343
TCEA2,4.6881013,13.144091
MIGA1,13.126714,10.790618
SEMA4G,5.494819,-2.7844076
CFL2,9.853304,8.593371
DOK4,0.08154946,12.618948
ZNF25,10.8342,12.417009
PPP1R9A,8.402197,6.348508
ACTR2,7.557532,-8.365021
