node,x,y
KPNA4,0.40567753,3.471195
DDX21,6.728462,-0.14194532
PLXND1,9.287451,10.25867
ETF1,9.164749,-2.7865095
FLNA,4.670267,-7.641068
RAN,9.297698,-2.1708772
RHOT2,10.862395,-7.8398366
IPO7,1.5810103,3.3636568
SBNO2,7.479101,-0.16156244
OLFML1,-0.5968553,-2.017595
PSMA5,10.481997,-0.91643214
CCT6A,9.25623,-3.0472596
KMT2B,2.77606,13.494964
IFI16,6.8918333,5.1314783
TRAM1,1.4327933,6.3759575
SMTN,8.258538,-7.520324
ATP11B,2.3011327,3.8745456
COX7B,1.8197155,-8.719699
EIF4A1,6.9743834,0.121386826
STAG2,3.1354113,5.928539
MIB1,1.1308581,5.147767
WAC,2.9080853,5.1433163
ZDHHC9,7.2802777,2.8225253
PNO1,5.8518524,-4.272976
CCT2,9.798971,-2.9208765
OSMR,-3.4328616,0.17250225
MYH11,6.3605103,-7.4996963
NIPBL,3.7101655,5.6883826
NAMPT,8.301095,0.15271708
ZNF521,9.878525,9.668088
ELOB,4.6856804,-11.4196
PSME4,-1.7157915,-3.603309
ASH1L,4.568016,5.67347
CCDC130,10.535224,-8.000397
SYNM,6.73572,-7.218068
TROVE2,0.92026985,5.0837197
ABCF2,8.755799,-6.585061
RB1CC1,2.1429553,4.291588
YME1L1,4.0978074,0.102963895
TPM3,7.033677,5.466893
MARCH3,7.380757,4.974057
RUNX1,13.513381,7.893954
RSF1,3.252892,6.0265875
SBF1,4.3279424,13.453755
PALLD,1.3529274,-13.693587
GABPA,16.191265,9.3864155
MXI1,0.43654728,-12.415703
ISL1,-4.6102695,-7.003055
STRAP,9.1458025,-2.5282004
RLIM,4.7784142,1.7674224
SLAIN2,4.5840483,11.752871
ITGA11,-0.6706075,-2.0857124
KCNMB1,5.1237035,-6.9149203
RAB21,4.2841296,1.4459878
DNASE1,6.273928,4.3474293
DOCK8,-3.617491,-7.2481775
SLC39A14,7.307656,2.0414078
TMEM25,11.706359,1.6144325
TMED7,12.6556635,-3.82655
TEAD4,-3.5639267,0.42367253
ZNF598,4.7463236,-2.6252487
L1CAM,15.894981,6.060147
TCEA3,11.40407,1.6262914
RNF150,-0.38338006,-9.435843
CAMK2G,10.092026,-10.167188
ADRM1,4.423513,-3.1226566
TAF1D,7.5103927,0.40973875
PARD3,14.378434,11.415149
UQCRC1,2.230793,-7.9380617
FBRS,3.6272838,13.664692
ZNF148,1.6412476,5.3785763
EXOC5,4.9538255,11.460989
MRC2,0.107023716,-0.80321413
MYLK,6.3899555,-7.5064983
ZMYND11,4.2110157,11.333184
PAK2,3.5673673,0.8938714
EIF4G1,5.220408,-3.0993629
SETD3,-0.6261125,3.4631639
RPL7A,9.345021,4.325628
PKN3,8.252784,10.686
FBLN1,13.420073,3.4049876
TYROBP,-0.986648,9.336742
TM9SF3,1.1110991,4.90055
SPI1,12.808349,4.4415865
AFF4,4.6873035,1.8017598
MAPKAPK2,6.665578,0.558373
PSMD7,6.206655,-3.2226193
LMAN1,7.786299,3.2258117
NDUFA13,4.533383,-11.207009
STAT3,-3.0228705,0.47807184
COQ9,-0.3186487,-7.0571566
KBTBD7,5.111968,3.4188755
PSME3,6.3538766,-3.7906523
IPO4,9.628917,-6.4029174
CALCOCO2,-1.9439107,12.017893
NTHL1,13.941392,-11.601503
RPL19,9.348011,4.4616137
EIF3M,3.6847596,7.7379503
CKB,10.064174,-9.685378
POU3F3,-5.1484838,-7.0331426
SRSF11,12.394952,6.546965
TMEM106B,13.49773,-4.2912846
UBQLN1,1.1716385,2.5398176
STMN2,-8.332438,1.1999408
MAPK10,-0.8032793,-0.8055867
PPM1B,-2.383677,11.858398
PPIB,7.423371,-4.6784315
XKR4,15.559258,5.7102413
MMRN2,8.294787,6.774371
SEC61B,7.3677855,-3.9881947
NDUFB7,2.1943388,-7.1914806
PSMC4,11.396841,-0.20004782
CHMP2B,3.8997667,1.0909473
TIMM50,12.161178,0.14199495
SETD2,3.9495888,5.3271546
EMILIN2,12.750364,3.9751093
SCYL2,1.2463729,4.686746
FAM217B,5.2912917,3.2628307
LRRC59,6.6929126,-4.1402974
TMEM14A,13.374731,-11.676511
ZNF768,7.1453137,-12.046805
CREBRF,2.8737273,6.3808613
CCDC47,4.3519616,0.44505513
CLTC,4.186101,-0.2838448
KIAA0430,3.119968,6.8716507
KCMF1,-0.5663937,3.502316
GPM6A,-2.353206,-6.893044
TPM1,6.43682,-7.5462437
SEMA3D,-3.9838374,-7.82419
UQCRQ,3.9154751,-11.315191
SVIL,1.3200909,-14.059608
GFRA3,15.519109,5.560548
MRTO4,10.420655,-6.231988
SELENOF,14.545935,1.9031566
ZBED8,21.623592,-0.11617602
NDUFS8,2.3070025,-7.6251664
KY,15.52345,-0.4408664
VPS4A,4.302992,-3.177794
RAB7B,-1.0237956,-2.5723095
MCMBP,5.333121,0.3878387
ZNF865,5.4547014,14.016774
ERBB3,15.954885,6.124165
ABHD14A,-1.3736167,-3.1950045
EPB41L1,11.613359,1.7723957
PIP5K1C,8.033106,-6.9919863
SELENOP,17.314608,1.0179704
NEDD4L,12.106098,-8.539217
OSGEPL1,-2.2286098,-3.4812338
SSNA1,6.5852427,16.076649
HIF3A,14.74086,11.598595
COX5B,2.7159157,-9.275213
AGL,0.592622,-12.224489
NRXN1,15.850923,6.3595247
FLI1,9.230843,11.130582
TRMT13,6.998171,8.035577
MCUB,5.2547936,8.737287
ATP5B,1.4625957,-8.038543
JPH1,-6.763664,-6.367543
PCDH10,-5.172709,-6.984062
CDV3,5.4632287,0.20586266
JPH2,8.957112,-9.320867
PSMA1,10.148852,-0.814849
SH3GLB1,1.9102902,3.7417145
TRIL,-0.9071425,-2.5606022
AOX1,13.681334,13.547076
SHARPIN,6.2918234,15.807676
SPAG8,5.37498,0.07259421
INPP5A,6.5247145,-9.133181
METTL1,10.555956,-4.510036
PKN2,14.118665,-4.426384
SRCAP,2.1812663,13.39524
ATG9A,-5.8363266,3.5901322
FCER1G,-0.41131186,9.552556
GLUL,8.961215,0.06837374
TMEM33,7.7081594,3.2684078
DNM1,-0.37508056,-1.9956095
TMF1,0.5506207,10.701556
CYYR1,9.361546,11.304745
ELL,8.339787,0.39590377
ABCE1,6.4961715,-0.94215125
WAS,13.074003,4.766079
SMG5,4.6440363,12.801727
PPRC1,6.7326307,0.33089444
JRKL,6.7004447,7.8975744
PNPLA8,4.794552,1.0138874
DNAJB14,13.00607,-4.2488265
RAC2,12.178065,11.877587
EIF5A,11.629706,-0.03856856
XRN1,11.965136,6.423691
CNN1,4.366947,-8.183119
RCAN2,-5.493046,-7.2839966
ZNF835,14.819912,-11.458876
LAMA2,13.871494,13.33142
PSMC1,6.4635553,-2.8446198
SRM,10.821426,-6.2187004
PECAM1,8.312988,6.473554
EBF1,9.943087,10.02023
SNRPB,11.276462,-0.25112846
CPA3,12.369249,12.162787
RAB4A,0.44728133,-12.447985
CUL1,-0.45543352,2.7119942
SLC39A1,-3.3114257,0.6266109
ERG,8.064341,6.4741025
FBRSL1,4.8693056,13.913783
ZNF2,15.352626,-11.345355
MTERF1,15.227606,-11.23567
SOX5,11.913406,-4.398157
FBLN2,12.85547,3.8622766
CCM2L,8.396472,10.440622
CCSER2,4.20872,11.184347
PES1,9.194168,-6.315751
APOL1,13.697535,7.3895693
C1QC,-1.1963212,8.40131
PSMB3,11.280519,-0.4170168
PPP6R1,4.561348,13.071061
COL4A5,11.943322,-8.09904
NREP,9.217783,2.4560592
ATP5C1,1.2896657,-8.1199255
CSNK1G2,4.7736025,-2.5141845
ATP5A1,1.2772361,-7.976728
RPL32,9.26032,4.752337
PTPN18,3.1857796,9.913382
RCC1,-7.327421,-2.2621896
CCT7,10.380235,-2.2147386
HSP90B1,7.893902,-4.9082365
PPP1R12B,4.837767,-6.230092
ESRRG,-2.4198527,-6.873086
NALT1,10.135941,-9.459612
POMP,10.311116,-0.7173721
SHOC2,3.381094,0.8775342
RBM38,9.009832,-9.296304
UBXN4,17.042927,-7.655708
MVP,-3.2699227,0.9199727
EHMT2,12.694173,-1.9859498
IL1R1,7.350331,3.1149156
ATG4C,1.7313867,7.9481936
PUM2,-4.8611655,6.553103
FOXF2,8.877088,-9.198286
AR,-1.1610211,-0.32288513
FGL2,-1.0386834,-9.8610735
C1QA,-1.2802653,8.448837
PLXNB1,14.566761,11.337014
DUS1L,11.593137,-5.5307236
NPM1,3.7500684,7.7089577
TRIM33,12.10313,6.491758
EIF2S2,9.317854,-3.116851
PIK3CA,2.2250817,4.332578
GNL3,5.5256495,-4.1014295
MRPL48,13.594757,-11.491575
MED13,0.65243936,10.854458
MAD2L2,19.506056,-3.7273848
PCYT2,1.6661558,-1.8325948
ABTB1,13.666224,-0.91533
ADCY4,8.976315,10.426598
ATP1A3,-8.652886,0.77774
PPM1A,-4.94565,6.607887
ASB2,9.383049,-9.478783
SH2D3C,7.6777534,10.841453
PRUNE2,1.2302046,-14.228935
EEA1,1.5226332,0.9163478
PSMC3,6.004228,13.950949
CCDC121,5.042959,3.2558484
BCL3,2.911442,-4.3913074
BRMS1,9.278555,-6.201475
PRDX6,1.3384855,-2.5753863
GALT,5.6069617,0.117925696
TIMM17B,5.0810037,-11.589058
STX12,4.815341,1.0812993
JAK1,-0.86378783,5.8348603
KLF15,-1.6404564,12.120607
JAG1,10.162405,9.944548
E2F4,8.687826,-6.8168902
HNMT,-1.0058765,-0.52546686
ZEB2,10.2333355,9.856102
RAB1A,4.4971375,0.66153157
GLT8D2,-0.6730489,-1.3168192
TAOK1,2.473139,3.6275735
MFSD14A,4.5663958,1.5305895
MS4A4A,-1.2431726,8.189805
DDX28,-3.7232573,4.2811427
SHE,9.190421,10.925194
