node,x,y
RAN,4.3826528,5.945853
EVPL,12.085751,6.4864717
CCT2,2.3540156,5.48094
BNIPL,12.561866,6.7735834
ZNF181,-1.0886799,1.1363186
PPL,11.634084,4.2485533
MTERF1,6.3372436,4.542072
ZEB1,10.614957,0.50777406
SLK,6.029932,-2.5376658
JAM3,13.560153,-3.1911576
SPINT1,8.181669,-4.4432096
ARF5,2.5659263,9.1494055
PPP2CA,1.9031626,-3.1881137
ERBB2,-0.321629,-6.522868
ZBTB7C,17.173988,5.7125225
MSRB3,9.501512,-1.0513928
KANK2,11.498274,-3.2372236
NECTIN4,3.1637244,-0.22601847
DENND2C,2.777616,-0.3027735
ABCE1,-4.156794,0.4385376
JUP,3.6675727,-0.0062866234
MRPL12,-2.285898,-4.6313605
CDH5,4.887135,1.2191148
SGCE,14.389137,-3.1461582
CAPN1,2.7311118,8.627015
AKT3,10.206545,1.2796271
SNRPD1,4.242293,6.138941
STRN,6.494478,-5.6923923
RAB25,2.8402638,8.28254
MSN,16.79619,4.716418
TOM1,10.246019,6.5490212
EPS8L2,10.879712,6.1344547
ARPC1B,16.536964,3.2828345
MAP7D1,-0.77290356,-2.955395
LAD1,4.3013062,0.12733531
WIPF1,8.460412,2.2217793
GNAI3,1.535316,-3.6502297
DDX21,-6.9819894,-3.713089
MXD1,8.087629,-9.694246
TGFB1I1,11.671625,-2.7191026
ZNF112,-1.5605611,0.91223204
CALD1,8.167061,-2.3487399
MYZAP,12.573502,2.836548
WAS,15.186037,-0.19034919
FAM83H,4.714352,0.12773038
TMEM134,2.6165404,9.571707
FERMT2,9.951256,-0.08650519
NIPAL2,16.649128,6.249539
SLIT3,14.7225685,-2.809392
NPM1,1.72904,5.657407
TSPO,2.7382827,9.479592
IPO7,-4.874423,2.8277113
NOL11,-4.501519,-0.23178145
MRTO4,1.6878287,-8.475937
CARF,-0.92541414,-3.6000848
TPM1,9.4594345,-1.5381045
TNFSF12,15.743831,-5.802624
KBTBD7,0.61782354,-1.524217
SSNA1,-3.0561194,0.7879741
TOMM40,2.4284482,-5.8765793
CACNA1H,11.301938,-2.9043598
TTC9,7.5239067,-4.7898283
GIPC1,8.712357,-6.5241923
NEIL1,2.0344312,10.825043
BUB1,3.023298,12.467195
WDR12,-4.2787066,0.16529083
COL1A2,15.860504,-7.3636246
GPD1L,16.199736,6.779582
MYH11,9.783847,-2.2472246
PKN2,1.8707259,2.9353268
MYLK,9.459872,-1.3932683
EPS8L1,11.922535,3.7981963
RASSF8,10.757167,0.26762402
ARF6,11.633615,9.325999
FAM91A1,-1.0244449,8.3304
ANTXR2,10.387909,0.67207104
ABI1,2.154437,-1.8381972
CBX7,6.139323,-9.396951
NCOA2,6.6503277,9.811067
AGGF1,5.9523377,-12.318273
RAI2,9.609568,2.1595657
PTCD2,1.0182341,-1.2606733
ZNF202,0.58514446,3.6709592
CDH3,15.825164,8.663569
UBE2L6,-2.9489405,13.306524
CDC45,1.1281087,12.554686
AFDN,6.880592,-4.8614273
SNX9,13.218742,2.3611073
KIAA1211L,16.527138,6.4647098
CBX3,1.5637888,5.680531
COL6A2,15.475773,-5.966638
PPAN,1.5148165,-8.436221
RMND5B,10.0948715,6.8666053
DBR1,0.022228237,3.6275275
LAPTM5,15.201671,0.35524574
TMOD3,5.9847083,-1.7430832
RAB11A,11.54246,9.465343
MYO6,6.3402176,-1.5231632
TIMM50,2.9710257,-5.1761904
DDX18,-4.273635,0.19304396
ZNRF1,8.642106,-4.637363
ACTR2,-0.92994165,7.754283
RCOR1,0.28406268,-2.425484
ZEB2,13.341021,-8.616062
CCT6A,-1.2920144,5.1511464
CCDC120,8.443746,4.549697
EXOC5,-1.1609563,8.610444
PLLP,17.225477,4.7943273
ARL8B,5.9520693,-4.872838
OLFML1,15.44625,-3.1104643
ACTR3,1.3947626,-3.70672
CD2AP,6.749616,-6.1325326
NID1,9.975097,2.8347821
CHD9,1.0714359,-9.85928
RAD23B,1.3169112,-3.7299252
KRT78,12.540844,2.7985406
ATP5D,-2.4601889,-5.0332246
DBNDD1,12.671714,6.4853907
OSBPL8,-1.1799432,8.967468
TNS2,0.95158595,7.4636683
VAV3,18.100306,5.4643807
DCAF17,5.8619037,-12.028036
DVL1,8.849913,-6.505594
TPX2,2.3855853,13.295184
DPH2,-1.6244011,-8.289471
SH2B1,1.7150118,11.012764
CCNB2,2.4747386,13.37425
CAST,5.57004,-1.8841509
KRT4,15.252502,5.8192196
TNS1,11.063136,-3.1069193
ITGA3,15.984058,7.945042
GRHL1,2.6101775,-0.8930895
VIM,12.107221,-9.52176
MRPL3,-0.9359513,5.1715584
ASH1L,0.9819717,-10.2392235
ACACB,6.1398377,-9.341511
USP6NL,6.977627,-4.9286675
PDGFRB,11.174308,-8.982748
COL6A1,15.496887,-6.024142
ZNF185,11.822724,7.9548645
IGKC,-8.310239,2.9819112
COX8A,0.83238626,1.0700694
PTPRC,14.536758,-0.5112133
SBNO2,15.188612,10.574175
PUM3,4.785745,5.5273356
NDUFB7,0.8834392,1.4131578
RMND5A,5.883332,-2.8358154
LHFP,14.622529,-2.8054278
R3HDM4,10.58981,-1.5728317
LPCAT1,16.88911,3.7243302
LRRC45,2.4299812,-11.555127
MRPL4,-2.3301284,-4.1813717
TOLLIP,4.369391,0.10503565
SCAF11,-9.4567175,-1.6964248
NIPBL,0.5224157,-10.523361
PRPF40A,-2.9282067,5.0588107
NAA15,-1.9943347,5.5493526
DKC1,4.645719,5.479597
PNO1,-1.9119387,-7.5477304
PPP1CA,2.6660943,8.767162
IFI16,15.779203,8.846987
SPNS2,12.9333315,2.5433922
DCAF11,-0.15033351,-6.621354
NDUFA13,0.84890336,1.3123991
PSMA2,6.0257626,6.849667
HGH1,4.1663785,-1.1706691
FASTK,-6.2181664,3.6399481
SH3GL1,10.517434,6.239311
C1S,7.317683,2.739376
ZC3H13,-6.123926,-8.646784
NAA50,-1.9336485,5.7852144
HSPD1,-7.2370005,-0.60086805
COL5A1,15.605152,-7.089467
NPR2,14.976611,3.0089507
RPL26,-4.8858633,7.6861334
FANCI,3.2738292,11.381077
STAG2,2.7798321,2.9127026
SIRT7,8.747085,-6.5835743
MCMBP,-4.548591,2.4673429
KRAS,6.666746,-6.1010947
DEK,1.180955,5.912076
PPP1R13L,11.174977,5.821643
SASH3,14.983916,-0.6022384
CD53,14.496428,-0.65317035
ZNF84,-1.2078316,0.15532427
GPSM3,15.5513115,0.20482442
EIF3M,7.140109,12.894979
MYL9,9.689306,-1.9908526
BRCA1,-0.095634356,12.258155
KLC4,1.4950751,10.981422
ZNF33B,-0.9954562,-2.8519819
RSF1,2.8408616,2.9602647
PRKG1,13.803158,-3.9271705
SGCB,11.295804,0.5700748
SPAG9,2.202326,-11.200628
CAPRIN1,-4.7945666,3.5698175
BYSL,1.385481,-8.995002
GRAMD1A,7.8022947,0.7345973
SPARCL1,10.071773,1.6888783
UBXN6,2.8796184,10.494947
SH2B3,8.303682,1.8154745
PEX12,0.66784227,-1.4818612
RPL19,-4.987346,8.042011
OMA1,-3.8073173,-7.127752
DNAJC4,2.6680489,10.420635
FAM208A,5.7140827,-12.064025
ARHGEF25,11.745999,-2.6543114
GLT8D2,15.268842,-3.043048
PMM1,9.016389,-4.790227
RRS1,-1.9546427,-8.760302
RFNG,-6.440973,1.9644017
ZMYND11,7.4871693,-2.3162062
ELMO3,9.555934,11.111393
ALKBH7,2.737747,9.847956
PGLS,-2.5681522,0.781982
ATP5B,13.905834,0.5673355
NCLN,-5.860252,-6.1488333
ABCF2,-1.6374874,-8.012152
