node,x,y
DDX21,9.12506,-7.218358
ABCF2,19.270016,2.0315394
SBNO2,6.8320584,1.2963035
NAMPT,7.0187554,1.5347459
STAT3,7.410365,1.4847896
ETF1,14.240538,2.169603
NIPBL,15.006073,0.4279182
OLFML1,4.818668,4.2684517
KMT2B,7.327908,1.404598
WAC,20.616308,4.638466
YME1L1,13.169925,1.4094718
UBXN4,8.924448,-2.343744
PNO1,17.869476,0.15425219
SPI1,3.1677523,-2.0575447
NTHL1,6.1522927,5.101803
STAG2,15.308583,0.71711814
PHC2,-0.109389916,-0.27772132
EIF4A1,5.986998,10.297692
KPNA4,4.85568,-3.127521
ABHD14A,5.6493382,5.099945
STMN2,2.7307143,0.5099305
TM9SF3,13.36486,1.1267921
IPO4,19.124475,2.8702347
ZDHHC9,0.5206567,0.08105185
ZNF598,8.121496,1.0877006
PLXND1,3.969522,-7.2833023
ABCE1,9.227595,-7.596226
RHOT2,9.581728,0.024308542
DSTN,12.1280365,5.298063
PPM1B,11.803433,-8.885266
FLNA,9.02808,-3.2950976
EIF3M,2.4380178,3.076185
FBRS,9.34605,7.409054
EIF2S1,13.995431,2.0445578
RNF150,14.570065,-7.032802
NEDD4L,15.695795,3.617921
CKB,8.34899,-3.7182558
XRN1,13.195116,-0.76515806
MED13,13.741168,-0.8240556
ELOB,1.1265824,4.139333
IFI16,0.6306345,1.0588536
ELL,7.155373,0.7945499
ARPC1B,-3.6290598,3.919053
ATP5A1,18.407639,-8.297698
LMAN1,6.30645,-4.3281016
SHARPIN,19.524967,-5.8235903
ASH1L,16.910069,-5.3406844
CSNK1G2,8.338912,0.5331259
WAPL,8.947807,-1.9210253
SEC24C,-3.0616827,-2.056268
TBC1D17,-0.7716475,6.8383665
TRAM1,6.74001,-4.1206007
MYH11,10.394838,-1.2089112
SLC8A1,14.577933,-7.7676296
TYROBP,3.1528752,-1.8792483
TCEA3,7.306616,4.9767623
GGCT,9.044331,1.9443061
GLT8D2,4.8172975,4.07802
MIB1,5.907514,-7.062528
METTL1,6.474929,2.3951347
CCT6A,10.60032,9.797931
CUL1,-1.9565034,4.395238
MSRB3,10.695299,-1.193124
