node,x,y
OLFML1,14.707148,8.86136
OSMR,5.7492046,9.706634
GNL3,1.1456095,7.361265
DDX21,5.1726675,8.849299
TM9SF3,18.661377,5.9244957
FAM217B,8.134044,9.39932
CASC4,15.206178,11.834666
SCRN3,-2.408414,7.2019863
TRAM1,17.510296,5.3801208
NDUFB7,11.371892,0.4496523
COX4I1,9.95613,0.7730419
EIF2S1,-2.0874562,-1.712355
RAP1B,21.728617,4.7174883
UQCRC2,10.6544075,4.749825
TOMM40,2.3582442,-6.5082436
IPO4,3.6356184,-0.4237945
LRRC59,-0.2222517,8.554502
BBS10,7.33988,5.1198416
AFF4,-4.7430778,1.3115954
UNC5C,16.708559,8.951851
SEC61A1,-0.25783542,8.703635
TIMM50,4.714497,-7.7787
ERBB3,13.250009,1.7036493
WDR1,5.064249,14.022065
LANCL1,-2.4253812,7.0030584
ZNF598,3.7226787,1.8018688
SLC52A2,0.96596307,8.999091
ATP5F1,10.5420475,4.643261
EIF3J,-2.1920028,-1.9842584
VDAC1,13.865667,2.9428413
EIF4A1,6.9166174,8.661716
UQCR11,10.841791,0.6758974
NDUFS1,10.335228,13.2448845
ABCE1,0.69095916,7.0129395
SBNO2,6.886493,3.0284078
MAPK10,15.569003,8.951094
ETF1,-2.0901964,-0.8709397
WAS,2.3460937,5.447656
RECQL5,-0.8772417,-0.695073
MYDGF,0.6350996,9.170062
TMED2,18.69721,4.641429
CARF,9.740742,10.473215
MRTO4,3.7133188,-1.0096194
MAP2K2,6.408942,-8.260093
PCYOX1,-2.9569485,7.811358
ZC3H15,0.7410732,0.226155
QPRT,1.1763859,-2.4251237
UQCRC1,9.725224,-3.45048
SAMHD1,-2.6813679,4.5908494
UBQLN1,0.56901824,1.3576013
GBAS,12.501954,5.53001
NAA50,-1.9822712,-1.4898578
ATF7IP,8.312195,8.9538555
CORO1B,1.6653825,3.1517386
DCAF6,12.551128,6.17673
SLC25A11,11.742938,-0.6405057
COX7B,9.121377,-0.91839355
ATP5B,10.860154,4.537008
ADCY5,4.7807503,-1.7762605
EHMT2,-2.1886258,-0.23942344
NDUFB3,8.79965,-1.2525747
ASH1L,20.678068,8.481852
MEN1,4.8780847,7.1813526
CCDC47,-2.336427,-1.0539207
PNO1,-2.033763,-3.7013223
ELOB,11.494628,1.1082376
SURF4,-0.24601994,8.725342
TMED9,0.13314904,9.147915
EPB41L2,15.853246,9.230318
CHRM2,7.7541685,1.2673855
C1R,8.643067,7.236982
VDAC3,9.808241,4.466078
IPO7,0.0051935627,1.4033488
MYZAP,12.5660515,5.810367
CC2D2A,15.175856,8.4522085
MAFF,-1.3398033,-7.6080317
CERCAM,-5.079441,9.157956
PPIB,-2.0823944,10.803556
CREBL2,1.8671359,-6.6938243
PACSIN3,5.4918985,12.620581
NDUFA13,11.0678625,0.5081868
C1S,8.599776,7.2702036
ZKSCAN4,6.9134197,5.523809
ZNF646,5.782078,6.552733
ABCC10,17.73739,-1.0782489
PTPN13,16.986458,8.7931595
ISLR,14.546507,9.368027
GAL3ST4,12.032159,-2.8678718
GLTSCR1L,15.269678,-4.956092
HM13,-0.31268963,8.378382
EIF2S2,-0.7316552,-3.154966
ERO1A,-3.3457255,4.131017
MYBPC3,8.717624,-4.6806316
CDH5,-5.466454,11.896512
QTRT2,-2.256276,-4.5169516
MDH1,9.992737,4.4378
FYTTD1,5.292711,1.5447316
OPA1,15.036391,2.4707127
ATAD3A,2.4285543,-6.3864555
ACAT1,12.252637,4.800174
GABPA,18.895056,0.84826535
PCNX3,4.077315,7.8050146
SPI1,2.2030208,5.6867886
PRR12,-2.354193,0.16837326
TMOD2,16.767433,8.7819805
FGL2,14.732259,10.09221
MIB1,13.525344,13.870664
COX5A,10.021276,-1.4510808
CD53,3.2126417,5.187538
ACTN2,5.141639,12.726838
PLEKHM2,2.8917038,-5.163672
COX6B1,10.049608,0.61209434
WAC,9.056737,-8.570206
STAG2,19.823576,8.060254
PTPN1,8.447501,10.300065
CTNNA3,15.357933,-1.5659685
MTDH,18.71472,5.567951
DHX37,3.4625924,0.019238902
HSPA12B,-5.157373,12.7708645
PPP1R12B,15.8343935,-0.927448
TCF12,16.562595,11.794144
S100A11,-1.8434261,13.8300495
STRAP,7.14935,-5.585108
MRPL4,4.971074,-8.522204
CELSR2,1.074568,-2.0406628
ANXA2,-1.8205343,14.053904
WNK2,12.932082,4.6550474
SYNCRIP,0.5799235,6.747941
RAB5A,0.75167644,0.29722977
KPNA4,12.597057,-2.5514474
SLC35A5,0.9448411,-6.222289
TACO1,11.095211,3.8176856
ALDOA,10.303234,-2.6555383
HNMT,1.2686055,-6.4452233
PKN2,18.515575,0.9265658
FSD2,4.4015,-2.366933
PIP5K1B,12.389469,6.3128858
NDUFS8,11.330406,-0.008642675
KIF1A,4.1457343,12.504516
XKR4,10.418017,5.9326177
L1CAM,13.29245,1.7814339
LRRC39,4.9552636,-2.450085
UBR3,15.539945,-2.4330764
TMEM182,15.76253,-1.0434711
FH,10.323562,4.5161014
CMTM6,17.246702,5.6934586
PLS3,14.262194,11.848646
ITGB2,2.6404421,6.055448
FBXO40,4.773567,-1.7925395
C1QTNF7,15.1955385,8.338883
RARG,-1.6841321,3.0650203
DBR1,6.8531485,5.3305173
TXLNB,-1.5433015,1.0285776
PSMB3,4.6893897,-7.625916
RSF1,20.080273,8.252741
