node,x,y
EIF4A1,-2.9055934,-3.5090683
GNL3,-0.20711334,0.66899633
LRRC59,-2.9256203,-4.582899
DDX21,1.3312153,-1.129007
SH3GL1,-3.7011943,-1.0824474
FBXO40,-2.0513859,11.226344
CLIC1,3.2204158,-6.401574
MRTO4,0.52408093,0.25126392
PRDX3,7.2032,4.262782
VDAC3,4.5507846,11.220406
GATAD2A,-3.3951309,-0.9397438
UQCRC2,-4.139179,7.6995974
NDUFS1,6.3381352,5.23365
OLFML1,2.8980482,15.903525
ARPC1B,2.3551702,-4.9764185
ESAM,3.2431355,-11.45154
RAP1B,-0.8547557,7.532422
SUCLA2,7.1212263,4.569408
MFSD14A,-1.1327077,6.6220994
COL1A2,-2.2091568,16.135904
LRRC39,-1.8355906,10.995716
SBNO2,-2.2823718,-1.8206089
SUCLG1,-2.6337452,7.608138
ATP5A1,-4.918646,7.4149995
CORO1B,0.9154755,-8.880579
ZNF598,-8.277906,9.099662
YME1L1,5.567231,3.0263948
EIF2S1,2.5916388,4.1076155
FOSL2,0.057764146,6.35052
ATP5F1,4.1745815,11.683095
MYDGF,2.7668831,-6.6502223
ACTR2,2.131355,9.024591
PNO1,-0.34868366,0.93199104
LANCL1,3.4800568,5.8162956
WDR43,0.41635463,-0.8382878
RNF207,3.091062,0.48544532
ARPC4,3.7151334,-6.5732303
PSMD14,1.4664392,4.3593407
MARVELD1,7.2673864,-7.4241242
SYNCRIP,1.1159948,-1.569232
VDAC2,5.94053,12.755638
ABCE1,0.7412903,-1.5588735
IPO7,3.9292295,3.688097
MAFF,-0.38669163,5.685418
PDE4DIP,-4.920564,3.1467988
ARHGDIA,-2.9516468,-3.3240302
SH3BGRL,-3.7028954,14.437089
GALT,3.1943614,0.44412196
ITCH,1.6219269,9.482998
ATP5B,-3.032829,7.861488
FN1,-2.7096767,17.191114
PJA2,1.5487218,10.119801
S100A11,1.6882085,-4.98806
WNK2,5.5573545,1.5892324
STRAP,2.774814,3.9985027
ECM2,0.6771796,15.109159
TNFRSF1A,-2.4765058,-1.6933316
SEC24D,0.14643754,-4.85895
TNNI3K,-2.0121841,10.218604
NDUFB5,4.608238,11.178647
VDAC1,5.422605,12.807832
CUL3,5.9679832,2.5275767
DCAF6,-6.0159273,10.75183
BYSL,0.06650572,-0.0050553074
EIF3J,2.4257286,4.4689655
TMEM182,-2.0403721,10.143771
IL4R,-2.4338286,-2.3087487
COX7B,-1.7322326,6.9585567
CPNE2,0.8315318,-9.225104
S1PR1,6.37763,-10.090497
KDELR2,0.17851628,-5.045436
CAB39,5.4655643,2.5698726
LDHD,-4.016618,12.30369
PPP1R18,-3.0966,-1.0785449
RPL3L,5.3140616,1.0606595
PCMT1,6.7035575,12.483551
NDUFB3,-2.0330646,7.32799
RYR2,7.06127,-3.577751
OXR1,3.5781403,5.8409967
ACTN2,10.203433,6.834314
ATP5G3,-2.2415679,7.3659782
TSSC4,4.1319985,-1.4274974
UQCRC1,-6.941501,1.2914002
ARF4,-5.6745005,-5.9141235
ACTR3,-5.668666,-5.8457637
PSMB8,1.700394,-5.9724245
SLC25A11,-3.6829066,12.599048
RNF10,5.0497394,13.923534
EXOC5,1.7458475,10.035654
PLAUR,-0.8394697,4.6942596
MTDH,1.8835077,9.505431
MAF1,-1.6476071,1.5835904
