node,x,y
SEMA4B,3.9497638,1.8045729
SFN,3.1137915,0.94105536
MSRA,4.1979003,-2.4445271
PEPD,5.9323664,-1.0578753
FAM129B,1.6430699,5.4264297
PPP1R18,2.1612291,4.6490507
YME1L1,8.14964,7.8064666
DDX21,10.569488,5.763622
SBNO2,3.7719138,1.8038044
OSMR,12.185833,3.9659133
EIF4A1,3.67851,0.2766295
KHK,6.8383455,0.05066584
SDHD,9.019604,1.9555318
S100A16,4.0016985,0.43482026
UBTD1,4.9392166,7.32338
TM9SF3,3.9255538,12.070437
ACY1,6.387804,-0.364707
RELA,4.5196033,0.45628124
VPS37A,7.798577,13.066802
CPED1,10.820771,11.704472
COQ9,-3.579968,7.609371
ACOT13,3.5432014,-3.403715
HADH,3.067317,-3.5637248
S100A11,-3.7285218,1.9566535
FASTK,-1.5350248,0.34726453
IFNAR2,12.626207,3.6608953
GRHL2,6.8047504,-5.1845064
ANKRD46,10.233337,1.4128728
PPAN,15.832634,6.448111
CLIC5,0.94316125,2.8959956
AGMAT,4.7524624,-2.6527126
SLC17A1,5.3129888,3.0175993
CPTP,-1.6494681,-0.30058324
COX8A,0.81857276,14.223372
UBQLN1,8.281979,12.754449
RPN1,5.451542,13.560954
HSD11B2,11.4233885,-3.2761676
NDUFA5,10.52446,1.1372159
PES1,13.240425,10.459606
TMC8,12.847548,14.6324005
PLCE1,0.7563035,2.8504539
FSTL1,-2.9231286,9.846497
LZTS3,-4.094925,-2.9562745
ANPEP,8.240253,3.9087737
LRRC59,-0.22509418,7.9880977
RBM25,-0.53956413,2.4175744
AKR1A1,4.2210884,-5.8782907
NDUFC1,7.5293374,5.826051
AGXT2,4.2574735,3.8544571
VASP,1.9432185,5.3173614
PHC2,4.6733613,2.0981624
TNFRSF1A,3.2700806,2.1859539
ADGRE5,1.3345274,5.920351
COL6A2,-2.9843767,10.444229
HK1,0.7535518,0.0841901
CBR4,1.9153473,0.56087804
ZYX,1.7898589,5.040076
NAT8L,3.0826826,-6.5427246
DPH2,2.3573756,15.458685
BZW1,9.242177,5.7044573
TMEM72,3.4503472,-6.730233
MMADHC,6.3030863,10.516381
SLC25A11,-4.3747888,-1.5733106
KIF26A,9.54293,3.451084
ACSF2,7.14203,0.4647552
PRDX3,8.985986,1.69397
POMP,5.635812,10.511401
TPMT,8.369796,-7.7346506
DPYS,4.367752,3.623542
EMILIN1,-3.1077895,11.03918
KLHL3,6.9778814,4.556898
ITPKC,4.7112,1.6917443
SNX4,5.7596045,6.4696703
EIF2S2,5.1660547,10.67512
ACOX2,6.3944187,-0.806716
MYH11,-2.1758869,11.114406
BPHL,3.7932994,-3.344528
ANKLE2,2.2327945,5.266653
MEGF11,12.84339,3.4093068
ANTXR2,-7.30823,14.200994
NYNRIN,9.456666,3.4141355
HMGCL,4.4537015,-1.4897971
PTPRO,1.1288304,3.115919
FBLIM1,-2.574551,9.508506
NDUFB7,1.2463595,14.862223
SETD1A,7.866598,-2.0612192
RPL23,6.333793,2.0635657
WDR34,-1.7252477,0.26866704
LAMTOR3,-7.436251,1.864064
ALAD,3.243381,-3.992084
RFFL,12.021714,7.2261286
ETFA,2.935332,-7.794192
C1QBP,2.2323227,-9.465048
MAPK6,-4.2725763,8.506692
GARS,0.7962668,8.2315855
NDUFS8,1.13879,14.873199
PANK1,2.8337786,-3.4417198
FMNL1,0.46490946,10.518563
SUMO1,13.182994,12.046238
GIPC2,4.2080016,3.7228348
SLC39A13,5.37944,7.224229
TBC1D10C,12.999867,14.411472
FGF1,0.9571338,2.9268055
MRTO4,13.248794,10.32568
COX7C,-3.342605,6.708973
EFTUD2,13.36811,10.480871
SLC30A9,5.8752956,6.264491
SDHC,1.459551,-3.57041
ARF1,-2.5720854,3.9657843
MARVELD1,-2.849983,11.165663
TCEA1,9.751096,17.341116
PSMD8,-2.2366498,3.0292072
R3HDM4,4.214441,0.79376197
TNFRSF10B,3.2470317,2.7113123
XRCC5,0.49044606,7.315038
CLDN19,10.800271,15.518025
RIDA,4.17752,-3.0031204
SLC28A1,7.6462245,-5.3768606
FURIN,0.9999013,0.5794807
TMPRSS2,11.777491,-3.2588344
RAB10,6.619231,10.3529215
NCKAP1L,0.082528576,10.665429
STOML2,13.53909,-0.5949929
CLIC1,3.585404,0.40084788
EIF4G1,-0.41727418,7.9778123
PDSS2,1.3763206,-3.633924
HDAC11,-4.111071,-3.3858218
PDE1C,11.459375,-1.6233978
SIRT5,-1.5457363,-3.7644846
VTA1,-7.658927,1.4165591
DEGS2,9.048544,3.9096155
PODXL,0.864861,3.302255
SYNGR2,4.6556096,-4.2681227
ATP5J,8.850727,2.032051
SLC35B2,3.9125586,16.263783
ANKRD13D,0.42112854,-1.2627131
