node,x,y
ACOX2,3.2497144,-1.9951317
DPH2,0.51562726,8.523674
DDX21,6.904524,-9.282232
LIMK2,9.351051,8.024567
EIF4A1,1.5597311,3.1769397
METTL7A,3.5441923,-3.808956
NOLC1,2.859513,3.0997207
CAT,6.513839,-5.117536
CASC10,11.829628,1.8000398
GLYCTK,0.84563255,-3.1143801
NF2,-4.640309,8.058163
MAP1LC3B,-3.3391142,4.844405
PCYOX1,-2.0646496,-3.4550326
RNF43,-2.2730448,4.441905
RPRD1B,9.984349,7.9611006
CDH5,16.53041,-3.5742743
E2F4,0.77354926,8.903739
GATAD2A,10.109368,7.952097
DCN,1.463727,6.7838526
PA2G4,-2.0656939,-1.867851
BLOC1S6,9.546128,5.384549
VIM,14.833714,-1.96851
SBNO2,9.111861,9.041856
ADH6,-2.032951,-5.680374
SLC2A4RG,4.3376756,-2.287202
KARS,-1.3004973,-0.3809541
EHHADH,3.108686,-4.186276
ENO1,1.9518402,-7.2835064
YTHDF3,1.6994075,12.816593
AADAT,10.253186,-5.591747
ABCE1,14.305405,0.49886388
MAFK,-3.9917645,4.5392714
SRPRB,7.650132,3.8689554
CHUK,-2.0834534,1.817439
FLOT2,13.470724,-5.0489645
SKIDA1,-2.6306648,4.607262
ABHD15,-2.123703,-3.5780632
ALDOA,7.391888,-2.8084612
TWF1,7.351705,7.611138
RAB5A,9.99395,5.4491897
GNE,5.61889,9.820053
ZNRD1ASP,16.554615,3.5410473
SSR1,10.607774,0.60587496
EIF3J,13.999344,-0.076604046
DHX15,6.757338,-9.826564
LRRC59,12.529412,9.154131
CMBL,9.0862255,-4.8442526
ATP5H,0.13056521,1.2091441
RLF,12.334045,4.3099527
TCERG1,-6.3575883,-3.3318846
ETF1,7.040314,-9.399534
GNA13,11.770913,4.351302
CCT2,-0.941659,-1.4745578
USH2A,-2.348503,-5.995647
MAOB,5.2351785,-3.8461013
PPAN,3.42335,4.8083057
MAPKAPK2,-5.3839054,2.5579755
AGL,5.7099676,9.732935
NUS1,-2.6274035,2.2793806
WDR43,6.1325507,-9.584741
NAA15,14.349355,0.35621265
S100A11,7.570084,-1.7379516
COX7C,0.44445738,1.4198099
DTX3,8.008401,13.379063
CSNK1D,-5.5224543,2.3512247
ACBD4,-1.7915645,-3.264088
DHRS13,13.214147,-4.969799
LTV1,2.9528334,4.8923
FLNA,8.6359825,-1.1768094
RAB21,8.786134,-9.449855
ZNF594,16.281996,5.818764
PKM,7.641344,-2.556351
COBLL1,-6.893146,5.1056128
HAO1,5.359539,-3.994418
FLOT1,4.4769034,8.431895
GLYAT,3.866924,-1.9619801
ARF4,12.528767,9.150747
DKC1,2.31055,4.669303
MAP2K2,3.918687,5.779486
VAPA,7.8674655,-9.853896
STAT3,10.041104,9.490876
TNFRSF12A,-4.167855,4.3157296
HDAC7,7.4786515,-1.9266992
ETNK2,2.4237812,-2.091022
ANTXR1,1.9843138,7.024191
SPI1,-1.9710923,-8.449032
COL6A2,12.865344,-3.1375759
ATP5B,7.766298,1.2228539
PUS1,0.58294964,9.002025
CYBRD1,0.42416087,6.4999237
IL15RA,9.877182,8.777217
TMEM106B,-3.662981,-6.1084423
LBP,13.588239,-4.883255
COL4A2,8.257265,-1.5625823
PPP2CA,8.321214,-9.474708
PHC2,-5.072211,2.3652015
PPP1R3E,6.8159814,-10.001107
MSRB3,7.831355,12.579689
MTPN,7.12617,8.042485
RAN,-1.9854281,-1.8279104
EIF3B,3.744491,1.5308834
MAPRE1,-1.8170958,-13.659236
NCKAP1L,6.5282025,5.444691
BCKDHB,5.803471,1.9113982
SLC30A7,-2.3750055,1.9049406
EIF2S1,1.201435,3.0338373
PIPOX,3.0350125,-2.3289497
LAPTM5,6.593084,4.398284
IPO7,14.619615,0.57408637
SLC2A2,-1.8912662,-5.737345
MPDZ,3.8856065,-4.2724648
ERO1A,12.198509,4.1779985
HELLS,7.860937,12.837315
POMP,-0.99713445,-0.19013864
ATP5J,8.801853,1.1549766
TMSB10,7.434894,-2.3805404
NOL6,3.6530364,2.032059
C1QBP,-1.383928,-0.18898988
CCT5,-0.83573645,-1.3136436
CHMP4B,2.5618563,-6.288061
ATP5A1,7.548793,1.177255
ICAM1,8.756717,9.309073
PBLD,5.829238,2.1133115
PRR14,-4.31886,0.6086425
SLC5A6,4.239593,8.262649
ACBD5,-4.859374,-1.1228487
NDUFB7,8.583431,-6.917261
TGM2,9.832701,8.566609
ATP11C,-2.808325,-5.8264747
LYPLA1,-3.558667,-6.00989
CAPS,7.026486,-10.071968
PPP2R1A,1.9077815,-7.6261115
BPHL,6.7703595,-5.3488545
GRHPR,0.02546651,7.42045
DMGDH,9.726343,-4.957533
