node,x,y
DDX21,-1.7707295,-0.83101535
MAPKAPK2,1.3553278,1.6956903
GATAD2A,1.5578219,1.6872709
ZNF691,-1.4068226,-1.4715682
LRRC59,-3.220342,-1.6447759
PTCD2,-0.6429595,1.7982796
EIF4A1,-2.303033,-0.10230969
DRC3,-9.320937,12.682528
MRTO4,1.6697425,-0.8480508
PPP2CA,-3.38814,10.833855
FBLN2,-2.5039053,5.3646593
SMARCAD1,-0.9669687,2.019507
PNO1,-2.8178685,-2.0605345
MED13,6.031308,4.7133603
LRRC46,-7.475108,5.0778008
SERINC1,5.182225,9.957555
FBXW11,5.666797,4.1955657
SCRN3,9.7656975,6.7697954
SPINT1,8.623519,-1.4790695
TRUB2,4.0879483,11.759851
ATG4C,4.180361,4.72391
RAP1B,-3.649133,10.961501
RAN,-1.3382368,14.593134
MTERF1,-4.082735,1.313857
VTA1,3.0430403,4.3791223
TM9SF3,10.008669,-4.556032
GLT1D1,0.34110963,-3.342291
DNASE1,-4.961461,-0.34629405
RABGGTB,-2.7617826,0.7769607
UBE2D3,-2.9275482,10.376822
ZNF2,8.3910475,3.856852
TSN,2.6953957,4.876413
ZNF225,8.618765,3.0183663
CAPS,-9.308849,0.0019614256
ZSCAN26,8.508514,3.2970657
ILF2,-2.6102705,0.035647053
DCAF13,1.6480852,-1.395595
PITPNB,8.449903,-4.0906286
S100A9,0.77167976,-3.0982554
AGER,-3.1611478,16.910234
TOP2A,1.8833089,14.07117
WAC,5.497066,4.5361056
VPS33A,2.8146906,10.255357
ABCF2,1.4286457,-0.6158487
IGKC,11.329152,11.45675
TFE3,1.721481,1.8419656
CDH1,10.303617,-0.76300275
B4GALT5,-9.637173,4.468905
EPCAM,10.295669,-0.60893214
FMO5,10.60802,8.59544
EIF3J,1.1016569,-8.074454
RAD51D,-0.04024754,1.4506112
HGH1,-1.542183,-3.0752254
SRM,1.5391351,6.699531
HCK,-0.62337786,7.556267
OGG1,1.8813236,-3.971502
TACO1,3.2644973,11.084274
LAPTM5,-0.05908867,8.314747
COL1A2,6.9573565,8.428203
SLIT2,13.422463,1.4147575
CETN3,-6.2705708,7.547522
HDGF,1.9776664,2.365895
ZNF527,9.380144,4.6436124
SLC44A4,4.3139367,-3.7165644
STAG2,4.8615317,9.908245
SPI1,-0.6428759,7.814251
LIPH,9.819912,10.920204
LIMCH1,13.375793,1.4752455
CDS1,4.694097,-3.6287196
SASH1,-4.96077,13.365655
CTSD,-0.3970064,9.503129
RNF11,-8.870107,7.061352
SHARPIN,-8.374758,9.339372
ARHGEF12,-4.2134748,12.169846
GLT8D2,-1.073447,4.8416986
OMA1,-6.2372704,7.2718515
TRUB1,-1.409515,2.0828853
ERMARD,-3.6681895,1.0625532
SERPINF1,-3.293341,6.2637873
NFKB2,-6.232456,4.4485755
STAT3,-1.0841992,-0.4373834
EHMT2,2.2472363,-3.8579624
EIF5A,-2.1923583,0.11020815
TTC25,-9.420972,12.754163
ASH1L,-0.7965606,11.2389965
RSPH1,3.9868753,-3.6361609
NME1,1.4195057,6.668274
