node,x,y
EPCAM,-3.6343098,-0.3525736
ARFGEF3,-3.425007,1.4474952
RAN,-0.8781287,0.6115329
S100A16,0.3576538,1.234035
EVPL,0.55917895,0.89217615
CDH5,6.7901125,11.055407
ARPC2,0.113629624,0.90035415
RUNX1,-5.9162555,-1.9364696
CLTB,-0.6529104,1.6100681
ZEB2,4.3330445,13.483755
RAB25,-3.6891413,-4.2427225
YWHAZ,-1.2970304,3.440554
PPP4C,3.298622,4.868315
GNAI3,-1.3163592,3.4446032
KIAA1324,-2.102498,-6.681856
MYD88,1.489723,2.5725815
TECR,9.487503,-1.7878767
ZNF185,0.5540344,1.0076058
CREB3L4,-5.565252,0.8576234
CCT6A,7.471651,6.493043
EIF2S1,-4.688614,-0.8334766
ARF6,7.9312153,1.957008
CXCL16,-4.2352676,-7.10879
PTPRK,-3.2299178,-1.1239066
JAG1,10.858951,-6.378
CRACR2B,-1.1488501,-6.792469
CHRM3,-3.3298457,1.3259876
ZNF780B,12.302583,-0.58903986
PTK6,9.4117365,-1.5258634
MSN,11.696876,2.728326
SLK,8.48676,2.194365
CPED1,4.271601,12.439223
S100A11,1.3599734,1.9016399
TMEM214,-3.6348104,9.729943
CHDH,-4.3479104,1.8498886
ZNF148,5.5202436,-8.5129595
TWF1,5.6178246,-5.7625527
SGSM3,-2.614533,10.33979
HID1,1.276047,-7.3004484
SH3GL1,3.349199,7.848755
UQCRC1,-3.1003525,6.571675
HCK,3.4857578,-3.1287844
TOLLIP,3.144008,7.626003
CTDSPL2,5.4460034,-8.900625
PSMA7,3.9599812,2.9011462
PHIP,5.51595,-8.428888
SLC39A1,-3.7787259,-2.937099
ADRM1,4.140082,2.5864716
TTN,-1.6977613,5.511495
SPINT1,-1.0025035,-4.1501675
HN1,-0.49769545,0.9875472
EPHA1,7.772988,1.3242965
PRPF40A,2.7481282,-5.0052586
FAM46A,1.047911,-9.485674
PPP1R18,3.8121548,-0.69434977
RAB18,2.8107505,-4.8981338
TMEM79,0.86082065,0.9424582
DTNB,-4.0532074,1.8490707
GOLM1,-1.6575407,-7.3884354
ATP5B,-2.9600654,4.9692783
CFL1,-7.569367,2.877791
BEND7,-10.826897,1.1250237
ECM2,3.8928602,12.276815
DUOX1,-8.841346,-1.8667976
OSMR,-0.677087,9.05211
DDX21,7.8043833,-6.6640935
VPS26A,5.8690596,-5.5155125
TLR2,9.481959,4.5356045
PSMD1,-4.181493,0.42149258
LZTS3,-4.8795033,2.0962777
EIF6,4.035346,-5.101223
TYROBP,3.0531628,-3.2779589
TMOD3,8.318939,2.250923
KIF11,-2.2624612,-4.298559
TBC1D30,1.4700656,-7.4962554
LYN,9.350042,4.5505624
PLS3,10.127803,-6.288313
ECSCR,7.259845,11.1383095
JAM2,4.8913097,12.616645
SESTD1,-3.018523,-1.3915802
VPS4B,8.259586,2.412737
PFKM,-4.7733016,5.989797
PDGFC,13.741167,-5.6557336
TPX2,-7.078904,-0.054780833
ZHX1,7.895827,3.3288653
NEIL1,0.32306844,-14.776137
PLEKHM2,-5.207677,-13.636712
HDGF,4.0670276,-5.451678
RAB5A,9.603025,0.4905895
SASH3,4.8631353,-3.3108363
CSTB,0.55269086,0.8827757
ZSWIM4,9.718975,-6.00603
MANSC1,2.1057131,-9.011716
CAPZA1,-1.7412944,3.7077343
NAA20,-1.2396806,2.9021933
OMA1,9.163061,-9.90452
RAD23A,-4.605571,6.2074795
YWHAH,11.507374,2.4898157
FBLN2,-4.2567315,11.751149
NCALD,1.5535026,-8.336119
TNFRSF12A,10.8727865,1.8121554
PITX1,9.4414425,-1.3662224
ATP5J,-2.7140949,4.4160137
TM9SF3,7.0320683,-3.4433434
SEC63,-0.6966506,-1.4564271
GOLPH3,0.097204804,-1.727369
FCER1G,2.1692328,-3.4742901
KRT7,-6.4879103,-2.0970542
CHRM1,-1.6941326,-7.0156517
PA2G4,-1.0112811,0.38182798
PRKACB,1.9530016,-8.720531
TM9SF2,-0.7199465,-1.5402714
SUZ12,2.5914912,-5.1351113
GLRB,6.2616477,3.33686
PYCR1,-3.4592016,9.917389
SYTL1,9.7093,-2.0498261
CCT2,7.5282454,6.520735
KCNN4,-0.7839228,-6.8372607
MGAT4A,-0.9717751,-1.3419675
HSPH1,10.491825,10.689383
CDS1,14.279185,5.357702
PGM3,3.1314561,-7.159742
ARL8B,6.4230537,-5.5635943
DUOXA1,-8.78449,-1.8610342
FNDC3A,6.375784,-3.7487001
RMND5B,2.8053062,7.716758
UBE2K,2.9436555,-4.973944
RAB32,11.39954,2.297444
KPNA4,-4.485926,-0.083229885
LAPTM5,2.4677465,-3.4466655
NCOA7,-0.9875262,8.9859915
RPL11,12.231341,-10.011021
TAGLN2,1.5063565,3.1272178
ETF1,8.229115,-6.0734572
SERPINB8,1.367136,2.602794
VTA1,8.855302,0.8706357
SLC17A5,-0.6916904,-1.536209
BIN1,-4.6598506,4.9601026
MTPN,8.805227,1.4069595
ERG,7.559032,11.063999
PART1,1.6829332,-7.406517
ACOT9,11.21195,2.0812244
SLC39A7,-3.691674,9.459172
CYHR1,-5.5314007,3.53652
DSP,4.055002,10.0513525
CLDN3,6.0298676,0.9890659
