node,x,y
DDX21,1.6700375,1.2450482
ZNF598,9.202127,4.332784
WAPL,3.6320927,-3.3557649
AATF,5.386375,0.16237463
BYSL,3.1178615,0.1541121
DAXX,9.905189,4.653345
PHC2,8.251267,1.0489295
PPP2R3A,1.9049249,-1.0489545
KIAA0368,2.0342896,10.298867
SETD2,3.5435565,-3.4382179
ITCH,3.820533,-3.1021745
LRRC59,7.3616104,7.5976024
NREP,1.8034567,-0.70395553
KCMF1,1.828395,10.762973
LRRC39,1.4829924,-2.3386517
COL1A2,8.178002,-3.2767916
LDB3,5.745918,-2.0411003
EIF4A1,-1.0486358,-7.354884
PES1,4.577797,-0.19839054
ARPC1B,-5.3490205,-3.004733
CRTC2,9.236368,4.9905534
COL6A1,7.9415627,-3.0057676
PNO1,1.73853,0.8261625
GADL1,1.7302202,-1.124459
RB1CC1,-0.5092458,4.7902784
BRAP,1.8783988,4.5339556
NIFK,2.5106444,0.33737665
PHF3,-0.5187587,4.934846
FOXO1,-6.765032,6.333791
PKIA,-2.4624012,4.2077303
KMT2B,7.6026883,4.593133
MRC2,7.872198,-3.8448923
ATP5A1,-1.1490177,-0.2872887
PSME3,-3.7127979,5.836692
OSMR,-1.8384774,6.5565925
MRPL35,-2.1517947,-4.696185
NELFE,11.278462,-1.8235629
HNRNPF,-2.0535285,7.0776877
ADRM1,5.0339127,5.648857
TAGLN2,-7.6785808,9.875907
EIF2S1,-3.6065998,5.4238706
ITGB6,2.515756,3.2699356
WAC,3.3772838,-2.7400982
HGS,5.66451,0.940056
PTCD2,-9.778149,-0.10980045
COL6A2,8.208496,-3.7407556
EIF3B,7.793902,3.7789495
CYBRD1,-10.320155,-5.191892
BRMS1,0.48472318,-4.33312
OSGEPL1,4.4665794,8.190273
SMCO1,0.32224718,-0.61842114
ARPC4,0.7580363,-4.077559
NDUFA13,-3.1908145,1.2770188
PPRC1,-6.475603,-0.6915915
ASB15,-2.8947098,3.9584885
NAA10,-5.3960915,4.0993066
SF3B5,-5.48866,2.4845355
DDAH2,-6.804599,-6.1975174
SNRPD2,-5.9075456,3.7891138
OLFML1,1.6042945,-5.043319
API5,4.523283,10.418433
GNL3,1.9733694,0.93671143
FLNA,5.4512653,-8.264606
SMAD5,3.4248219,-6.5513563
SERPING1,-5.219947,-3.7731514
CLIC1,-5.388331,-2.9071631
PSMD14,0.07322543,9.317612
STAT6,-4.818181,-4.848033
NDUFA8,-4.20968,0.82539374
COA3,-5.1767297,1.5710286
BRPF3,2.87603,11.565711
NOC2L,6.5762935,5.2842846
SNRPC,-5.662642,2.5946457
CAV1,2.9896574,7.475067
EFTUD2,6.832885,5.573254
AP2A1,9.995208,-5.688131
REXO1,8.005132,4.537799
TAF1D,2.855335,1.252747
RALGAPB,-0.11060137,13.337038
ACACB,2.5808713,9.907847
AVL9,1.9288671,5.1123214
PLS3,3.0169256,7.335668
MYLK,6.411751,-9.108825
CNN3,-5.600749,-2.569156
IFI16,-2.020378,6.1137576
TBC1D17,-1.1807984,-8.78945
UBR3,-2.3727493,9.398807
RPL19,14.14491,0.056745093
GATAD2A,-0.14262213,-7.2576785
BTBD7,10.257026,5.685314
PLAA,1.4199312,9.968951
ABHD10,4.728916,7.5252666
TXLNB,-7.54214,7.9856
EXOC5,-1.7533857,-3.0538402
GNL2,2.9380558,0.7762037
TBL3,-11.91459,-0.78029984
CHMP2A,-5.4384475,3.7101536
TRMT1L,-0.46440986,3.2103543
PDS5A,10.285506,1.6756815
DHX37,4.900971,-0.30672804
PUS1,3.7239988,-0.8510742
KLHL31,-8.040239,1.4939328
ZNF800,1.2012874,1.7826276
NAMPT,-2.0621583,7.078744
ALDH5A1,3.6045392,2.9239075
SUCLA2,5.001161,2.6624527
UBL5,-1.9976296,1.5646753
SH3BGRL,6.9956155,-8.75146
TMEM147,-5.277303,4.3411746
PLXND1,2.8401306,7.7037115
SEC23A,-2.3727543,9.580066
PPP4R2,3.6401463,-6.0441055
ATP8B2,-4.4425564,-5.384298
CSDE1,9.462281,-4.9477434
NIPBL,3.691089,-3.1515996
RNASE4,-10.32603,-5.216809
ISLR,1.4114907,-5.1857476
STUB1,1.493087,-6.4232783
AGL,1.6543157,-2.1759043
NDUFA9,-1.2020587,-0.29617608
IL6R,8.183525,0.8582226
CCDC137,7.2665753,8.6363
FAM20C,8.594909,-0.8795586
PANK3,3.542769,-6.4297047
IFIT1,0.8041329,6.5863323
CUEDC2,-1.8359314,1.7117692
POLRMT,6.4260225,5.2639823
PSMA5,0.3323814,9.533874
COX5B,-3.3058352,2.2776396
DHX15,-4.3358927,-6.4554195
MYH7B,0.43946892,-0.47279695
CMIP,-1.850244,6.2229557
GLUL,-6.643427,6.3225684
INTS1,9.764817,-5.437092
PIP4K2B,-9.03837,-2.9149354
DDX18,-0.1444282,-13.826615
ARID5B,-6.706144,6.3121705
PQLC1,-0.29593447,1.2881246
MAP2K2,10.801277,-3.6871524
TRAF7,8.310084,3.5166774
TRAPPC8,-0.04784067,13.344093
TSR3,11.0478945,-3.920168
TPM4,-7.7501345,9.778899
ZNF148,14.344074,-2.4584215
COQ9,5.3318744,-5.271739
LYRM7,5.28423,3.3695736
VTA1,-0.78803986,3.28774
DOLK,13.191275,-7.7157702
ANKRD40,3.2423334,5.2534566
COMMD3,-5.164233,1.2440926
ZPR1,5.047434,-0.14683364
SPAST,-1.7997624,-3.0464811
COX7C,-3.3613448,0.8672378
ZNF692,2.4906368,-3.7879558
PSMD11,4.6379056,6.1119266
SETD1A,7.115966,4.606625
MRPL1,5.5755696,-5.1225486
TEAD3,8.686363,-0.9609609
DCN,-10.1938715,-5.099476
FBRS,8.344016,4.938631
SERPINB1,-2.4085855,7.4889016
MRPL16,5.4971356,-5.259336
ESAM,-4.381982,-2.8806787
E2F4,10.393695,4.512512
KIF5B,-1.599778,-2.9198132
NDUFS3,-1.1587878,-0.14489704
SBNO2,-6.398894,-0.6605726
PTPN4,10.22956,-0.48440164
MYOZ3,-2.57349,3.7700422
