node,x,y
PTCH2,4.755912,-4.989527
DNASE1,8.458028,4.713592
KLF15,5.4758058,2.388891
OLFML1,4.1643925,-4.894922
EIF4A1,3.0740087,0.0922632
TMEM106B,-2.3345363,-8.1129465
ZNF692,8.5514765,4.3166256
STAG2,5.631613,7.827304
ETF1,6.581986,-3.5418792
PNO1,-3.451604,-1.8390576
TTC9,-2.2173052,4.62508
ATG16L2,8.565505,4.908674
TMOD2,1.1078491,-2.7767713
PHC2,4.01639,-0.10625892
TMED7,7.6870604,-3.0911303
RHOT2,11.9635515,0.09221663
MEGF9,3.3540564,10.4881
MBP,-2.47813,10.696095
SUN2,5.7953944,2.7851293
API5,1.6099389,-1.0440845
XRN1,3.2994359,2.373479
IPO4,1.2355729,3.7432718
CCT6A,-3.770276,-2.1626623
ZNF780B,-0.15513049,5.277844
TM9SF3,1.7820435,-1.2546134
COPE,6.945971,0.6656826
TRIM33,2.8860154,2.1402578
NRXN1,1.2266548,-3.0418537
TMEM259,12.411819,-0.23369326
SGCB,3.544397,10.684458
SBNO2,7.1664395,-5.811291
MYLK,7.8809648,-8.459869
RB1CC1,3.9908066,-3.4702842
TBCK,-0.65693235,5.413842
EXOC5,-2.6445475,-3.7053952
SECISBP2L,2.7611408,11.010655
BNC2,3.9144661,-6.3392296
WAS,-1.5050908,8.426022
UQCR11,4.8145785,5.1259995
MAPKAPK2,-1.8140225,-1.2802523
ZNF598,-6.525752,0.24282105
PSME4,6.490991,-3.734688
ALG3,15.202006,3.3093429
ZBTB7C,-0.23010072,-3.81375
NDUFA13,4.0378203,4.7801924
WDR55,-7.38191,1.3261579
MRC2,12.10824,1.8221627
IFRD2,15.652535,4.041824
KMT2D,-6.9034,-1.5235819
FZD1,3.560276,-5.7090316
TOMM40,0.67580396,3.135745
MRPL12,13.1809,2.723975
MATN2,3.0480072,-4.5520434
ZNF248,-1.2753636,4.3379426
VAV1,1.3933226,-7.8378506
PRPF40A,1.2832887,-0.1514385
ABCC5,11.3220825,-4.2917194
CLCN2,0.8685556,7.375839
RAN,9.758417,7.0660906
PEX5L,-1.2920328,9.530517
NAA10,13.21527,3.0241323
GPM6B,4.205548,9.287369
E2F4,15.809693,4.372277
ATAD1,1.2824924,-1.3342307
DDX21,6.7877827,-4.2459297
RGS9,1.0942998,10.2851715
KMT2B,-6.4018226,-0.07528109
CMTM5,1.2308989,10.186684
MEOX2,4.349855,-6.4827356
AASS,-0.5516448,1.7457949
DNAJB14,2.1258764,1.7219803
DHX38,-6.676522,-1.0325377
NAA50,6.450267,-2.9192464
RICTOR,2.4826279,1.9509269
GNL3,-2.3990765,-0.2977718
SLC7A6,-3.0686262,1.8717251
PDZRN4,-0.47586814,-3.6249218
ECM2,8.296453,2.2010217
PSMB3,7.315907,0.26593167
SELENOT,-5.849936,-8.249454
DOCK2,11.565754,7.3019037
SNRPB,-9.889705,-0.5974775
FBLN1,8.874693,2.934272
CNTN1,1.3320658,-3.148348
NAMPT,7.666523,-5.500459
NUDT16,-0.64823604,1.731702
JRKL,-1.5097736,4.141072
HNRNPAB,-1.789786,-1.6088012
ANAPC2,12.915583,-0.053069867
TOMM5,16.790098,2.0576124
ACADL,-8.880122,8.937782
LMO7,-3.279467,0.17405401
SEC14L5,2.464449,13.908271
ABTB1,9.481921,6.3488846
ABCE1,6.4697123,-3.147043
ATP6V0A2,-5.6158185,4.36097
C1QTNF2,4.20312,-5.220895
GCDH,6.081881,2.9918208
SEMA4F,-5.835222,5.0061226
MT1X,3.714236,-0.15046084
SPI1,-1.6789412,8.302356
SMARCD2,-8.930972,9.0117445
GLT8D2,3.7433949,-4.4032497
HMGA1,10.609752,6.1167336
NOTCH3,8.2320175,-9.381043
FOXO3,-5.015057,6.3774657
CDC73,-2.9811292,-4.1323667
CADM1,1.1699406,-2.3702478
STAT3,7.1123185,-5.2137246
GPX3,5.6934676,1.4332956
SCRN1,2.8849568,10.835933
KLF5,2.5174737,-5.6128798
SLC25A39,12.5237465,2.7351
CCT5,17.611984,1.2668904
NLGN3,-7.1591964,4.999832
NDRG2,-1.7660978,3.5761042
RPL13A,-8.525041,-4.5588274
ZNF148,-2.4688792,-8.692854
ATG4C,-0.59271324,6.1306105
SGSM3,9.39499,0.29269832
GAL3ST4,-8.838904,4.3863697
OSMR,7.4555807,-5.7237163
LRRC59,9.924952,7.4036083
OPA1,1.4992608,-0.49049452
EFTUD2,-7.198115,1.2139571
SERINC1,5.469364,8.212628
TTLL3,-2.32716,-3.9562325
ZNF432,-5.669562,4.620687
BCL3,3.4078557,-10.304321
PSME3,-3.5509717,-2.500799
QKI,4.489544,9.283147
CLDN19,-2.0073419,9.552407
MYOZ3,4.2351465,-5.4253016
RSBN1,3.8142395,-3.555166
CCDC90B,-0.45954412,6.384827
SLC25A11,-2.8070855,6.220491
UBL5,3.9866052,5.080975
SNRPD1,7.629413,-0.2183985
PTPRU,2.2300658,13.635359
CLASRP,12.205386,-0.131776
ZZEF1,-6.7864804,-0.91005576
GAB1,2.9128084,-4.706214
PECAM1,13.283252,-5.0502467
HSPD1,17.69005,1.6114632
MAN1C1,12.244137,1.8811053
ZNF691,11.175534,-5.1771936
NAT9,15.767478,5.4008293
CCT3,17.491829,1.3740888
MARCH6,3.8359692,2.2822688
SIRT1,3.9399488,-3.0598903
SLC22A3,2.7145083,-5.713186
LMBRD2,-2.6551442,-7.443026
NR3C1,4.888463,0.09584186
TSC22D3,-1.4946916,1.684145
PLCB3,8.6026535,3.4925053
ANKLE2,-5.7337427,4.2223125
FOXS1,5.396349,0.6188111
KANK4,-1.0081106,9.784916
C1QBP,7.530393,0.04934234
ZFAND5,-1.7518716,1.6505952
SLC22A17,4.62879,10.677377
SSNA1,12.478317,2.819976
FLRT2,4.383769,-5.987946
FAM214A,9.88781,-3.931687
DLEU7,4.802838,-5.559146
MRPL52,5.1065025,5.7509356
ZKSCAN8,4.080153,2.3910367
LAMTOR4,-9.713559,2.9445293
TYROBP,-1.300879,8.000186
PLIN1,-8.644132,0.99640775
RELN,3.4522746,6.5494547
GMPPA,12.232841,2.8784885
MIB2,-2.1340232,8.012707
SHOC2,0.36143366,-1.5468733
SUPV3L1,-5.6395445,4.3661723
DCLK3,-1.6001651,9.2502
WDR74,-9.68818,-0.38573778
CXXC1,-0.31116128,7.7713137
MME,-2.135117,4.5084434
PUS1,15.478099,5.0739064
PRRG3,-0.20303528,9.738458
DPAGT1,-2.8243756,5.386231
GPN3,-10.712846,-5.2331815
ALDH6A1,-1.0743159,11.727001
FOXO1,-3.459345,11.786907
TCF4,-7.81458,7.4651937
ZNF471,-0.31946182,5.396958
PSMA2,-6.5309935,-6.046731
GARS,9.83789,6.8356214
PCNP,7.74052,-3.5961177
ZHX1,-3.1555598,-4.358678
ABHD17A,-5.5234027,-4.9377284
GUCY1A3,8.13628,-9.084742
METTL1,16.138859,3.384635
PAPD4,1.5824332,0.7537923
CCT7,17.835918,0.90102875
ETNK2,-8.715816,9.040335
BCL2,-3.7622316,11.564517
CNN1,8.239026,-7.8795366
GPNMB,9.019773,2.4478874
RC3H2,3.6706617,-3.4985738
UQCRQ,4.922885,5.5835795
TAB2,1.1888719,-9.288535
MIB1,-2.4148054,-8.48927
BCLAF1,1.3864139,-0.4001794
CYHR1,-3.0636318,8.159019
ZNF800,1.0790613,-0.13801351
UBR3,2.6980014,1.9161468
GSPT1,-3.5380917,-1.0074116
PLN,7.754465,-8.149337
SLC52A2,13.282328,2.5632284
INF2,-0.6628023,10.41129
MPZ,-2.2960389,-3.2373934
PPP2R2B,0.9515663,-2.1922684
YARS,9.879818,6.866633
MTDH,1.2731524,-1.472402
PRDX6,-10.690517,-5.2139525
EIF3J,8.874833,12.6438875
RBM27,0.64129037,-1.5562379
SNHG11,-1.4043753,-13.729275
HDAC11,-6.9928575,4.623458
ABCB8,-2.0375998,8.229381
LDHD,-1.8604234,3.6678097
TRAPPC5,-4.851117,-4.9533796
RFTN2,6.68076,9.220096
UGT8,3.7277153,11.05954
PIN1,4.4160185,7.1263757
EBF1,7.658104,2.2396512
HSPA13,-5.5334697,-8.050598
NF1,4.4074016,12.271272
ZEB2,1.8950552,16.28772
KPNA4,0.19044667,-1.4348148
EIF2S1,-3.9215212,-1.169294
MRTO4,0.9589659,3.5083423
TBC1D17,7.286483,-1.042426
TACC1,1.2088891,-12.848537
DRAXIN,2.1107543,-4.169597
ASPN,8.668746,2.2790139
CAMK2B,1.009529,7.8561845
KLHL24,6.256034,6.585486
SIRT2,-2.8948803,10.995191
ASH1L,1.1588637,-9.882284
IL4R,7.389025,-6.2394347
YME1L1,2.455628,-1.4094895
PLCB2,1.6686316,-7.878222
PSMA7,7.3003206,0.5284591
ANAPC11,4.905098,4.9421644
GFRA3,3.2344992,-8.312431
DHX37,-6.593246,0.5826424
SRSF11,3.0045462,-11.817515
MYO1F,-1.2809381,8.514604
ITGB2,-8.703859,-3.3516018
HLTF,-5.7454524,8.856786
NOL6,-6.9435754,0.96923244
UBA7,-2.820317,-3.4826963
QARS,13.168058,-0.2874303
FURIN,-1.9391894,-1.4407583
PLS3,7.4601345,-8.639836
ARF1,0.13022652,3.5848074
ARHGDIA,0.2096941,3.521588
MVB12B,-0.7027607,10.181529
RPL11,-3.4134226,5.0103955
FUK,-2.8600762,8.376828
MYH11,7.9985347,-8.005652
INTS7,4.2306995,2.7529814
PCYT2,6.0750756,3.0110962
NAA15,8.8497095,12.66682
ABAT,-1.0542012,11.694282
FBXO44,-2.329513,-3.9401581
CTDSPL2,-2.36249,-8.749968
ADRM1,-9.810192,-0.5208035
TIMM13,12.732234,2.7067163
CCDC80,10.395565,2.1506352
TSPYL2,-0.7588118,1.9298991
CALCOCO2,5.570046,2.6289246
ITGA8,7.789875,-8.185354
TOMM20,-4.794983,-10.211141
LRRN2,3.085555,-5.935458
LLGL1,-0.40790418,-5.609503
OXR1,3.6880565,10.748006
PPIL1,-8.884973,-6.908227
DUS1L,-7.518211,1.4029613
FMNL3,10.174189,-8.872089
RTKN,10.168028,-8.86173
PJA2,5.507395,8.116388
HSP90AA1,18.38372,2.4462802
FBXL3,4.0554624,-3.5289838
PIK3R5,4.5998287,-0.7244852
PIK3R2,-0.32950315,-5.5551434
DHX36,0.856077,-0.9052325
SPR,-2.8133006,5.5430603
SSPN,3.0228794,-4.4692764
LTV1,-3.8803709,-2.528881
KLHL9,-1.8453116,3.9902997
GAS7,3.6879826,8.944249
TPGS1,-4.919246,-4.9713736
GPATCH4,11.46071,4.615334
SLC35F1,1.6234989,-2.5901742
GALNT15,5.8842816,1.5887395
CCDC61,10.488068,8.835119
PSMB4,-0.026316114,-6.699746
BCCIP,-8.628368,-6.5484343
ELL2,3.2318418,-0.34813994
LIPE,-8.5876,0.8957987
SNAPC3,0.17622721,5.2112675
SEC24C,-6.9552293,-1.5742397
KRT19,-0.36688316,-3.7714028
ZBTB12,8.092659,4.9380274
PLIN4,-8.712759,1.0544132
HSPE1,17.49839,1.6518676
RAB2A,7.6658025,-3.1777563
NR3C2,3.2487426,0.40189388
ILF3,-1.9435622,-1.4095774
SELENOF,-6.013119,-8.533455
BTF3L4,6.3600054,-2.7708666
LDB1,-11.000088,3.7298853
CPQ,2.9896939,-4.363871
FAM96B,4.0287795,4.9421244
MAGI2,2.547705,10.91167
GAMT,-1.4555258,13.599303
MAOA,-3.5456917,-5.457156
