node,x,y
MSRB3,9.992231,6.0520434
STAG2,1.8798219,-3.8409476
CREM,8.292304,1.7139086
SIGLEC11,6.044253,12.2806635
ZNF610,3.8691082,-0.015046618
MCAM,6.5118423,-3.7494159
CD22,6.155576,13.00371
ESAM,-0.39543504,-1.804508
FAM129A,6.626347,-3.8293128
ETF1,0.36815637,4.743655
MKS1,-1.5044441,3.0966918
TRABD2A,4.136598,10.054556
ACTA2,3.9686363,3.6946163
CDH5,-1.0286114,-2.1522748
NDEL1,7.981183,0.7267223
NEURL4,10.891656,2.419384
CASQ2,4.722884,-1.985701
NOTCH3,6.2737784,-3.389388
TSPAN5,3.8273292,10.805385
SRM,2.439896,5.2312064
SYF2,1.2319658,7.23391
SLC27A6,2.491088,9.675159
E2F4,2.728505,1.9969347
HMCN1,1.7462388,11.809477
MEX3A,2.7683365,10.007173
ABLIM3,4.963483,-8.897515
FLNA,15.55587,0.14785747
GGA1,11.6258135,1.3500391
TXLNB,6.626865,11.042905
PTK7,4.419541,10.030563
ITGB2,-1.8549011,12.770977
ACTR2,3.1338556,-2.3112493
PSME3,-0.88792723,1.2418692
FAXDC2,6.7859383,-10.70345
WDR6,11.450312,-1.9849962
CHD1,16.643187,3.4093275
ASTE1,5.2247286,6.332442
PFN1,-2.152905,7.567944
KCNN1,1.5324062,10.694581
PTGER2,1.3670664,11.223032
TWF1,1.109906,-6.5677752
RPL11,12.306641,8.269827
PTGES3,16.08795,-0.93284637
LPP,2.4200358,3.7251768
ZNF285,8.665025,-8.598735
ECHDC2,12.022108,-1.0703344
NCKAP1L,-1.580466,12.794495
TIGD5,7.494468,3.9897556
PDLIM1,0.7350735,-10.28882
ELOB,-2.4954627,6.1062665
CXXC1,11.347038,2.0228689
PHKA2,11.626836,-0.8681806
FLI1,-1.0480675,-2.1312323
SHROOM2,6.3426237,11.435328
PCNX3,2.8489249,2.1763804
ATP8B1,5.7660794,-4.218298
HAUS5,11.920209,-1.6026888
SLAIN2,6.4624043,-1.7267852
EXD2,-2.6079545,-2.271652
RAB3B,4.5873537,11.0259905
PAK2,-2.419118,-5.6933994
KCNMB1,3.8099988,3.3291965
MBNL1,2.1678345,3.730037
AFF4,16.222132,3.3227868
DDX21,0.31296363,4.391112
RPS6KA4,2.3000689,2.1867125
ITGB1,9.971059,8.852017
CNN1,4.158749,3.6815002
CCDC191,-2.4706104,2.981882
ENTPD1,4.8025475,-6.2753944
HNRNPAB,-0.89605844,1.6367621
OSMR,5.7946296,2.6625817
STAT3,6.137624,2.8590941
CLIC4,2.306019,3.6819263
RHOT2,10.919239,0.25532472
VASP,15.50721,-0.03671061
BBS10,6.250838,5.2953305
IMPAD1,0.9660372,-6.8046823
PTCD2,6.8333087,4.864365
CAPZA2,2.8823206,-2.7354429
MTDH,-1.8878323,-6.038309
AOC3,6.3547225,-4.190846
SEZ6L2,1.0987626,11.363409
CACYBP,14.946889,-2.5729659
LRRC59,-0.93869644,1.1818876
ZNF225,6.0993557,0.8995195
PECAM1,3.6528847,-6.891192
STRAP,0.57069474,4.4047365
ZNF253,5.778387,0.85880417
RASSF5,3.5346467,13.981961
PLA2G4B,11.64231,-0.759445
SFXN2,-5.2430267,-1.7875441
DUS1L,9.510244,0.012875019
IPO13,2.5973222,2.1728287
FOXN3,1.7707605,-3.1935933
ECSCR,-0.09772826,-1.7291229
SOX4,1.8734435,9.610907
EDC4,10.028665,4.456862
RFNG,-5.891289,4.579128
LIMS2,6.40877,-4.5670624
NINL,10.954996,-2.21366
NIPBL,10.788004,-3.7818127
CCDC130,10.285061,0.2243168
WAC,13.583968,-0.08434878
LYRM9,9.217834,-7.309483
TEAD4,5.5994616,2.5070124
DSTN,2.833089,3.7141948
CAMLG,10.596875,7.986697
MYL9,4.419291,4.0806303
AKT3,1.7513205,-3.3449183
TENM4,4.735944,11.148731
ATL3,1.7446525,3.657661
CALU,7.363767,-4.7718563
ZNF599,5.9205194,6.0593624
CCT6A,4.960381,-12.197636
UQCRQ,-2.191732,6.361794
