node,x,y
DDX21,4.977492,6.591655
S100A11,12.181181,-2.4281085
HSF1,-4.677426,1.4532256
SLC39A1,7.795915,3.1521623
TRIM33,-1.9354949,10.38101
ARPC1B,13.429015,-3.5373218
STAT3,9.329244,4.862615
BFAR,-4.269626,-0.89297044
ACTR2,11.646995,-9.573824
AATF,-5.481693,3.3784435
TNFRSF1A,11.671878,-0.33405465
STAG2,-3.064851,6.9711614
LDHA,9.3946905,5.480276
KCMF1,-5.8954883,4.542665
HNRNPF,5.581015,1.0968523
UBR2,-6.310463,9.094306
GNMT,-10.360967,-2.402356
SOD2,9.181789,1.8127656
CELF3,11.871397,8.9740505
EPB41L4B,7.071522,10.342817
HIF3A,-4.3687096,-8.924534
GNB2,-1.7961084,4.8190675
CDC34,-3.8172867,1.3699024
GNAO1,11.640078,9.239842
SEC63,1.5478402,-1.7656813
RELA,-2.06447,4.226378
SSR1,4.5315046,-9.7314825
CFL1,12.214186,-2.7532773
OSMR,9.529369,1.7339915
LANCL1,3.0143924,-14.337058
TBCK,-5.434422,11.865476
ITGB2,4.5782857,-4.129956
GABARAPL1,6.060247,9.699041
DCN,-4.0411787,-5.8082337
EIF3M,-2.162787,-3.9326525
TAGLN2,7.2122836,2.575676
NOA1,-4.14515,-1.3892562
IL15RA,9.392106,4.767244
RNF24,11.487009,1.0064222
NOB1,-3.537149,-1.7859434
XRN2,4.554878,1.326329
E2F4,3.5678809,-12.552636
RFNG,-1.1042556,0.58712846
NPM1,-2.4777849,-2.9451127
NOLC1,4.9001575,6.60785
PSMC4,4.3546543,-11.620859
RHOBTB3,4.6172743,9.586057
COL1A2,-0.7706055,-5.4014153
RHOT2,15.374778,7.358338
ANTXR1,-2.9856744,-6.227561
MSN,10.279795,-4.709392
EIF4A1,5.1242213,0.17554477
DDX54,-5.614223,1.7083434
MAD2L2,-2.2193713,3.5536156
CYBRD1,-3.5931942,-5.8115816
KCNH2,11.37724,9.135985
PLSCR1,9.270644,1.7892318
CLIC1,6.9081373,2.5002892
RUNX1,10.907107,-0.97928363
ZNF598,-7.200568,-0.6087363
EIF2B4,-6.886736,-0.7036459
ELL2,6.83057,10.171425
LAPTM5,2.3484044,-4.960517
SEC61A1,6.0552287,-6.6313963
EIF3B,-7.2120595,-0.40176484
LMAN1,-1.9691633,-11.140161
XRN1,-1.3771274,10.637579
RIOK3,-6.3398805,7.7992167
YBX3,9.212558,4.8794527
PA2G4,4.609903,-0.14006533
RAN,9.732524,6.0792675
DIAPH1,8.775795,6.023077
MRPL10,-5.912875,1.9268571
C1S,1.7440876,-6.3385177
LMNB2,3.1689298,-13.625407
SHARPIN,-0.8789708,0.020039082
ISLR,-1.5185306,-6.236157
PSMD1,4.7742176,-11.5075445
BIRC3,6.8488617,-2.638329
TYROBP,4.64132,-4.454656
LPIN3,-3.5196893,13.988336
SPI1,4.816709,-4.873644
IL4R,11.353543,1.1858652
PEX16,-9.760221,2.9711192
FNTA,-4.3306556,6.200039
ZEB2,2.1648126,-6.8616524
HNRNPAB,4.175546,-12.306619
EIF2S1,5.766381,7.3705173
TMEM106B,12.127647,-10.053162
HIF1A,9.5411005,1.0799603
EXOC5,13.936651,-7.203643
