node,x,y
OSMR,5.130445,11.166057
E2F4,-1.4113969,4.9194603
ITGB8,-1.7900071,14.210873
RUNDC3A,1.5252088,4.6698246
SEC22B,4.336845,4.759244
ECM2,4.9806433,-3.1560328
CELF3,-1.3712041,10.170487
QKI,2.9965613,-5.30876
SLC9A6,-8.822648,-0.6280437
IL4R,5.215409,10.997896
UNC79,0.99361426,6.022467
LAMB2,1.428464,-3.9347723
ERBB2,1.5721059,-0.9163621
GNL2,12.970471,3.6466632
DDX21,-7.2894583,7.7684226
SSTR3,0.0064933635,17.304104
CSNK1G2,7.1679034,5.138158
VIM,1.1068306,-2.0951571
SGTA,6.982256,3.9680412
FBXL7,1.7632585,-2.133366
NCKAP1L,-3.813598,12.251343
SBNO2,4.288235,10.928653
PMPCA,7.095546,3.338527
ISLR,1.3177311,-4.418592
KAT2B,-1.8513259,14.0971575
APOBEC3C,0.76710105,-4.2910595
WWTR1,-2.1463592,2.0665724
KIRREL,0.48005998,-1.6652571
HDAC6,1.6150116,8.073541
RPL19,-5.0805383,14.7323
STXBP5L,-4.3291717,5.005015
NPDC1,-4.594231,19.776176
ACTR2,9.370625,12.798456
TAGLN2,-1.6699804,1.724466
PTRF,5.5303235,-4.6730328
NDUFA13,-3.4302769,16.548866
ADRM1,-1.1133381,5.557552
TNFRSF1A,5.314897,10.3803
SEC13,4.256664,3.2417045
AP1M2,0.39327484,9.719511
OLFML1,3.8479764,-3.636287
NFIX,-1.1830193,13.248475
LHFPL4,1.4876462,3.142798
PTPN11,-10.650035,6.568832
SLC39A1,5.580117,10.183748
SLC44A1,2.891904,-5.4189477
SPATS2L,-1.1071723,14.204582
SRPRA,11.725078,8.334306
CLIC4,6.394318,-5.6927166
ATP8A2,0.3118085,6.6866813
TMED7,8.065478,-1.9151436
PAN2,1.5928499,7.1843805
TMEM47,-1.4457382,13.544895
ATCAY,-3.982026,5.7562084
FNTA,15.536875,8.646264
CDC27,3.7067263,1.8802681
SEC16A,7.070182,2.2352204
CTNNB1,9.371183,5.221333
FEZ2,2.6139157,-5.4196234
DNM1,1.0288604,3.908953
SLIT2,0.9548937,-1.299119
FAM131A,-4.360617,6.6157913
BCR,2.565622,15.108919
MYL9,6.0955358,-4.4834967
PES1,4.9998465,7.289094
JOSD1,-4.4656477,7.857539
TMF1,4.607124,5.8158517
CSDE1,-7.356851,2.061798
RAB34,4.2061734,-6.6133947
STAT6,-4.236201,-2.008181
EFTUD2,5.292282,7.3615236
AP3D1,3.0057447,-1.0684022
EIF2S1,-7.5252123,7.050213
RAX2,-0.13519071,17.634943
NELL2,-1.9529896,11.078235
PTGES2,7.1124763,0.6552099
TOMM40,-1.2161285,5.3163524
GLTSCR1L,13.206295,3.757654
ABCC8,2.7653003,6.4100523
DNAJC6,-4.817037,4.3102603
MYT1L,-1.7870386,10.415027
SCN3B,-2.025953,10.81477
OMA1,-10.490547,11.045783
OGN,-1.7004943,-5.9700294
IPO7,-10.442155,6.736983
PRRG2,0.3637282,9.955715
YARS,6.3586416,5.995958
PITX1,9.141485,9.922943
LRRC8A,-2.7985592,3.718315
TRPC4AP,7.492068,2.3249705
PARD6A,-4.458459,6.7196717
OPA1,4.106511,1.2772981
CRTAP,1.9984819,-3.4479687
ZNF331,-4.3482227,8.062738
CRHR1,-2.178413,-0.01688761
JAK1,15.585695,8.810528
EDC4,4.864351,-0.37048396
GFPT1,7.4317117,-1.5709091
SEC61A1,11.883993,8.247657
WLS,1.9876437,-1.6090463
JTB,4.632858,2.5176404
FNDC10,-0.24131559,17.477762
DIS3,3.1745098,1.9560869
CCNC,7.307917,13.958965
BSN,1.3085442,2.7809908
NHS,0.70898855,-1.4987808
KCNH2,-0.8416421,10.587196
TBX18,-1.8651646,-5.969533
GTF3C4,13.869258,6.121657
CHST11,-9.400384,-0.37143394
BTBD1,-11.037787,6.432237
PSMD14,-6.305601,12.210237
ZDHHC9,-2.665592,3.7853887
TBX19,1.1270666,11.329811
FOXC2,-2.1924698,-6.255603
MGST1,9.457598,5.2574806
HEXDC,1.7045468,8.753305
CSNK1D,12.166521,8.979271
RAB18,8.195872,-1.8397942
PPP1R18,-2.3491924,1.9269736
TNFSF12,1.3251519,-4.3360305
ST8SIA3,-4.008924,5.4607434
TMBIM6,3.7850904,-2.0347795
PSMD12,9.110257,15.927637
ZNF148,4.573386,13.479637
SRSF11,3.3409095,1.2465488
ITGB2,-3.7081707,12.236799
PARD3B,2.1762269,-3.0778573
MAPK4,-9.338515,-0.29127944
ESYT1,3.8344996,-7.0821066
SYN1,1.4242002,3.4488301
ZYX,-2.4567487,1.7701297
RIMS2,-4.467383,4.7815323
RFX4,0.5144205,13.779925
BICDL1,1.5504842,5.001617
GHRHR,15.542011,5.4613013
VWA7,2.9320264,8.078021
ESAM,-8.080123,-5.9379234
PRPF40A,3.5170388,14.727641
UNC5A,2.2364748,15.429526
ANXA4,2.588021,-1.3063909
RARG,1.1147711,-4.5288672
CAMK2B,-2.4446821,0.5286822
CCNH,13.771692,2.6777399
SH3GL1,7.045051,4.3434315
CELSR3,1.7381808,4.7495747
FOSL1,-7.6041713,13.072359
PA2G4,3.6483605,9.986246
ARHGDIA,-1.3704569,5.9331946
KSR2,-1.6774682,10.181662
MOB1A,2.4947863,-7.1710577
ROGDI,-4.9165974,-0.16509995
HSF1,7.265964,6.889413
FOXK2,12.210397,9.330926
ZMPSTE24,8.920387,12.118978
CCDC102A,1.1046466,-4.4055977
FOXC1,-1.7914081,-5.868383
SLC44A4,0.507074,10.489797
AHSA1,-8.211977,5.8797517
TYROBP,-4.470953,2.0996573
CAPRIN1,-7.02383,2.0467472
CACNG2,-2.5335295,0.5731988
RAB21,8.223149,14.055497
STK40,7.1540656,6.6655226
RGL2,-8.848858,3.0227249
SEMA3C,-1.6582962,-5.9523697
AMOT,0.5683253,13.788171
SERPINA3,0.20104587,2.0973773
TIMM17B,-3.3399022,16.660978
MAFF,13.742822,8.502152
RBM10,-4.7461905,19.839828
SGSM3,4.6772876,2.5096781
PRUNE2,0.34889483,6.651843
SYNE4,9.171107,9.912524
SLC25A44,11.730098,3.5037894
RINT1,2.9283733,1.6058946
NAMPT,3.782334,11.336877
GABRB3,-4.75505,4.4001093
PGM3,3.7907631,3.9425347
TMEM130,-3.8774898,14.463357
MAP3K20,3.4649994,-2.28836
NIFK,-6.6425595,11.443457
KIAA1324,6.1530805,14.3473
YIPF2,-4.994458,-3.5020092
ALDH18A1,3.9610999,3.6141322
U2AF2,7.114692,9.224127
SPI1,-4.8655853,1.9845966
GPR4,3.619998,11.446328
ZNF2,14.146423,5.5236363
SYDE1,-6.1811323,-0.34423456
ATP5B,8.286857,0.4623359
NACC1,-0.700716,4.6468167
PPP4C,-1.222703,5.3024445
PRKAA1,-6.0202847,-5.9116235
RPL11,-5.004137,14.734616
ITPKC,4.0977917,10.780725
TTLL9,-1.2055669,11.980764
FCGRT,0.53072745,-4.1572556
KIF5A,-8.683345,9.732014
CLN3,-10.821954,4.079453
EXOC5,3.5504668,18.119791
ACTA2,6.2377305,-4.410661
CHPF2,12.081395,7.904089
CADPS,-3.620358,9.977716
GPRIN1,1.3783619,3.0241652
KIAA0319,-2.0364263,11.018914
FGFR3,-1.7978009,-0.33906
TRIM33,3.8557744,1.3159695
TMC2,-3.47784,9.813483
SHROOM2,14.49023,12.711842
FOXD2,-1.9675022,-5.7775254
