node,x,y
DDX21,4.606675,-6.9923363
SEPT7,11.111114,7.3081017
CYB561,4.938891,6.447943
LRRC59,10.778793,12.19732
CREB3L4,6.0121007,8.601116
FERMT2,0.6601654,0.6789916
ETF1,9.236741,-6.6611094
FLNA,0.022689713,-1.9928128
TGFB1I1,0.57448095,-0.2627751
CCT6A,8.617304,-5.1574984
IPO4,8.719027,11.49978
MAP3K20,1.0273563,1.6671003
EIF4A1,3.9208426,-7.4352574
SBNO2,-0.71505564,-8.180029
VCL,0.61681837,-0.079846926
CORO1B,4.424646,5.948165
KANK2,5.814903,0.2096522
SLC39A14,12.861771,-4.7185698
MCMBP,15.485056,-1.0054157
DNAJB14,12.2815075,5.9153223
OSMR,13.980312,-4.522225
PPAN,8.278316,10.917322
PPP1R12A,0.2838704,0.84135103
ARFGEF3,4.1408615,6.587109
MAPKAPK2,2.2305465,15.382343
SLC30A4,4.056171,2.22104
CLIC4,5.6766315,-4.875931
NEK7,11.954686,6.055774
GATAD2A,1.911727,14.865902
R3HDM4,4.760344,-8.128088
STRAP,8.659598,-6.617943
SPI1,7.184789,14.645016
RAB25,14.289399,2.3558352
GSPT1,8.278014,13.69407
PPP1CA,3.7077785,5.8041787
TRIM29,13.321483,-2.7868993
SGCB,11.00708,7.243711
RBMS1,5.3699026,-5.471777
ATAD3A,7.3962617,6.105888
COPG1,9.532661,8.596601
SLC45A3,6.226162,4.889038
WDR43,-1.2716143,-0.4609336
FLI1,10.59478,15.577424
SPDEF,12.7326565,1.8204358
PPP1R18,5.194321,-4.812629
PLXND1,4.2109137,11.227985
EPB41L2,-0.34420902,6.3785644
DPM2,2.4772983,5.8875976
ESAM,4.4621,11.883959
PNO1,8.73952,-6.107831
MPDU1,3.5652528,5.896478
CCT2,9.073534,-4.9546137
PITPNB,6.31968,-8.936332
TNFSF12,8.3613825,2.2870338
SLC39A6,8.505941,8.623364
ATP2C1,8.882963,8.278413
MYO1F,7.7800694,14.944448
VPS37A,8.061924,-12.969769
SELENOO,4.2427883,-0.5034762
NDN,8.049266,1.9081584
COQ4,0.5535325,3.8865178
GSTM5,6.642456,0.86213344
TPM1,0.3743367,-1.6595576
ABCE1,3.6058545,-4.7349153
SLMAP,-0.7609273,1.2593352
MSN,5.2043853,-4.783006
GLT8D2,6.6867657,0.7965395
CDH5,4.7225313,12.231946
RAN,8.916777,-4.515939
ZBTB47,9.663732,0.9415285
CSNK1G2,4.7826676,-9.322818
TMEM254,5.148102,2.5603538
NANS,16.160719,6.415785
RDH11,4.419517,2.5788286
TLN1,4.587401,-3.4611611
PPP1R16A,18.333334,-1.4675007
ABCF2,2.2386217,14.671785
TUBB6,5.147015,-4.104224
SYT7,6.5345163,8.28238
IFITM3,7.6830835,-3.0635715
STAT3,-1.6594633,3.182572
MSRB3,0.51002973,-1.0645798
HM13,11.550549,11.870704
ELMO3,2.554895,7.8703175
IFI16,3.377465,1.189092
HID1,5.624316,7.578606
RBM47,16.553528,2.315034
NIPAL3,4.268625,1.9919623
RAPGEFL1,12.178681,16.943365
ATP6V1G1,16.191202,6.1553874
CDC42BPG,7.4703355,-1.1362439
CARF,11.691315,13.397159
CBFA2T2,3.750338,1.9034303
DSTN,1.5632136,-2.2990298
ANAPC2,4.285217,-0.26631773
SGTA,5.8909945,3.635321
ATP5J2,12.746808,8.929885
RHOT2,3.9625528,-0.5878494
TAF1D,11.038031,-5.14214
DCXR,5.5577426,9.206877
ANO7,6.3517427,5.027219
AP1B1,4.228147,5.8170905
UBL5,4.4396687,9.368879
L1CAM,5.9565034,2.3535824
MYDGF,11.462835,11.47807
DDR2,10.297025,1.1849743
PALLD,0.33871505,0.9227366
GNL3,8.227365,13.670857
CBX7,8.521648,4.843106
SEC61A1,10.917762,11.2594595
ECSCR,4.5196333,12.494126
P4HB,9.834588,8.87339
KPNA4,7.962819,-12.824896
RPS6KB2,-2.0796072,5.342535
SERPING1,1.2735444,10.06171
TFAP2C,13.024398,-2.5760653
NCL,-1.0432477,-0.3622836
ACTN1,5.1017685,-3.9804606
ACTR2,7.55997,-10.562242
C1R,17.371696,4.5532656
DENND5A,5.809809,-5.200845
YKT6,10.836218,10.932716
RASSF7,2.5214274,7.9038568
SRPRA,10.555908,11.896575
DOPEY2,3.8935287,6.6292806
PLCH2,7.4890947,-1.2764218
PPRC1,2.4221804,14.681926
GJB3,15.069454,-3.508531
CSDE1,1.6531262,1.9832374
SPINT1,1.9381047,7.704793
MAP7D3,10.002722,-0.44290724
EIF5A,3.5365853,-7.6057186
SSH3,6.6935287,-1.7086053
CD3E,12.7976,10.041295
IPO7,7.64566,-12.598455
SH3GLB1,15.329026,-0.7976418
PTCD2,-2.200161,-3.5870295
AP1G2,14.518521,13.066875
CXCL17,18.36924,9.823991
SLC52A1,6.672994,-0.3385742
AFF4,9.456886,-6.627703
ADGRF1,18.38597,9.604296
CNN1,0.011848699,-3.2167442
FYTTD1,8.020653,-12.819228
ABAT,5.1755753,2.505215
PHC2,12.48209,-4.505294
SURF4,10.777198,11.817283
MBNL1,11.21551,7.9469666
NT5DC1,5.1814837,2.5951846
GLTSCR1L,4.542501,-8.588864
TMPRSS4,18.331741,9.907704
TOMM40,7.299512,5.9437633
CNPY4,7.178059,0.56830543
LAPTM5,8.008254,14.550864
SULT2B1,12.728019,1.4927349
ADGRL4,4.684919,12.354914
FAT4,8.173232,3.104751
HOXB13,12.717323,1.7122403
RASAL3,13.419161,9.908164
COL6A1,9.00056,3.055326
NME3,14.130542,0.79512376
FRMD8,1.5094876,14.550226
KIAA1614,8.598051,2.7710385
COPE,14.414142,11.619967
NPM1,-4.681369,0.15651168
ELOC,-3.080071,2.0797224
SSPN,7.1625385,1.3154467
C1S,17.373499,4.56139
RSF1,-1.5751206,11.931468
SEC23A,0.7173452,3.1778927
ARHGEF6,-0.13687311,6.1193547
PLAUR,6.1927385,-2.761579
MYCT1,10.265641,15.851005
PNPLA8,9.103199,-6.7465634
NDUFA2,4.287288,8.760246
TMEM141,-0.7860676,10.331544
PLEKHB2,16.23919,6.3313947
EPHX2,5.1878104,2.375898
EIF2B4,-2.3931403,5.3885555
SRPRB,11.332023,12.026432
DGCR6L,13.9621315,0.93776214
ZYX,-2.4937925,-2.330702
SLC39A7,9.793572,8.798034
SERPINB1,3.4286058,1.36678
CD93,4.5303097,12.57931
MYH11,0.5629787,-3.7840457
KIAA1324,1.9948508,-11.744257
WAS,7.5473213,14.844959
SGSM3,5.3556914,7.0859756
NYNRIN,7.4948325,2.7198744
MYLK,0.6125952,-3.9595726
DDX49,12.709148,4.9599466
TAOK1,7.1669445,13.277805
TTC39A,16.500755,2.3272939
UBQLN1,8.223731,-6.3590083
PLA2G6,13.043005,-12.64519
POMP,-3.004326,2.107348
MAN1B1,14.05007,0.9830104
DNASE1,-0.1302329,16.654776
TMED2,12.449794,13.181956
PCGF5,12.251688,6.1772175
ARIH1,9.48127,-6.580219
SLC8A1,0.68752384,-4.1201077
ITCH,9.777945,-6.370066
E2F4,16.10731,11.135761
TIMM13,3.395511,5.8172765
GFRA1,10.5145855,1.7360054
COL6A2,9.159309,2.9952357
CTDSPL2,-0.3602239,12.341531
FAM110C,15.272463,-3.1019483
TMED9,11.26333,10.95155
RICTOR,-0.4495488,12.203074
ZKSCAN4,-2.1240695,-3.5336938
EPN3,0.57815576,9.328327
UGCG,13.63492,-5.198864
CCT5,9.286133,-4.95736
TMEM33,12.39608,13.338943
RUSC2,9.158294,0.6950442
UBE2N,10.062763,12.914035
CCNC,16.400543,6.268381
SYNPO2,0.5357,-1.2416039
PCNX3,16.378084,11.440233
EPHA3,1.3862484,-5.9984713
SLC44A4,-3.0869153,1.9833214
DUOX1,14.410381,-3.9235122
NDUFA13,5.2427917,9.374254
SSU72,-2.435798,5.435469
TRPC1,5.6629076,0.11352512
TYROBP,7.609996,14.37047
SORBS1,0.7322945,-1.0638678
LRTOMT,-0.17502236,16.700344
SYDE1,8.95092,0.48546386
EXOC5,8.291809,-13.1737995
KIAA1522,0.79490435,9.569988
PKD2,10.491847,0.18247545
SIRT5,12.235024,10.550695
TRAF4,1.2749188,7.4264183
VSTM4,7.9290166,2.8853462
HAT1,7.793924,-7.828678
IRF1,13.669471,-6.0000243
FAT2,7.102179,-1.4887446
PDLIM7,-0.6259485,-2.162597
PDGFRB,4.1142893,11.165677
SELENOS,10.792263,12.013573
FXYD6,8.163346,2.7562325
ELL,12.560771,-4.5601315
TMEM245,11.921187,3.8315308
ANO6,0.11962789,0.7187455
ZEB1,0.8692931,1.6132746
KCNH2,19.662823,0.05116875
CDC42BPA,12.134471,3.5598395
JAZF1,7.389387,1.4527051
SLC16A7,5.6210837,-5.173302
TMEM143,11.962877,10.953094
FAM83H,14.213921,2.5297863
RHPN2,2.0269084,-11.861419
UBE2D3,7.285661,-9.925418
PSMB3,3.0058634,-7.6243463
S100A14,15.078136,-3.6145074
ZNF225,12.798704,-1.0032251
YBX3,14.045955,-4.40269
ZMYND11,1.6011683,1.9434721
RABGGTB,11.035954,-5.1278996
ZNF598,8.058012,10.918094
CDV3,6.3792453,-9.091338
OSGEPL1,-2.161688,-3.5587227
ST6GALNAC6,-8.170816,1.544445
E4F1,4.20676,-0.36778408
TXNDC11,-2.1325061,5.596177
SDC1,14.346491,-4.1137486
GATA6,14.509248,8.303092
RPL32,-5.972738,-2.537661
IKZF1,14.592834,8.928269
DHX38,2.8873732,14.087822
NAALADL1,8.205786,1.9334097
ARHGEF25,2.1452458,-1.5403565
RPL5,-4.6541705,-0.42474324
EBF1,2.233261,2.4406536
TMEM200B,8.379247,4.6551976
TNFRSF1B,-0.10549706,-10.073999
PLEKHM2,12.217152,-4.3036237
YIPF1,16.173468,6.409342
PLEKHG4B,1.1904075,-10.51958
ZNF594,12.9924135,-0.7926138
TMEM79,5.326622,6.3519773
RAB2A,-4.57659,9.444368
OLFML1,6.537883,0.85426617
DDX18,-1.5526865,-0.42997974
TAB1,11.5491705,-10.295306
RAB21,10.416963,-6.6914525
ICA1,4.002671,4.615302
ITGB2,7.677198,14.5021105
SPEG,-0.7006954,-2.173244
GCAT,5.933613,8.999373
KMT2B,4.6806884,-10.208956
HS6ST2,7.5567784,3.7790627
SMTN,-0.21788815,-2.1474757
ZDHHC13,18.09573,9.804253
KCNH6,6.6085796,8.139567
ATG16L2,13.857651,10.144443
GJB5,14.956469,-3.5937817
PLSCR1,13.658792,-4.9085584
LRRC45,14.784177,-1.913008
NOLC1,7.743364,-7.3145695
SYNM,0.41786557,-3.405575
ROCK2,11.117642,8.33048
CMTM3,6.1141176,11.379314
CTIF,9.439128,0.9514063
ATRX,11.425856,5.717562
SPACA9,12.076855,-9.7998295
NOL3,13.6413355,1.1122246
DUS1L,4.038856,-0.592802
GALT,-0.6373689,-0.17295058
CFL1,2.6566958,-7.88493
PDE5A,0.6086128,-4.400668
PTPRC,14.493897,8.72747
ACTR3,7.428436,-12.435832
PSMC4,3.2106602,-7.567463
DMXL1,3.9566572,6.561481
GAS2L3,10.208502,-1.010597
MIB1,11.454128,5.7329097
