node,x,y
PKN1,3.8171277,8.448935
FERMT2,-0.1642482,-0.9043145
EPB41L2,1.1515851,-2.3220932
JUP,9.43737,-1.8420227
PCNP,6.828999,10.323991
PRRX1,1.0433855,-1.7728566
LAD1,10.077277,0.2852757
RAPGEFL1,3.893172,-4.3338256
GNAI1,-5.951059,-8.265218
RAB25,8.93966,-0.54731137
GSK3A,12.314998,0.42526424
SBF1,-7.6867104,5.6498094
DMKN,5.138478,1.070765
CAPZA2,6.716051,9.4007225
ANXA6,3.536567,9.001903
SPTBN2,4.2583265,-5.7654624
GNB2,12.084515,7.030716
VPS26A,0.41452843,7.772782
EVPL,4.2146583,-4.999358
DDX21,-3.7274687,4.2082124
PEAR1,3.4085555,5.666095
PDCD10,2.240739,7.849554
ZNF780B,-4.4412136,-3.7727132
RIOK3,-0.6788294,10.940867
MSRB3,-0.69518656,-1.0535034
ESAM,3.8107314,5.0000925
EXOC5,5.1799316,11.290049
SBSN,7.3228273,1.0532289
FAM200A,-3.0038385,-4.48164
TNS2,-4.8325653,9.842867
CDH5,3.8505223,4.9925127
AKT3,-4.330137,9.906861
KIAA1324,-0.43055716,-9.780247
RBMS3,0.24121219,-0.9898256
PCNX3,-8.016146,8.209965
TCEA1,5.6398044,11.232485
GLT8D2,0.119476534,-3.1923184
NDUFA13,3.7303019,16.64771
CCDC90B,7.2778244,6.16218
OSBPL2,-2.9065163,-0.2920326
PA2G4,12.523521,3.2784526
MOB4,2.0913966,8.230892
CELF2,-3.459602,9.648019
CEP170B,-7.4982495,7.551216
ARHGEF17,3.291135,5.821554
RHOT2,-7.8486824,3.010958
PPP2CA,0.77027905,7.4035425
SART1,11.908965,6.292328
TRIM29,9.727713,-2.2003384
IL4R,8.310363,8.124891
FLI1,3.6565564,5.349132
EMILIN2,2.7090788,10.071228
FBLN2,-2.8580847,6.4472675
RHPN2,-0.9885217,-9.266844
FYTTD1,0.59760165,8.293875
COX7B,2.67525,15.401549
KMT2D,-7.818344,7.0196004
GAL3ST4,4.1865277,2.4145927
SCOC,6.511674,9.94885
TACC1,-4.1376576,9.780034
TRIM2,1.9384217,-8.177484
ALOXE3,6.370161,2.4128265
RBM15B,-7.4588385,9.028078
TOP2A,14.082687,-3.9291568
LY6G5B,1.906497,10.2957945
POF1B,4.3995066,-1.8317409
PDZRN3,-6.8394356,-1.638283
