node,x,y
FERMT2,-0.58481145,3.1599517
JUP,0.122468464,4.2202945
EPB41L2,2.473548,4.891924
PKN1,2.5798285,7.399142
MSRB3,-1.153381,5.044818
EVPL,-3.4915917,4.116805
GSK3A,6.85282,-2.9484682
RAB25,-4.107992,5.805147
IL6ST,-1.6340576,2.3845205
ZEB2,2.3444796,4.134129
PCNP,5.5213113,-0.45076174
LAD1,-4.682627,6.3785796
CELF2,-0.6584319,0.38265857
CAPZA2,5.3699865,-0.5694811
ARL8B,1.4094878,15.497585
GIPC1,-0.4139772,9.133842
MOB4,6.1261125,-0.18000141
BNIPL,-3.5811608,3.9673285
FGFR1,6.3212895,13.942488
RB1CC1,-10.638899,2.194147
RHPN2,-4.850077,13.121883
ZNF780B,11.249303,6.4603844
PPFIA3,-3.4999633,4.6822686
ANXA6,6.209269,13.648986
PDCD10,-1.089204,-4.2755904
DMKN,5.707538,10.0794
TM9SF3,8.184489,-4.3820343
SERPING1,-0.18785007,-0.18130997
PRRX1,2.190339,4.750211
ZDHHC20,-2.013784,13.5217495
EIF3J,9.8567095,0.3752781
MARC2,1.4681131,0.62728834
EPN1,-2.7161818,9.510419
ACER1,6.651433,10.056202
OTUB1,-5.0627875,10.593162
MRPL4,-5.6516323,10.635263
DNASE1,10.6320915,6.5555806
RHOT2,5.882151,-5.053278
SPTBN2,5.553849,2.7362888
SHOC2,4.506696,-1.946816
TMEM79,-3.6735032,5.008426
OXR1,7.414989,13.110397
COL1A2,-7.2090836,5.6231017
KIAA1324,-4.890309,12.983609
CTSZ,0.57903636,6.671151
MAOA,5.951276,16.811403
ASH1L,3.3024476,13.625658
CDH5,2.692736,2.6256347
RSL24D1,-0.9155913,-3.7175653
RAPGEFL1,-3.4993174,1.7187895
PEAR1,3.109988,2.5944097
ARF5,-4.2444077,10.305824
PPP2CA,1.4226121,15.367554
TBCK,11.966968,5.521899
ESAM,2.5580592,2.3239386
GJB5,4.712512,8.266149
ABCE1,9.252496,0.78585535
ANTXR2,-0.23607214,0.3093208
GNB2,-2.8487363,9.978068
VPS26A,9.88834,3.9416935
CCT2,9.014336,1.1260593
CCT6A,7.841732,3.1395457
DDX21,8.3648405,2.3007376
SYTL1,-3.5983913,3.5503016
SDR9C7,7.102787,9.559653
NDUFA13,3.229666,9.936455
RBMS3,-0.034755252,2.9729664
EIF3B,-5.7977977,11.140655
ATG2A,5.574866,6.948181
RNF11,5.98351,-0.35313553
CXCL12,2.919124,5.308931
RBPMS,3.4395587,1.5193424
PTPN13,7.145761,-8.676092
TNS2,3.793484,1.1132282
ATP6V0A4,-5.0211673,13.281019
FBLN2,-7.431087,4.768529
RIOK3,-10.461502,2.4944844
ZNF2,12.858875,2.8695745
SBF1,14.564266,2.3762841
DOCK2,0.46153203,5.3734546
TFPI,-0.41606113,0.09113479
UBTD1,5.6343594,-3.481311
LZTR1,-10.083993,6.1781836
UBQLN1,10.035485,3.4146159
XKRX,-4.449053,8.795303
TNS1,3.3225596,1.6897041
PPP4R2,4.946862,-1.5944436
NOL6,10.629533,14.507926
FBRS,5.667435,-3.3166392
ADGRA2,3.0768516,4.8710413
SRSF11,2.7882195,-6.6782537
IL4R,12.77405,-0.6247369
ARF1,8.103757,6.7453837
ALG3,-3.7929068,11.174551
ATP11B,1.718697,16.059214
KMT2B,14.420852,2.41574
AKT3,3.507008,0.7049659
C1S,-0.13017562,-0.40296155
TOP2A,-3.4177625,12.641215
NID1,-1.0513176,-0.0678828
TMEM173,-4.4331923,-4.6823716
VPS13D,5.8753686,1.7201155
SLC12A2,1.389284,1.7891251
KRT10,-6.7066417,14.577389
GLT8D2,2.4670246,5.3797774
RAB18,-10.2089615,2.7722342
HDGF,5.557079,4.700269
MCAM,-1.5873888,6.759631
TACC1,2.517658,-0.16912034
FCHO1,3.7446206,-3.0708847
YME1L1,9.771974,3.507696
PSMA2,2.0888712,-4.58014
PSMD8,6.5133476,19.080778
ARMT1,7.2339354,1.138762
DKC1,7.944737,3.0525074
DUS1L,5.831209,-4.9544554
LAMC1,-0.49812025,0.16799046
TMEM106B,7.3987207,12.771985
DSP,0.6547718,-1.1815585
TRIM29,0.68652874,-0.8210819
THOC7,-1.1207612,-4.3620877
NECTIN4,-0.72238916,7.0692253
TMPRSS2,-4.364092,14.945213
CD63,0.5441921,7.2381454
ALOXE3,6.24893,9.756829
ZDHHC16,10.197308,6.7278757
RABL6,14.711152,2.8329155
HTT,-8.093536,1.5853184
MAPK13,-4.894449,5.5564685
MLANA,-6.4392242,15.280263
CCDC90B,6.910097,0.7343842
MYL9,-1.9688658,7.0056915
DGCR2,5.8453507,2.4797025
ATF2,5.8706803,-1.3086323
POF1B,7.06582,9.365429
COX7B,3.052076,4.142256
ATP8B2,5.785537,15.145764
NIPBL,3.0498617,14.037898
