node,x,y
FLNA,8.005511,-7.269323
MSRB3,2.5478616,-1.6046755
CES2,-3.2586765,-6.175161
TNS1,6.1215158,-5.611645
CDH5,-7.9455247,1.7282946
ZZEF1,2.8991792,1.0697504
FERMT2,3.38037,-1.8299907
PLEKHA7,2.3413322,-1.5225028
HECTD3,1.597214,0.7721244
RPS6KA1,1.8719579,13.074113
SGCE,2.6123238,-0.123803586
ARHGEF25,10.039142,-5.1100154
SCRN1,5.7057886,-8.74749
MGAT4B,1.8115389,-6.310679
AMOTL1,2.5679116,-1.8539261
SLC9A3R1,-1.0502424,0.048437536
ZBTB7B,2.3908563,0.8501075
ZEB1,5.6250467,6.5055137
CORO2A,1.0460218,-6.795703
DENND5A,5.987832,6.3518815
CCT2,-2.992374,-2.0006557
ABI2,5.4270144,6.66997
SYNM,6.7660975,-5.952222
CDC42BPG,0.7425822,-6.906135
SEL1L3,-0.36959702,9.647597
CFL2,3.4484534,-1.0036185
PPP1R12A,0.004732318,-2.8021138
ZBTB4,6.5057836,-8.744295
APBB1,6.677358,-9.059583
WIPF1,-4.152587,6.3310766
ATG4D,-1.7633536,4.0977893
CSDE1,-0.660415,-2.2290735
MEIS2,2.7851708,-0.8309107
PLCB3,2.4772754,-6.313783
CD81,11.952323,1.5602798
VAV1,5.9428577,3.844918
MPDZ,-0.85275525,-5.7371097
ARMCX1,-6.0886216,-1.2289963
GGA2,-6.696039,3.5864613
GPSM3,0.057001825,5.9722915
WWTR1,3.3503358,-2.397412
RDX,8.723789,-2.8188
MRPL12,-3.9941652,11.865801
LLGL2,5.407733,14.2274065
KLF12,4.10375,-9.377244
BTK,-6.183303,3.8196397
ATXN10,11.173302,-1.7528359
MYH11,6.3285623,-6.022877
CD2AP,0.27873752,-0.8692745
NAA15,-2.4284241,-0.95189345
FAM20B,-0.5659642,-2.3340673
LIX1L,4.8531923,-9.437461
TPM2,8.029399,-6.7409244
GRK2,-0.9178194,8.918155
ZMYND11,-0.37254772,-2.4825902
RBPMS2,6.3784924,-5.956078
RNF11,-2.394935,2.3036108
NBEA,7.2176175,-8.155918
BCL2L2,-5.3394237,9.330475
CRB3,4.6528096,13.2639265
CD37,2.1408658,4.700851
MARVELD3,10.632084,8.99335
SPINT2,5.18937,13.675108
ATP1A1,10.780627,-0.69179684
RBFOX2,7.0064125,0.44051424
QKI,8.983883,-3.1019585
KIF1B,-10.289479,1.2003202
WASL,14.006491,11.4590845
CSK,0.07141242,8.5362015
DOCK2,6.4655833,3.9893692
PLS3,8.546996,-2.5915332
PACS1,7.3375936,2.3967922
PSEN1,-0.31852084,1.8213154
RAC2,5.594388,3.9721732
KIF11,-1.8752129,8.519231
SASH3,6.022328,4.112221
CLDN7,10.158361,9.163479
TCF4,12.982615,-1.655723
SMTN,8.210547,-6.7971997
BIRC5,6.521742,8.363248
DGAT1,1.180511,1.2537297
DIP2C,-5.4420714,9.566881
PKN1,-7.5971804,-3.8295808
CAMK2N1,12.644905,11.704258
CCNB1,-1.7398568,8.207951
SLC44A4,9.463993,8.925922
SURF4,2.2013423,-3.7372541
SUCLG1,1.0073271,6.6036153
PNMA1,6.680476,-8.80326
ZNF512,1.8967258,-11.23527
SLAIN2,-2.7428794,1.7443162
ABCE1,-3.3900104,-0.91136867
TNFSF12,6.765602,-9.203533
APPL2,-0.41434404,1.7664317
L1CAM,7.7301526,-5.0059376
PDLIM7,10.692824,-4.7002325
FEZ1,2.9162204,0.031794015
TGFB1I1,10.694925,-4.7780924
POR,2.4154797,0.8249123
RHOT2,6.376843,11.442334
C1QBP,-3.8127615,-2.7440453
LAMC1,3.3544102,-3.2254407
PRSS8,10.332253,9.043614
RNF103,3.443667,1.2948171
ATP5B,1.3313992,5.908872
TMEM154,-6.1382823,3.952812
PLEKHJ1,-4.239905,5.258652
KIF1A,3.217776,15.276541
ESRRA,0.96483743,1.513826
CBX7,7.297909,-3.382387
ZDHHC12,12.260828,3.6157746
RNF150,7.424184,-8.049034
GMIP,-0.44549406,8.931662
DNM2,10.203594,-0.43972367
MMRN2,-8.184278,1.7869158
MYLK,6.987294,-5.637252
MAP3K20,2.8634448,-1.7998471
MAGI3,13.143572,11.716782
SLC22A17,8.110741,-7.9368896
FLVCR2,11.118349,-0.90280926
PJA2,-0.48925743,-2.3783002
PBX3,2.2781537,-0.5206305
MYO5A,13.108341,-1.550993
PEA15,6.240566,6.271456
SERINC1,-2.1830106,2.5006685
HHIP,-0.94142747,5.5653634
GALE,4.1235037,11.081188
FAM65A,-7.4582887,-3.646375
CORO1A,5.7275004,3.9794521
RAN,-3.8174696,-2.1019762
FXR1,12.509828,3.765223
JAZF1,4.984445,-9.410842
ZNF780B,1.5307521,-11.641367
FXYD6,7.7692957,-7.925726
GNG12,13.682034,11.527933
ASH1L,-3.434609,2.9050107
UQCRC1,1.0601921,6.337634
COX8A,1.6002481,6.6057134
KHK,-3.4275382,-6.1533012
HELLS,-1.8698579,10.285205
CALD1,6.4190364,-5.4729567
LAMA2,3.8167253,-4.054961
SLC30A4,12.9064665,5.66819
CORO7,-2.8512087,8.655348
ATP5G3,1.0461211,5.5126863
TEAD3,-5.5244007,9.496105
IGKC,-0.07643707,5.0021443
CCDC124,-4.543018,-11.837366
PALLD,0.4695687,-3.5683692
TPMT,-2.7960646,-7.969659
