node,x,y
RHOT2,5.9735384,3.823222
PARVA,-4.3586655,10.184924
LIMCH1,2.44029,-2.2616177
CALD1,2.3938649,2.3004773
GABPA,2.9852626,7.919682
PLS3,-4.1081424,-1.5790545
RICTOR,-4.1863146,4.7115383
DOCK1,-8.647198,8.496525
BCL11A,3.132015,-6.1470876
GNG12,-4.1300483,-1.6682842
JMJD1C,-3.5360217,5.034611
MAOA,2.37951,1.3254775
ASH1L,-4.0179987,4.0766745
SERINC1,5.7696314,6.4850426
MIB1,-4.7419086,1.1981288
EGFR,4.6519685,4.799377
ZMYM2,1.5512048,9.080878
RAN,1.5300823,4.3641725
SRSF11,1.5010068,9.028386
IRF3,2.3791506,11.114387
API5,-0.9856736,15.6079235
SGCB,-6.249255,10.350559
EXOC5,-0.5349197,7.806984
CSF3R,9.52858,-4.866904
TRAM1,3.4429834,10.658744
SNRPD1,1.267266,4.739748
STAG2,-6.675508,0.8658588
OLFML1,-5.132475,11.205884
ROCK1,-6.886778,3.904588
GLT1D1,1.5166771,12.022352
TRIM33,-0.027684474,5.0163713
ATRX,-5.5460095,3.0659049
ERMN,4.376647,9.307355
MSRB1,1.0463637,12.133349
SORL1,7.0240936,-8.417642
CSF1R,-0.9033469,-9.868771
CD19,1.8644375,-7.0250506
NDUFA13,10.072707,10.535932
C1R,-12.819815,1.8308818
QKI,-8.526233,12.893569
PIN1,6.368241,-0.82870215
ZBTB16,2.7000408,0.99281037
NEK7,-5.663526,3.850387
UBL5,-1.7123778,5.740409
IL34,-2.5524158,-1.0143095
SCAF11,2.0542862,6.9237995
SSFA2,5.404315,6.794262
FAM91A1,-0.106391616,6.135444
DENND4C,-4.7101083,3.7179527
ARID4B,-3.427485,5.4018173
NOLC1,4.302536,16.00461
MYDGF,-5.057734,8.610446
GNA11,-7.7509627,2.1080139
BCLAF1,-5.8409824,4.8404803
TMED2,4.407419,13.052914
IL1R2,8.620252,-7.7122746
DUS1L,6.4943056,3.8932235
SEPT1,5.68349,-3.9382753
CNR2,2.686818,-6.1235776
PSMD14,-3.8208716,15.006565
MRTO4,6.10495,13.62842
PRKAA1,0.012081543,5.45799
CD163,-0.06370168,-10.072224
NOS3,7.5129647,0.86042976
ABCE1,-1.8439054,15.949403
SYDE1,-3.7040007,9.940571
